name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Oyen Seniors Lodge ,,,Gloria Jorgenson,gloria.jorgenson@acadiafoundation.com,,,,,,,,,,,,,,(403)664-3661,,Not Specified,www.acadiafoundation.com/oyen-lodge,,,,,,,,,,,,,,,,1307,Not Specified,310 - 2 St.,,,Oyen,,,AB,,T0C 1B0,Canada,51.3529443,-110.4782383,
Harmony Manor ,,,"Kristin Skiba, Placement Officer OR Tim Janzen, CAO",KristinS@taberhsg.ca OR TimJ@taberhsg.ca,,,,,,,,,,,,,,403-223-2767,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Not Specified,985,4730 - 50 Avenue,,,Taber,,,AB,,T1G 1P3,Canada,49.785883,-112.154995,
Sunshine Manor ,,,"Kristin Skiba, Placement Officer OR Tim Janzen, CAO",KristinS@taberhsg.ca OR TimJ@taberhsg.ca,,,,,,,,,,,,,,403-223-2767,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Not Specified,550,437 - 2 Street S,,,Grassy Lake,,,AB,,T0K 0Z0,Canada,49.8246216,-111.7004857,
Prairie Rose Manor ,,,"Kristin Skiba, Placement Officer OR Tim Janzen, CAO",KristinS@taberhsg.ca OR TimJW@taberhsg.ca,,,,,,,,,,,,,,403-223-2767,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Not Specified,754,624 - 3 Avenue N,,,Vauxhall,,,AB,,T0K 2K0,Canada,50.069464,-112.1091946,
Pioneer Place ,,,"Kristin Skiba, Placement Officer OR Tim Janzen, CAO",KristinS@taberhsg.ca OR TimJ@taberhsg.ca,,,,,,,,,,,,,,403-223-2767,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Not Specified,754,4705 - 49 Avenue,,,Taber,,,AB,,T1G 1N7,Canada,49.7841806,-112.1556005,
Homestead Manor ,,,"Kristin Skiba, Placement Officer OR  Tim Janzen, CAO",KristinS@taberhsg.ca OR TimJ@taberhsg.ca,,,,,,,,,,,,,,403-223-2767,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Not Specified,985,4900 - 48 Street,,,Taber,,,AB,,T1G 1N7,Canada,49.785824,-112.1549056,
Clearview Lodge ,,,"Joan Hart, Lodge Manager OR Tim Janzen, CAO",JoanH@taberhsg.ca OR TimJ@taberhsg.ca,,,,,,,,,,,,,,403-223-2822 Ext 1 OR 403-223-2767 Ext 7,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Board Package plus 30% of income for rent,"Board Package plus $1,000.00 (Maximum rent portion)",4730 - 50 Avenue,,,Taber,,,AB,,T1G 1N6,Canada,49.785883,-112.154995,
Bountiful House ,,,"Kristin Skiba, Placement Officer OR Tim Janzen, CAO",KristinS@taberhsg.ca OR TimJ@taberhsg.ca,,,,,,,,,,,,,,403-223-2767,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Not Specified,550,508 - 1 Street E,,,Barnwell,,,AB,,T0K 0B0,Canada,49.7592534,-112.2605763,
Anniversary Arms ,,,Ronda Lamey,rimoka2@telusplanet.net,,,,,,,,,,,,,,403.783.3940,,Not Specified,www.thebethanygroup.ca,,,,,,,,,,,,,,,,Not Specified,Not Specified,5008 - 54 Ave,,,Ponoka,,,AB,,T4J 1N2,Canada,52.679936,-113.575088,
Beaver House ,,,Bonnie Koltusky,bonnie.koltusky@bethanygrp.ca,,,,,,,,,,,,,,780.679.2003,,Not Specified,www.thebethanygroup.ca,,,,,,,,,,,,,,,,Not Specified,Not Specified,Glenmuir & Lindgren St.,,,Ferintosh,,,AB,,T0B 1M0,Canada,52.7619619,-112.9691109,
Bethany Meadows - Pine and Spruce Cottage ,,,Not Specified,Not Specified,,,,,,,,,,,,,,Not Specified,,Not Specified,Not Specified,,,,,,,,,,,,,,,,1460,1460,4209 - 55 St.,,,Camrose,,,AB,,T4V 4Y6,Canada,53.007501,-112.833704,
Prairie Home ,,,Gloria Jorgenson,gloria.jorgenson@acadiafoundation.com,,,,,,,,,,,,,,403-664-3661,,Not Specified,www.acadiafoundation.com,,,,,,,,,,,,,,,,Not Specified,Not Specified,310 - 2 St.W,,,Oyen,,,AB,,T0J 2J0,Canada,51.3543705,-110.4896981,
Evergreen ,,,Lorelei Paul,Evergreen@reveraliving.com,,,,,,,,,,,,,,403-201-3555,,Not Specified,www.reveraliving.com/retirement-living/locations/evergreen,,,,,,,,,,,,,,,,Not Specified,Not Specified,2220 - 162 Avenue SW,,,Calgary,,,AB,,T2Y 5E3,Canada,50.9076416,-114.1082445,Southwest Calgary
Inglewood ,,,Joe Sullivan,Inglewood@reveraliving.com,,,,,,,,,,,,,,403-346-1134,,Not Specified,www.reveraliving.com/retirement-living/locations/inglewood,,,,,,,,,,,,,,,,Not Specified,Not Specified,10 Inglewood Drive,,,Red Deer,,,AB,,T4R 0L2,Canada,52.236605,-113.77214,Inglewood East
Aspen Ridge ,,,Rejean Bernier,AspenRidge@reveraliving.com,,,,,,,,,,,,,,403-341-5522,,Not Specified,www.reveraliving.com/retirement-living/locations/aspen-ridge,,,,,,,,,,,,,,,,Not Specified,Not Specified,3100 - 22 Street,,,Red Deer,,,AB,,T4R 3N7,Canada,52.2383643,-113.7709299,Aspen Ridge
Sylvan Manor ,,,,info@sylvanlakelodgefoundation.com,,,,,,,,,,,,,,403-887-2555,,Not Specified,www.sylvanlakelodgefoundation.com,,,,,,,,,,,,,,,,Not Specified,Not Specified,"100, 4620 - 47 Avenue",,,Sylvan Lake,,,AB,,T4S 1N2,Canada,52.30519,-114.091729,
Sylvan Lake Lodge ,,,,info@sylvanlakelodgefoundation.com,,,,,,,,,,,,,,403-887-2555,,Not Specified,www.sylvanlakelodgefoundation.com,,,,,,,,,,,,,,,,1320,1485,4620 - 47 Avenue,,,Sylvan Lake,,,AB,,T4S 1N2,Canada,52.30519,-114.091729,
Sunrise/Sunset Villas ,,,Not Specified,Not Specified,,,,,,,,,,,,,,780-961-3972,,Not Specified,www.homelandhousing.ca,,,,,,,,,,,,,,,,120,880,4811 - 47 Street,,,Legal,,,AB,,T0G 1L0,Canada,53.947648,-113.589712,
Sunridge & Sunset Manors ,,,Not Specified,Not Specified,,,,,,,,,,,,,,780-923-3330,,Not Specified,www.homelandhousing.ca,,,,,,,,,,,,,,,,120,808,5011 - 49 Street,,,Bon Accord,,,AB,,T0A 2K0,Canada,53.8366183,-113.4090268,
Spruce View Manor ,,,Not Specified,Not Specified,,,,,,,,,,,,,,780-923-3330,,Not Specified,www.homelandhousing.ca,,,,,,,,,,,,,,,,Not Specified,"1,540.00",4539 - 49 Street,,,Gibbons,,,AB,,T0A 1N0,Canada,53.8237445,-113.3298447,
Pine Crest Gardens ,,,Not Specified,Not Specified,,,,,,,,,,,,,,780-923-3330,,Not Specified,www.homelandhousing.ca,,,,,,,,,,,,,,,,120,815,4820 - 45 Avenue,,,Gibbons,,,AB,,T0A 1N0,Canada,53.8236278,-113.329316,
North Ridge Place ,,,Not Specified,Not Specified,,,,,,,,,,,,,,780-460-0445,,Not Specified,www.homelandhousing.ca,,,,,,,,,,,,,,,,795.00 One bedroom,$945.00 Two bedroom,21 Mont Clare Place,,,St. Albert,,,AB,,T8N 5Z4,Canada,53.638745,-113.634979,
Neutral Hills Manor ,,,Amanda Wiltse Manager,amanda.wiltse@acadiafoundation.com,,,,,,,,,,,,,,(403)577-3832,,Not Specified,www.acadiafoundation.com,,,,,,,,,,,,,,,,Not Specified,Not Specified,4530 - 52 Ave.,,,Consort,,,AB,,T0C 1B0,Canada,52.0123907,-110.7698685,
North Ridge Lodge ,,,Not Specified,Not Specified,,,,,,,,,,,,,,780-460-0445,,Not Specified,www.homelandhousing.ca,,,,,,,,,,,,,,,,"1,000.00","1,540.00",21 Mont Clare Place,,,St. Albert,,,AB,,T8N 5Z4,Canada,53.638745,-113.634979,
Lions Manor ,,,Not Specified,Not Specified,,,,,,,,,,,,,,780-939-3212,,Not Specified,www.homelandhousing.ca,,,,,,,,,,,,,,,,120,"1,286.00",10506 - 101 Avenue,,,Morinville,,,AB,,T8R 1M2,Canada,53.803938,-113.655264,
Chateau Sturgeon Lodge ,,,Not Specified,Not Specified,,,,,,,,,,,,,,780-961-3972,,Not Specified,www.homelandhousing.ca,,,,,,,,,,,,,,,,Not Specified,1540,5320 - 46 Street,,,Legal,,,AB,,T0G 1L0,Canada,53.9520629,-113.5889734,
Chateau Mission Court ,,,Not Specified,Not Specified,,,,,,,,,,,,,,780-458-7445,,Not Specified,www.homelandhousing.ca,,,,,,,,,,,,,,,,Not Specified,"1,540.00",34 Mission Avenue,,,St. Albert,,,AB,,T8N 1H8,Canada,53.6352287,-113.6287564,
