row_id,Facility Name,Address,City,Postal Code,Province,Terms of Occupancy,Housing Type,Number of Units,Eligibility Criteria,Application Procedure,Additional Criteria,Minimum Rate $,Maximum Rate $,RGI Rent Rate,Service Package Rate,Unit Square Footage Minimum,Unit Square Footage Maximum,Additional Suite Information,Additional Suite Features,Additional Services,Additional Building Information,Booleans (see readme),Site Contact Name,Site Phone,Site Email,Facebook,Twitter,Site Website,Site Description,facility_type,country
Canada-AB-26-AB-HousingDirecotry-output-1,Oyen Seniors Lodge ,310 - 2 St.,Oyen,T0C 1B0,AB,Rental/Lease,Public Not-For-Profit,42,"- Canadian Citizen or Landed Immigrant - Residency – has lived in Consort Area for the previous 12 months - or any 10 years of their life, or has primary family members who - have lived in Consort area for the previous 12 months. - Age – must be at least ",Application to the Consort Lodge requires the completion of an application form and a personal interview. Complete the application form and have your Physician complete the Medical Report.,Not Specified,1307,Not Specified,Not Specified,available,176,231,Not Specified,Not Specified,Home Care available,Not Specified,"[True, False, False, False, True, False, False, False, False, False, True, True, False, True, True, True, False, False, False, True, True, True, True, False, True]",Gloria Jorgenson,(403)664-3661,gloria.jorgenson@acadiafoundation.com,Not Specified,Not Specified,www.acadiafoundation.com/oyen-lodge,"Our modern lodge units are spacious & bright. They are available in single or double occupancy size, with the double rooms featuring walk-in closet & overall larger living space. Both have ample storage, and we also have storage lockers available on site. Full meal services & weekly housekeeping are included in the lodge units accommodation rates.",Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-2,Harmony Manor ,4730 - 50 Avenue,Taber,T1G 1P3,AB,Rental/Lease,Public Not-For-Profit,25,Seniors only. Income & Asset verification.,An application form is required and you must meet with our Placement Officer prior to approval.,Not Specified,Not Specified,985,30%,Not applicable,,800,Not Specified,Appliances (fridge & stove) supplied.,"The Meals on Wheels program is available through us within the Town of Taber for only the lunchtime meal, but residents of this building can also access the meal plan through Clearview Lodge for any or all meals.","There is a large ""Common area"" for all residents.  

On site laundry facilities are provided at no cost to the residents.","[True, False, False, True, True, True, False, True, True, True, True, False, False, True, False, False, False, False, False, True, True, True, True, False, True]","Kristin Skiba, Placement Officer OR Tim Janzen, CAO",403-223-2767,KristinS@taberhsg.ca OR TimJ@taberhsg.ca,Not Specified,Not Specified,www.taberhsg.ca,"This building has twenty-five (25) self-contained senior’s apartments available., Apartments vary between Bachelor unit to 2-bedroom units but include kitchen area, living room area, bedroom area, a bathroom, and a storage area.   , Residents are responsible for a damage deposit, electricity, parking, telephone and cable costs.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-3,Sunshine Manor ,437 - 2 Street S,Grassy Lake,T0K 0Z0,AB,Rental/Lease,Public Not-For-Profit,4,Seniors only.  Income & Asset verification.,An application form is required and you must meet with our Placement Officer prior to approval.,Not Specified,Not Specified,550,30%,Not Specified,600,600,Not Specified,Appliances (fridge & stove) supplied.,Meals on Wheels program is not currently available in Grassy Lake.,"There is a ""Common area"" for all residents which includes a sink, closet and furniture.","[True, False, False, False, True, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True]","Kristin Skiba, Placement Officer OR Tim Janzen, CAO",403-223-2767,KristinS@taberhsg.ca OR TimJ@taberhsg.ca,Not Specified,Not Specified,www.taberhsg.ca,"Four (4) self-contained senior’s apartments are available in this Manor., Apartments include kitchen, living room, bedroom, bathroom, and a storage area.   , Residents are responsible for a damage deposit, electricity, parking, telephone and cable costs.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-4,Prairie Rose Manor ,624 - 3 Avenue N,Vauxhall,T0K 2K0,AB,Rental/Lease,Public Not-For-Profit,12,Seniors only. Income & Asset verification.,An application form is required and you must meet with our Placement Officer prior to approval.,Not Specified,Not Specified,754,30%,Not Specified,600,600,Electricity is NOT included in rent.,Appliances (fridge & stove) supplied.,Meals on Wheels program is not currently available in Vauxhall.,"There is a fairly large furnished ""Common area"" for all residents which includes a separate washroom for guests. The laundry facilities are supplied for residents use at no charge.","[True, False, False, False, True, False, False, True, True, True, False, False, False, False, False, False, False, False, False, True, False, False, True, False, True]","Kristin Skiba, Placement Officer OR Tim Janzen, CAO",403-223-2767,KristinS@taberhsg.ca OR TimJW@taberhsg.ca,Not Specified,Not Specified,www.taberhsg.ca,"There are twelve (12) affordable, self-contained senior's apartments available in this building., Apartments include kitchen, living room, bedroom, bathroom, and a storage area., Residents are responsible for a damage deposit, parking fees, telephone and cable costs.  You are responsible for your own electricity.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-5,Pioneer Place ,4705 - 49 Avenue,Taber,T1G 1N7,AB,Rental/Lease,Public Not-For-Profit,30,Seniors only. Income & Asset verification.,An application form is required and you must meet with our Placement Officer prior to approval.,Not Specified,Not Specified,754,30%,Not applicable,600,600,Not Specified,Appliances (fridge & stove) supplied.,"The Meals on Wheels program is available through us within the Town of Taber for only the lunchtime meal, but residents of this building can also access the meal plan through Clearview Lodge for any or all meals.","There is a large ""Common area"" for all residents. On site laundry facilities are provided at no cost to the residents.","[True, False, False, False, True, False, False, True, True, True, True, False, False, True, False, False, False, False, False, True, True, False, True, False, True]","Kristin Skiba, Placement Officer OR Tim Janzen, CAO",403-223-2767,KristinS@taberhsg.ca OR TimJ@taberhsg.ca,Not Specified,Not Specified,www.taberhsg.ca,"This building has thirty (30) self-contained senior’s apartments available which are all one bedroom units., Residents are responsible for a damage deposit, electricity, parking, telephone and cable costs.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-6,Homestead Manor ,4900 - 48 Street,Taber,T1G 1N7,AB,Rental/Lease,Public Not-For-Profit,30,Seniors only. Income & Asset verification.,An application form is required and you must meet with our Placement Officer prior to approval.,Not Specified,Not Specified,985,30%,Not applicable,600,800,Not Specified,Appliances (fridge & stove) supplied.,"The Meals on Wheels program is available through us within the Town of Taber for only the lunchtime meal, but residents of this building can also access the meal plan through Clearview Lodge for any or all meals.","There is a large ""Common area"" for all residents. On site laundry facilities are provided at no cost to the residents.","[True, False, False, False, True, True, False, True, True, True, True, False, False, True, False, False, False, False, False, True, True, False, True, False, True]","Kristin Skiba, Placement Officer OR  Tim Janzen, CAO",403-223-2767,KristinS@taberhsg.ca OR TimJ@taberhsg.ca,Not Specified,Not Specified,www.taberhsg.ca,"This building has thirty (30) self-contained senior’s apartments available., There are both 1-bedroom and 2-bedroom units available that include a kitchen area, living room area, bedroom (s), a bathroom, and a storage area., Residents are responsible for a damage deposit, electricity, parking, telephone and cable costs.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-7,Clearview Lodge ,4730 - 50 Avenue,Taber,T1G 1N6,AB,Rental/Lease,Public Not-For-Profit,77,Seniors 65 years and over.,All applications must be accompanied by both a physician's medical report and your annual income information.,"While pets are allowed, there are restrictions that must be followed due to the communal aspect of living in a Lodge.",Board Package plus 30% of income for rent,"Board Package plus $1,000.00 (Maximum rent portion)",30%,"""Board"" service package ranges from $ 675 - $ 775 for a single suite depending on the unit size selected.  The service package for a couple  sharing one suite ranges from $1,250 - $1,300  These service packages include meals & snacks, linens & towels, furniture, housekeeping, cable TV package, activities & recreation program, personal care services, 24 hour security & emergency response, laundry facilities and more.",188,306,There are no kitchen facilities in the units.  See the Lodge Manager about in-suite electrical appliances restrictions.,"Extra storage is available for each resident in a locker located in our basement storage area. Lockers are approximately 8’ x 2’ x 2’ and are suitable for storage of items such as golf clubs, Christmas decorations or extra clothing.","Medication Assistance is available for an additional fee.  

While laundry ""facilities"" are supplied for free, laundry ""services"" are also available for an additional fee.

Other services available for a fee are safety pendants, guest meals, personal care supplies, etc.","The building has a large Atrium for activities.  A smaller craft area is also available.  And there is a selection of books and magazines  located in our

library/lounge for residents to enjoy, as well as a computer with internet access.   There is an assigned area for storage of and electrical plug-ins for motorized scooters

belonging to Residents. Motorized scooters are

not allowed inside the building.","[True, True, False, True, False, False, False, False, True, False, True, True, False, True, True, True, False, True, True, True, True, False, True, True, True]","Joan Hart, Lodge Manager OR Tim Janzen, CAO",403-223-2822 Ext 1 OR 403-223-2767 Ext 7,JoanH@taberhsg.ca OR TimJ@taberhsg.ca,Not Specified,Not Specified,www.taberhsg.ca,"Clearview Lodge is administered through Taber & District Housing Foundation., This is an enhanced care facility with 77 rooms and 24 hour Personal Care Assistance for seniors aged 65 years and over.  We have both SL2 and SL3 units as per Alberta's definition of care levels., Our philosophy encourages both wellness and independence.  The Lodge has a Resident Council made up of both residents and their family members interested in actively helping to make life at the Lodge even better., Please note that parking for resident vehicles and/or scooters is available for a fee.",Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-8,Bountiful House ,508 - 1 Street E,Barnwell,T0K 0B0,AB,Rental/Lease,Public Not-For-Profit,6,Seniors only.  Income & Asset verification.,An application form is required and you must meet with our Placement Officer prior to approval.,Not Specified,Not Specified,550,30%,Not Specified,600,600,Electricity is NOT included in the rent.,Appliances (fridge & stove) supplied.  In this building we also supply the washer/dryer.,Meals on Wheels program is not currently available in Barnwell.,Each unit has its own individual entrance.,"[True, False, False, False, True, False, False, True, True, True, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False]","Kristin Skiba, Placement Officer OR Tim Janzen, CAO",403-223-2767,KristinS@taberhsg.ca OR TimJ@taberhsg.ca,Not Specified,Not Specified,www.taberhsg.ca,"This building has six (6) Affordable, self-contained apartments available for seniors. , Apartments include kitchen, living room, bedroom, bathroom, and a storage area., Residents are responsible for a damage deposit, parking fees, telephone and cable costs.  You are responsible for your own electricity.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-9,Anniversary Arms ,5008 - 54 Ave,Ponoka,T4J 1N2,AB,Not Specified,Not Specified,32,"Senior citizens whose income is not sufficient to rent private sector accommodation and are functionally independent (with and without community-based services). Based on a point-scoring system set by the Government of Alberta.   Determined after completion of an “Application for Accommodation,” a “Medical Information Form,” and a personal interview. Placement on an eligibility list is determined by need rather than date of the application",Not Specified,Not Specified,Not Specified,Not Specified,30%,Not Specified,500,575,Not Specified,Not Specified,"private suites, maintenance, lounge and hobby areas, Seniors self-contained apartments are operated very much like private rentals. For example, staff are not on duty 24-hours a day. However, tenants have access to staff for emergency situations, such as loss of heat or electricity, or plumbing problems, 24 hours a day, 7 days a week",Not Specified,"[False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, True]",Ronda Lamey,403.783.3940,rimoka2@telusplanet.net,Not Specified,Not Specified,www.thebethanygroup.ca,"Every suite offers complete privacy and comes equipped with all the necessary facilities. Communal spaces also encourage residents to congregate or visit with friends and family. The program is funded in part by the payment of rent by residents, and in part by provincial government subsidies.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-10,Beaver House ,Glenmuir & Lindgren St.,Ferintosh,T0B 1M0,AB,Rental/Lease,Public Not-For-Profit,4,"Senior citizens whose income is not sufficient to rent private sector accommodation and are functionally independent (with and without community-based services). Based on a point-scoring system set by the Government of Alberta. Determined after completion of an “Application for Accommodation,” a “Medical Information Form,” and a personal interview. Placement on an eligibility list is determined by need rather than date of the application.",Not Specified,Not Specified,Not Specified,Not Specified,30%,Not Specified,500,575,Not Specified,Not Specified,"Seniors self-contained apartments are operated very much like private rentals. For example, staff are not on duty 24-hours a day. However, tenants have access to staff for emergency situations, such as loss of heat or electricity, or plumbing problems, 24 hours a day, 7 days a week.",Not Specified,"[True, False, True, False, True, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, True, False, True, False, True]",Bonnie Koltusky,780.679.2003,bonnie.koltusky@bethanygrp.ca,Not Specified,Not Specified,www.thebethanygroup.ca,To follow,Independent Living Only,Canada
