name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid,neighborhood
AOMEGA IV,,,,,,N/A,,,,,,,,,,,,(403) 730-8442,,,,,,,,,,,,,,,,,,,,,824 Lake Ontario Dr SE,,,CALGARY,,,AB,,T3J 3J9,Canada,50.93029,-114.0409987,Southeast Calgary,True
ORCHARD MANOR,,,,,,N/A,,,,,,,,,,,,(403) 362-6188,,,,,,,,,,,,,,,,,,,,,951 Cassils Rd W,,,BROOKS,,,AB,,T1R 1K9,Canada,50.5717341,-111.9120621,,True
STONY PLAIN CARE CENTRE,,,,,,(780) 963-0795,,,,,,,,,,,,(780) 963-2261,,,,,,,,,,,,,,,,,,,,,4800 55 Ave,,,STONY PLAIN,,,AB,,T7Z 1P9,Canada,53.52356,-114.003068,,True
GOOD SAMARITAN SOCIETY MOUNTAINVIEW CENTRE,,,,,,(780) 865-4098,,,,,,,,,,,,(780) 865-5926,,,,,,,,,,,,,,,,,,,,,1290 Switzer Dr,,,HINTON,,,AB,,T7V 2E9,Canada,53.398112,-117.58652,,True
CALEB MANOR,,,,,,N/A,,,,,,,,,,,,(780) 497-7737,,,,,,,,,,,,,,,,,,,,,100 6411 199 St,,,EDMONTON,,,AB,,T5T 6Y4,Canada,53.5003,-113.663056,West Edmonton,True
HERITAGE HOUSE,,,,,,(780) 603-2237,,,,,,,,,,,,(780) 603-0853,,,,,,,,,,,,,,,,,,,,,4570 Maple St,,,VEGREVILLE,,,AB,,T9C 1X2,Canada,53.493267,-112.067479,,True
CANTERBURY COURT,,,,,,N/A,,,,,,,,,,,,(780) 930-3729,,,,,,,,,,,,,,,,,,,,,8403 142 St,,,EDMONTON,,,AB,,T5R 4L3,Canada,53.5160344,-113.5648871,West Edmonton,True
AOMEGA V,,,,,,N/A,,,,,,,,,,,,(403) 730-8442,,,,,,,,,,,,,,,,,,,,,14120 Parkside Dr SE,,,CALGARY,,,AB,,T2J 3X3,Canada,50.9258326,-114.0377941,Southeast Calgary,True
138223 ALBERTA LTD O/A NEW HORIZON HOMES 1,,,,,,N/A,,,,,,,,,,,,(587) 899-1159,,,,,,,,,,,,,,,,,,,,,3519 60 St NE,,,CALGARY,,,AB,,T1Y 3L2,Canada,51.0844245,-113.9471084,Northeast Calgary,True
PROVERBIUM HOMES IV,,,,,,N/A,,,,,,,,,,,,(403) 613-2889,,,,,,,,,,,,,,,,,,,,,29 Del Ray Pl NE,,,CALGARY,,,AB,,T1Y 6X8,Canada,51.0746243,-113.9247037,Northeast Calgary,True
PARAGON PLACE,,,,,,N/A,,,,,,,,,,,,(403) 742-6195,,,,,,,,,,,,,,,,,,,,,5011 55 St,,,STETTLER,,,AB,,T0C 2L2,Canada,52.326662,-112.711335,,True
BOW VALLEY REGIONAL HOUSING/CASCADE HOUSE,,,,,,N/A,,,,,,,,,,,,(403) 678-5922,,,,,,,,,,,,,,,,,,,,,227 Beaver St,,,BANFF,,,AB,,T1L 1A9,Canada,51.1781812,-115.5696083,,True
SUNRISE VILLAGE WETASKIWIN,,,,,,(780) 361-1970,,,,,,,,,,,,(780) 352-4725,,,,,,,,,,,,,,,,,,,,,5430 37A Ave,,,WETASKIWIN,,,AB,,T9A 3A8,Canada,52.9564526,-113.3869865,,True
EMMANUEL HOME,,,,,,(780) 473-0970,,,,,,,,,,,,(780) 478-2051,,,,,,,,,,,,,,,,,,,,,13425 57 St,,,EDMONTON,,,AB,,T5A 2G1,Canada,53.597173,-113.427956,Northeast Edmonton,True
WATERFORD OF SUMMERLEA (THE),,,,,,(780) 487-8443,,,,,,,,,,,,(780) 444-4545,,,,,,,,,,,,,,,,,,,,,9395 172 St,,,EDMONTON,,,AB,,T5T 5S6,Canada,53.5300366,-113.6172496,West Edmonton,True
PROVIDENCE PLACE,,,,,,(780) 374-2529,,,,,,,,,,,,(780) 374-2527,,,,,,,,,,,,,,,,,,,,,6120 51 Ave,,,DAYSLAND,,,AB,,T0B 1A0,Canada,52.8687711,-112.2739257,,True
VILLA MARGUERITE SENIORS COMMUNITY PARTNERSHIP,,,,,,(780) 431-3699,,,,,,,,,,,,(780) 983-2010,,,,,,,,,,,,,,,,,,,,,9810 165 St,,,EDMONTON,,,AB,,T5P 3S7,Canada,53.536426,-113.607651,West Edmonton,True
SUMMERLEA INTERNATIONAL CARE HOME INC.,,,,,,N/A,,,,,,,,,,,,(780) 974-0678,,,,,,,,,,,,,,,,,,,,,8727 207 St,,,EDMONTON,,,AB,,T5T 6Y1,Canada,53.5226623,-113.6760817,West Edmonton,True
MARTHA'S HOUSE,,,,,,N/A,,,,,,,,,,,,(403) 327-2090,,,,,,,,,,,,,,,,,,,,,950 14 St S,,,LETHBRIDGE,,,AB,,T1J 2Y8,Canada,49.6843262,-112.8224206,South Lethbridge,True
WAINWRIGHT ASSOCIATION FOR COMMUNITY LIVING,,,,,,N/A,,,,,,,,,,,,(780) 842-6863,,,,,,,,,,,,,,,,,,,,,1110 1 Ave,,,WAINWRIGHT,,,AB,,T9W 1S5,Canada,52.8316842,-110.8590918,,True
WAINWRIGHT ASSOCIATION FOR COMMUNITY LIVING,,,,,,N/A,,,,,,,,,,,,(780) 842-3798,,,,,,,,,,,,,,,,,,,,,1112 1 Ave,,,WAINWRIGHT,,,AB,,T9W 1S5,Canada,52.8316781,-110.8589963,,True
GARNEAU HALL,,,,,,N/A,,,,,,,,,,,,(780) 989-7900,,,,,,,,,,,,,,,,,,,,,10923 82 Ave,,,EDMONTON,,,AB,,T6G 2N9,Canada,53.5179617,-113.5136259,Garneau,True
RGC HEALTH CARE 2,,,,,,N/A,,,,,,,,,,,,(403) 202-3992,,,,,,,,,,,,,,,,,,,,,26 Sherwood Gardens NW,,,CALGARY,,,AB,,T3R 1M9,Canada,51.1607198,-114.1465412,Northwest Calgary,True
CATHOLIC SOCIAL SERVICES,,,,,,N/A,,,,,,,,,,,,(780) 842-9129,,,,,,,,,,,,,,,,,,,,,8815 99 St,,,EDMONTON,,,AB,,T6E 3V3,Canada,53.524238,-113.48568,South Central Edmonton,True
MAYFAIR CARE CENTRE,,,,,,N/A,,,,,,,,,,,,(403) 252-4445,,,,,,,,,,,,,,,,,,,,,8240 Collicut St SW,,,CALGARY,,,AB,,T2V 2X1,Canada,50.9800267,-114.0931794,Southwest Calgary,True
BRENTWOOD CARE CENTRE,,,,,,(403) 282-7027,,,,,,,,,,,,(403) 289-2576,,,,,,,,,,,,,,,,,,,,,2727 16 Ave NW,,,CALGARY,,,AB,,T2N 3Y6,Canada,51.0676429,-114.125137,Northwest Calgary,True
