row_id,Facility Name,Address,City,Postal Code,Province,Country,Accommodation Type,Number of Units,Funding Source,Operator,Contact Phone,Fax,Last Visit Date,Last Visit Type,Original Issue Date,Licence Issue Date,Licence Expiry Date,Licence Type,ASL Facility ID
Canada-AB-27-AB-SupportiveLiving-output-1,AOMEGA IV,824 Lake Ontario Drive SE,CALGARY,T3J 3J9,AB,Canada,Supportive Living Accommodation - Group Home,4,Health,AOMEGA GROUP INC.,(403) 730-8442,N/A,11-Apr-17,Inspection Visit,1-Oct-07,1-May-17,30-Apr-20,3 Year - Full,70037552
Canada-AB-27-AB-SupportiveLiving-output-2,ORCHARD MANOR,951 Cassils Road West,BROOKS,T1R 1K9,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,52,Health,AGE CARE INVESTMENTS LTD.,(403) 362-6188,N/A,14-Sep-16,Inspection Visit,1-Dec-07,1-Oct-16,30-Sep-17,Full,70037667
Canada-AB-27-AB-SupportiveLiving-output-3,STONY PLAIN CARE CENTRE,4800 55 Avenue,STONY PLAIN,T7Z 1P9,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,30,Health,THE GOOD SAMARITAN SOCIETY (A LUTHERAN SOCIAL SERVICE ORGANIZATION),(780) 963-2261,(780) 963-0795,12-Oct-16,Inspection Visit,1-Dec-07,11-Jan-17,31-Oct-17,Full,70040531
Canada-AB-27-AB-SupportiveLiving-output-4,GOOD SAMARITAN SOCIETY MOUNTAINVIEW CENTRE,1290 Switzer Drive,HINTON,T7V 2E9,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,52,Health,THE GOOD SAMARITAN SOCIETY (A LUTHERAN SOCIAL SERVICE ORGANIZATION),(780) 865-5926,(780) 865-4098,7-Sep-17,Follow-Up Visit,19-Dec-07,1-Feb-17,31-Jan-18,Full,70037727
Canada-AB-27-AB-SupportiveLiving-output-5,CALEB MANOR,"100, 6411 199 Street",EDMONTON,T5T 6Y4,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,104,,1112462 ALBERTA LTD.,(780) 497-7737,N/A,14-Jul-17,Inspection Visit,1-Dec-07,1-Aug-17,31-Jul-20,3 Year - Full,70037730
Canada-AB-27-AB-SupportiveLiving-output-6,HERITAGE HOUSE,4570 Maple Street,VEGREVILLE,T9C 1X2,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,60,Health,POINTS WEST LIVING HERITAGE HOUSE INC.,(780) 603-0853,(780) 603-2237,26-Jul-17,Follow-Up Visit,13-Aug-09,25-May-17,30-Apr-18,Full,70038102
Canada-AB-27-AB-SupportiveLiving-output-7,CANTERBURY COURT,8403 142 Street,EDMONTON,T5R 4L3,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,165,,CANTERBURY FOUNDATION,(780) 930-3729,N/A,20-Jan-17,Inspection Visit,15-Jan-08,1-Feb-17,31-Jan-20,3 Year - Full,70038835
Canada-AB-27-AB-SupportiveLiving-output-8,AOMEGA V,14120 Parkside Drive SE,CALGARY,T2J 3X3,AB,Canada,Supportive Living Accommodation - Group Home,4,Health,AOMEGA GROUP INC.,(403) 730-8442,N/A,11-Apr-17,Inspection Visit,30-Oct-07,1-May-17,30-Apr-20,3 Year - Full,70038953
Canada-AB-27-AB-SupportiveLiving-output-9,138223 ALBERTA LTD O/A NEW HORIZON HOMES 1,3519 60 Street NE,CALGARY,T1Y 3L2,AB,Canada,Supportive Living Accommodation - Group Home,4,Health,1383223 ALBERTA LTD.,(587) 899-1159,N/A,17-May-17,Inspection Visit,22-Nov-07,1-Jun-17,31-May-20,3 Year - Full,70039058
Canada-AB-27-AB-SupportiveLiving-output-10,PROVERBIUM HOMES IV,29 Del Ray Place NE,CALGARY,T1Y 6X8,AB,Canada,Supportive Living Accommodation - Group Home,4,Health,PROVERBIUM HOMES INC.,(403) 613-2889,N/A,16-Aug-17,Mini Inspection Visit,1-Dec-07,1-Oct-16,31-Aug-19,2 Year - Full,70039061
Canada-AB-27-AB-SupportiveLiving-output-11,PARAGON PLACE,5011 55 Street,STETTLER,T0C 2L2,AB,Canada,Supportive Living Accommodation - Lodge,70,Lodge Assistance Program,COUNTY OF STETTLER HOUSING AUTHORITY,(403) 742-6195,N/A,8-Mar-17,Mini Inspection Visit,1-Oct-09,1-Apr-15,31-Mar-18,3 Year - Full,70039252
Canada-AB-27-AB-SupportiveLiving-output-12,BOW VALLEY REGIONAL HOUSING/CASCADE HOUSE,227 Beaver Street,BANFF,T1L 1A9,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,21,Lodge Assistance Program,BOW VALLEY REGIONAL HOUSING,(403) 678-5922,N/A,15-Jun-17,Mini Inspection Visit,12-Feb-08,1-Jul-15,30-Jun-18,3 Year - Full,70039710
Canada-AB-27-AB-SupportiveLiving-output-13,SUNRISE VILLAGE WETASKIWIN,5430 37A Avenue,WETASKIWIN,T9A 3A8,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,92,Health,SEASONS RETIREMENT COMMUNITIES (WETASKIWIN) GP INC.,(780) 352-4725,(780) 361-1970,15-Jun-17,Inspection Visit,27-Feb-08,31-Aug-17,30-Jun-18,Full,70039723
