Facility Name,Address,City,Postal Code,Province,Contact Phone,Fax,Accessibility,Service hours,Eligibility,country
AgeCentre ? Glenmore,1729 90 Avenue,Calgary,T2V 4S1,AB,403-253-8806(switchboard),403-212-3530,Wheel chair access available.; Motorized wheelchair and scooter use shall be accessed and approved by the Rehabilitation staff on site.,,Must be a Home Care client over the age of 65.Ê,Canada
AgeCentre - Midnapore,500  Midpark Way,Calgary,T2X 3S3,AB,403-873-2600(switchboard),403-254-9944,Wheel chair access available.; Front entrance is wheelchair accessible.,,Must be a Home Care client over the age of 65.Ê,Canada
Allen Gray Continuing Care Centre,5005 28 Avenue,Edmonton,T6L 7G1,AB,780-469-2371,780-465-2073,Wheel chair access available.; All Day programs operate out of Wheelchair accessible facilities.,Clients attend once or twice weekly from 9:30 am to 2:30 p,"To access the program, people must:Ê",Canada
Aspen House,4606 48 Avenue,St. Paul,T0A 3A3,AB,780-646-6381 (switchboard),,Wheel chair access available.,,To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
Banff - Mineral Springs Hospital,305 Lynx Street,Banff,T1L 1H7,AB,403-762-2222(switchboard),403-762-4193 (Switchboard),Wheel chair access available.,,,Canada
Bashaw Community Health Centre,5308 53 Street,Bashaw,T0B 0H0,AB,780-372-3731 (Switchboard),780-372-4050,Wheel chair access available.,Hours of operation are only for information on service delivery at this site.Asthma Education program is only offered on as need basis at this facilit,,Canada
Bassano Health Centre,608 5 Avenue,Bassano,T0J 0B0,AB,403-641-6100 (Switchboard),403-641-2157 (Switchboard),Wheel chair access available.,Visiting Hours Monday - Sunday before 8:00 pm is preferr,,Canada
Bentley Care Centre,4834 52 Avenue,Bentley,T0C 0J0,AB,403-748-4115,403-212-3530,Wheel chair access available.,Hours of operation for program informatio,,Canada
Bethany Airdrie,1736 1 Avenue,Airdrie,T4B 2C4,AB,403-948-6022,403-948-3897,Wheel chair access available.,,,Canada
Bethany Calgary,916 18A Street,Calgary,T2N 1C6,AB,403-284-6000 (switchboard),403-284-6085,Wheel chair access available.,,,Canada
Bethany Cochrane,302 Quigley Drive,Cochrane,T4C 1X9,AB,,,Wheel chair access available.; Main floor entrance and program site are wheelchair accessible.,,Must be a Home Care client over the age of 65.Ê,Canada
Bethany CollegeSide ,99 College Circle,Red Deer,T4R 0M3,AB,403-357-3700 (switchboard),403-341-5613,Wheel chair access available.,,,Canada
Bethany Harvest Hills,19  Harvest Gold Manor,Calgary,T3K 4Y1,AB,403-226-8200 (switchboard),403-226-7265,Wheel chair access available.,Staff are available 8:30am to 4:00pm for telephone call,Must be a Home Care client over the age of 65.Ê,Canada
Bethany Sylvan Lake,4700 47 Avenue,Sylvan Lake,T4S 2M3,AB,403-887-7741 (Switchboard),,Wheel chair access available.,Monday: 8:00 am - 4:00 pm.Tuesday: 8:00 am - 4:00 pm.Wednesday: 8:00 am - 4:00 pm.Thursday: 8:00 am - 4:00 pm.Friday: 8:00 am - 4:00 pm.Hours of operation are for information on service delivery and Receptio,,Canada
Big Country Hospital,312 3 Street,Oyen,T0J 2J0,AB,403-664-4300 (Switchboard),403-664-4325 (Switchboard),,,,Canada
Bow Crest Care Centre,5927 Bowness Road,Calgary,T3B 0C7,AB,403-288-2373,403-288-2403,Wheel chair access available.,,,Canada
Bow Island Health Centre,938 Centre Street,Bow Island,T0K 0G0,AB,403-545-3200 (Switchboard),403-545-6357 (Switchboard),Wheel chair access available.,"Facility is open 24/7.  The front door is locked at 9 p.m., but can be accessed by using a phone in the entry which connects to the Nurse's Statio",,Canada
Bow View Manor,4628 Montgomery Boulevard,Calgary,T3B 0K7,AB,403-288-4446 (Switchboard),403-288-8522,Wheel chair access available.,,Must be a Home Care client over the age of 65.Ê,Canada
Breton Health Centre,4919 49 Avenue,Breton,T0C 0P0,AB,780-696-4713,,Wheel chair access available.,"Statutory hours of operation: 9:00 a.m. - 2:30 p.m.Breakfast, coffee breaks and lunch available only to staff.Supper: available to staff and visitors by pre-ordering from patient menu throughÊFood ServicesÊdepartment.Menu Description: Patient men",,Canada
Brooks Health Centre,440 3 Street,Brooks,T1R 0G5,AB,403-501-3232 (Switchboard),403-362-6039 (Switchboard),Wheel chair access available.,Visiting Hours Monday - Sunday 12:00 pm to 8:00 p,,Canada
Brooks Home Care,311 9 Street,Brooks,T1R 1B7,AB,403-362-7766,403-362-7778,Wheel chair access available.,"Monday: 8:00 am - 4:30 pm.Tuesday: 8:00 am - 4:30 pm.Wednesday: 8:00 am - 4:30 pm.Thursday: 8:00 am - 4:30 pm.Friday: 8:00 am - 4:30 pm.Office is closed from 12:00 noon until 1:00 p.m. for lunch.
Registered Nurse is on call from 4:30 p.m. until 10:00 p.m. Monday to Friday, and from 8:00 a.m. until 10:00 p.m. Saturday and Sunday and Statutory Holiday",,Canada
Canmore General Hospital,1100 Hospital Place,Canmore,T1W 1N2,AB,403-678-5536 (Switchboard),403-678-9874 (Switchboard),Wheel chair access available.,,Must be a Home Care client over the age of 65.Ê,Canada
CapitalCare CHOICE Dickinsfield,14225 94 Street,Edmonton,T5E 6C6,AB,780-371-6642(Switchboard),780-476-4585,Wheel chair access available.,Client's attend once or twice weekly from 9:30 am to 3:30 p,"To access the program, people must:Ê",Canada
CapitalCare Grandview,6215 124 Street,Edmonton,T6H 3V1,AB,780-496-7100 (Switchboard),780-496-7150,Wheel chair access available.,,,Canada
CapitalCare Lynnwood,8740 165 Street,Edmonton,T5R 2R8,AB,780-341-2300 (switchboard),780-483-0720,Wheel chair access available.,,,Canada
CapitalCare Strathcona,12 Brower  Drive,Sherwood Park,T8H 1V3,AB,780-467-3366 (Switchboard),,Wheel chair access available.,Clients attend once or twice weekly from 9:00 am to 3:00 p,"To access the program, people must:Ê",Canada
Cardston Health Centre,144 2 Street,Cardston,T0K 0K0,AB,403-653-5234 (Switchboard),403-653-4399 or 403-653-4115,Wheel chair access available.; Wheelchair accessible washroom located near laboratory.,Visiting Hours Monday - Sunday 10:00 am to 8:00 p,The use of the assessment tool will indicate the level of care required.,Canada
Carewest Colonel Belcher,1939  Veterans Way,Calgary,T3B 5Y8,AB,403-944-7800 (switchboard),,Wheel chair access available.,,Must be a Home Care client over the age of 65.Ê,Canada
Carewest Dr. Vernon Fanning Centre,722 16 Avenue,Calgary,T2E 6V7,AB,403-230-6900,,Wheel chair access available.,,Must be a Home Care client over the age of 65.Ê,Canada
Carewest Garrison Green,3108  Don Ethell Boulevard,Calgary,T3E 6Z5,AB,403-944-0100 (Switchboard),403-944-0180,Wheel chair access available.,,,Canada
Carewest George Boyack ,1203 Centre Avenue,Calgary,T2E 0A5,AB,403-267-2750(switchboard),403-267-2757,Wheel chair access available.,,,Canada
Carewest Glenmore Park,6909 14 Street,Calgary,T2V 1P8,AB,403-258-7650,,Wheel chair access available.,Wednesday hour are for the Living With Dementia progra,Adults 65 years and older.,Canada
Carewest Nickle House,950  Robert  Road,Calgary,T2E 7T4,AB,403-520-6735 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Carewest Royal Park,4222 Sarcee Road,Calgary,T3E 7J8,AB,403-240-7475(switchboard),403-240-7476,Wheel chair access available.,,,Canada
Carewest Sarcee ,3504  Sarcee Road,Calgary,T3E 4T4,AB,403-686-8100 (switchboard),403-686-8104,Wheel chair access available.,,,Canada
Carewest Signal Pointe,6363 Simcoe Road,Calgary,T3H 4M3,AB,403-240-7950,403-240-7958,Wheel chair access available.,,Must be a Home Care client over the age of 65.Ê,Canada
Central Peace Health Complex,5010 45 Avenue,Spirit River,T0H 3G0,AB,780-864-3993 (Switchboard),780-864-3495 (Switchboard),Wheel chair access available.,Visiting Hours Monday - Sunday 9:00 am to 9:00 p,,Canada
Chateau Lac St. Anne,5123 49 Avenue,Onoway,T0E 1V0,AB,780-967-0475 (switchboard),,Wheel chair access available.,,To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
Chateau Three Hills,920 Main Street,Three Hills,T0M 2A0,AB,403-442-2121 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Chinook Lodge,451 3 Street,Cardston,T0K 0K0,AB,403-653-4251 (switchboard),,Wheel chair access available.; Visually impaired persons.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
