row_id,Facility Name,Address,City,Postal Code,Province,Contact Phone,Fax,Accessibility,Service hours,Eligibility,facility_type,country
Canada-AB-28-AB-ContinuingAndLongTermCare-output-1,AgeCentre ? Glenmore,1729 90 Avenue,Calgary,T2V 4S1,AB,403-253-8806(switchboard),403-212-3530,Wheel chair access available.; Motorized wheelchair and scooter use shall be accessed and approved by the Rehabilitation staff on site.,,Must be a Home Care client over the age of 65. ,Adult Day Support Program; Continuing Care Services; Respite Care,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-2,AgeCentre - Midnapore,500  Midpark Way,Calgary,T2X 3S3,AB,403-873-2600(switchboard),403-254-9944,Wheel chair access available.; Front entrance is wheelchair accessible.,,Must be a Home Care client over the age of 65. ,Adult Day Support Program; Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-3,Allen Gray Continuing Care Centre,5005 28 Avenue,Edmonton,T6L 7G1,AB,780-469-2371,780-465-2073,Wheel chair access available.; All Day programs operate out of Wheelchair accessible facilities.,Clients attend once or twice weekly from 9:30 am to 2:30 p,"To access the program, people must: ",Adult Day Support Program; Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-4,Aspen House,4606 48 Avenue,St. Paul,T0A 3A3,AB,780-646-6381 (switchboard),,Wheel chair access available.,,To access a designated living option a referral is made through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the client to review their healthcare needs and complete an assessment to determine eligibility.,Designated Supportive Living Level 3,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-5,Banff - Mineral Springs Hospital,305 Lynx Street,Banff,T1L 1H7,AB,403-762-2222(switchboard),403-762-4193 (Switchboard),Wheel chair access available.,,,Anaesthesia Services; Cafeteria Services; Cardiology - Electrocardiogram Services; Continuing Care Services; Diagnostic Imaging Services; Emergency Services; General Medicine - Inpatients; General Radiography (X-Ray); General Surgery - Inpatient; Hand Clinic; Health Information - Access and Disclosure; Health Information / Records Management; Hospitals; Internal Medicine - Inpatients; Interpretive Services; Laboratory Services; Lost and Found Services; Mental Health Urgent Care; Orthopedic Services - Outpatients; Parking Services; Patient Food Services; Patient Information; Pharmacy Services - Inpatients; Plastic Surgery; Pre-admission Clinic; Recreation Therapy; Registration; Short Stay Surgical Unit; Spiritual Care Services; Switchboard; Volunteer Resources; Walk-in Crisis Service,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-6,Bashaw Community Health Centre,5308 53 Street,Bashaw,T0B 0H0,AB,780-372-3731 (Switchboard),780-372-4050,Wheel chair access available.,Hours of operation are only for information on service delivery at this site.Asthma Education program is only offered on as need basis at this facilit,,Asthma Education Program; Community Health Centres; Continuing Care Counselling; Diagnostic Imaging Services; General Radiography (X-Ray); Health Information - Access and Disclosure; Health Information / Records Management; Home Care; Laboratory Services; Occupational Therapy Adult Community Rehabilitation Program; Palliative Care; Parking Services; Patient Information; Physical Therapy Adult Community Rehabilitation Program; Pulmonary Function Testing; Registration; Rehabilitation Home Care Services; Switchboard,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-7,Bassano Health Centre,608 5 Avenue,Bassano,T0J 0B0,AB,403-641-6100 (Switchboard),403-641-2157 (Switchboard),Wheel chair access available.,Visiting Hours Monday - Sunday before 8:00 pm is preferr,,Continuing Care Services (East); Diagnostic Imaging Services; Emergency Services; General Radiography (X-Ray); Health Information - Access and Disclosure; Health Information / Records Management; Hospitals; Laboratory Services; Occupational Therapy; Patient Food Services; Patient Information; Physical Therapy; Physical Therapy Acute Care Services; Regional Outpatient Respiratory Services; Registration; Respite Services - Medicine Hat; Switchboard; Therapeutic Recreation; Volunteer Resources,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-8,Bentley Care Centre,4834 52 Avenue,Bentley,T0C 0J0,AB,403-748-4115,403-212-3530,Wheel chair access available.,Hours of operation for program informatio,,Continuing Care Counselling; Continuing Care Services; Hairdressing Services; Occupational Therapy Services Continuing Care; Palliative Care; Patient Food Services; Physical Therapy Services Continuing Care; Respite Care; Speech Language Pathology - Continuing Care; Volunteer Resources,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-9,Bethany Airdrie,1736 1 Avenue,Airdrie,T4B 2C4,AB,403-948-6022,403-948-3897,Wheel chair access available.,,,Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-10,Bethany Calgary,916 18A Street,Calgary,T2N 1C6,AB,403-284-6000 (switchboard),403-284-6085,Wheel chair access available.,,,Continuing Care Services; Maximizing Dignity in Dementia with Expertise in Behaviour (MDE); Respite Care,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-11,Bethany Cochrane,302 Quigley Drive,Cochrane,T4C 1X9,AB,,,Wheel chair access available.; Main floor entrance and program site are wheelchair accessible.,,Must be a Home Care client over the age of 65. ,Adult Day Support Program; Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-12,Bethany CollegeSide ,99 College Circle,Red Deer,T4R 0M3,AB,403-357-3700 (switchboard),403-341-5613,Wheel chair access available.,,,Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-13,Bethany Harvest Hills,19  Harvest Gold Manor,Calgary,T3K 4Y1,AB,403-226-8200 (switchboard),403-226-7265,Wheel chair access available.,Staff are available 8:30am to 4:00pm for telephone call,Must be a Home Care client over the age of 65. ,Adult Day Support Program; Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-14,Bethany Sylvan Lake,4700 47 Avenue,Sylvan Lake,T4S 2M3,AB,403-887-7741 (Switchboard),,Wheel chair access available.,Monday: 8:00 am - 4:00 pm.Tuesday: 8:00 am - 4:00 pm.Wednesday: 8:00 am - 4:00 pm.Thursday: 8:00 am - 4:00 pm.Friday: 8:00 am - 4:00 pm.Hours of operation are for information on service delivery and Receptio,,Continuing Care Services; Designated Supportive Living Level 4; Palliative Care,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-15,Big Country Hospital,312 3 Street,Oyen,T0J 2J0,AB,403-664-4300 (Switchboard),403-664-4325 (Switchboard),,,,Continuing Care Services (East); Diagnostic Imaging Services; Emergency Services; General Radiography (X-Ray); Health Information - Access and Disclosure; Health Information / Records Management; Hospitals; Laboratory Services; Occupational Therapy; Patient Food Services; Patient Information; Physical Therapy; Physical Therapy Acute Care Services; Regional Outpatient Respiratory Services; Registration; Respite Services - Medicine Hat; Switchboard; Therapeutic Recreation; Volunteer Resources,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-16,Bow Crest Care Centre,5927 Bowness Road,Calgary,T3B 0C7,AB,403-288-2373,403-288-2403,Wheel chair access available.,,,Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-17,Bow Island Health Centre,938 Centre Street,Bow Island,T0K 0G0,AB,403-545-3200 (Switchboard),403-545-6357 (Switchboard),Wheel chair access available.,"Facility is open 24/7.  The front door is locked at 9 p.m., but can be accessed by using a phone in the entry which connects to the Nurse's Statio",,Best Babies; Building Blocks; Continuing Care Services (East); Diagnostic Imaging Services; Emergency Services; General Radiography (X-Ray); Health Information - Access and Disclosure; Health Information / Records Management; Hospitals; Laboratory Services; Occupational Therapy; Patient Food Services; Patient Information; Physical Therapy; Physical Therapy Acute Care Services; Regional Outpatient Respiratory Services; Registration; Respite Services - Medicine Hat; Switchboard; Therapeutic Recreation; Volunteer Resources,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-18,Bow View Manor,4628 Montgomery Boulevard,Calgary,T3B 0K7,AB,403-288-4446 (Switchboard),403-288-8522,Wheel chair access available.,,Must be a Home Care client over the age of 65. ,Adult Day Support Program; Continuing Care Services,Canada
