row_id,Facility Name,Address,City,Postal Code,Province,Contact Phone,Fax,Website,Health Authority,Publicly subsidized units,Private-pay units,Total Assisted Living units,country,type
Canada-BC-29-BC-AssistedLiving-output-1,1043 Harvey House,n/a,Kelowna,n/a,BC,n/a,n/a,www.jhscso.bc.ca,,0,9,9,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-2,Chartwell Chatsworth Retirement Residences,1831 Parkview Crescent,Kelowna,V1X 7G7,BC,250-860-1064,250-860-1094,www.chartwellreit.ca,,0,55,55,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-3,Fernbrae Manor,295 Gerstmar Road,Kelowna,V1X 7W9,BC,250-979-0600,250-979-0601,www.fernbraemanor.com,,0,5,5,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-4,Glenwood Homes Ltd.,766 Glenwood Avenue,Kelowna,V1Y 5M5,BC,250-762-0028,n/a,www.glenwoodseniorshome.ca,,0,14,14,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-5,Harmony Living for Seniors - Kelowna,962/964 Laurier Avenue,Kelowna,V1Y 6B1,BC,250-861-3991,250-861-3921,www.harmonylivingforseniors.ca,,0,17,17,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-6,Hawthorn Park Retirement Community,867 K.L.O. Road,Kelowna,V1Y 9G5,BC,250-861-6636,250-861-3404,www.hawthornpark.com,,0,35,35,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-7,Mountainview Village,1540 K.L.O. Road,Kelowna,V1W 3P6,BC,250-717-3918,250-717-3948,www.gss.org,Fraser Health Authority,89,0,89,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-8,Sun Pointe Village,700 Rutland Road North,Kelowna,V1X 7W8,BC,250-491-1400,250-491-1449,www.baptisthousing.org,Fraser Health Authority,20,39,59,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-9,The Heritage Retirement Residence,3630 Brown Rd,Kelowna,V4T 7Y9,BC,250-768-9926,250-768-9904,www.verveseniorliving.com,,0,35,35,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-10,The Village at Mill Creek,1450 Sutherland Avenue,Kelowna,V1Y 5Y5,BC,250-860-2216,250-980-5240,www.baptisthousing.org,Fraser Health Authority,38,58,96,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-11,Austin Harris Residence,5411 Moncton Street,Richmond,V7E 0A8,BC,604-277-9819,604-277-8834,www.vch.ca/EN/find_services/find_services/?&program_id=10568,Vancouver Coastal Health Authority,50,0,50,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-12,Courtyard Gardens,7051 Moffatt Road,Richmond,V6Y 3W2,BC,604-273-1225,604-273-9253,www.verveseniorliving.com,Vancouver Coastal Health Authority,62,25,87,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-13,Ayre Manor,6754 Ayre Road,Sooke,V9Z 1K1,BC,250-642-1750,250-642-1754,www.ayremanor.ca/,Vancouver Island Health Authority,20,5,25,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-14,Bedford Manor,529 Seymour Street,Kamloops,V2C 0A1,BC,250-434-1702,250-434-1703,n/a,Interior Health Authority,76,0,76,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-15,Berwick on the Park,60 Whiteshield Crescent South,Kamloops,V2E 2S9,BC,250-377-7275,250-377-7276,www.berwickrc.com,,0,25,25,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-16,Chartwell Kamloops Retirement Residence,628 Tranquille Road,Kamloops,V2B 3H6,BC,250-376-5363,250-376-5380,www.chartwell.com,,0,55,55,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-17,Greenfield Gardens,1607 Greenfield Ave,Kamloops,V2B 4N4,BC,250-554-9244,n/a,n/a,,0,21,21,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-18,Kamloops Seniors Village,1220 Hugh Allan Drive,Kamloops,V1S 2B3,BC,250-571-1800,250-571-1799,n/a,,0,27,27,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-19,The Hamlets at Westsyde,3255 Overlander Drive,Kamloops,V2B 0A5,BC,250-579-9061,250-579-9069,www.thehamletsatwestsyde.com/,Interior Health Authority,10,52,62,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-20,Berwick By The Sea,1353 16th Ave,Campbell River,V9W 2C9,BC,250-850-1353,250-850-1355,www.berwickrc.com,,0,30,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-21,Ironwood Place,1351 Ironwood Street,Campbell River,V9W 5Z7,BC,250-287-4486,250-287-4998,www.viha.ca/hcc/assisted/locations/ironwood_place.htm,Vancouver Island Health Authority,54,0,54,Canada,Assisted Living
