name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Baillie House,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11666 Laity Street,,,Maple Ridge,,,BC,,V2X 7G5,Canada,49.2155155,-122.6300294,Haney
Bradley Centre,,,, ,,604.795.4150,,,,,,,,,,,,604.795.4103,,,,,,,,,,,,,,,,,,,,,45600 Menholm Road,,,Chilliwack,,,BC,,V2P 1P7,Canada,49.166644,-121.9637349,Chilliwack Proper Village West
Carelife/Fleetwood,,,, ,,604.598.7229,,,,,,,,,,,,604.598.7200,,,,,,,,,,,,,,,,,,,,,8265 159 Street,,,Surrey,,,BC,,V4N 5T5,Canada,49.15269,-122.7822247,
Cedar Hill,,,, ,,604.533.6468,,,,,,,,,,,,604.533.6413,,,,,,,,,,,,,,,,,,,,,22051 Fraser Highway,,,Langley,,,BC,,V3A 4H4,Canada,49.09443570000001,-122.6124141,
Cottage-Worthington Pavilion,,,, ,,604.870.7997,,,,,,,,,,,,604.870.7999,,,,,,,,,,,,,,,,,,,,,33457 Cottage Lane,,,Abbotsford,,,BC,,V2S 0B3,Canada,49.041135,-122.297791,Mill Lake
Eagle Ridge Manor,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475 Guildford Way,,,Port Moody,,,BC,,V3H 3W9,Canada,49.2850899,-122.82402,
Fraser Hope Lodge,,,, ,,604.860.7708,,,,,,,,,,,,604.860.7706,,,,,,,,,,,,,,,,,,,,,1275A 7th Avenue,,,Hope,,,BC,,V0X 1L4,Canada,49.3768912,-121.4242582,
Evergreen Timbers,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5464 203 Street,,,Langley,,,BC,,V3A 0A4,Canada,49.1016929,-122.6584485,
MSA Manor,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2510 Gladwin Road,,,Abbotsford,,,BC,,V2T 3N9,Canada,49.0475096,-122.3145179,Mill Lake
Maple Hill,,,, ,,604.533.6426,,,,,,,,,,,,604.514.6095,,,,,,,,,,,,,,,,,,,,,22051 Fraser Highway,,,Langley,,,BC,,V3A 4H4,Canada,49.09443570000001,-122.6124141,
Marrwood,,,, ,,604.533.6401,,,,,,,,,,,,604.533.6423,,,,,,,,,,,,,,,,,,,,,22051 Fraser Highway,,,Langley,,,BC,,V3A 4H4,Canada,49.09443570000001,-122.6124141,
Mountain View Manor,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5800 Mountain View Boulevard,,,Delta,,,BC,,V4K 3V6,Canada,49.08567730000001,-123.0618836,Ladner
Peace Arch Hospital - Al Hogg Pavilion,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15521 Russell Avenue,,,White Rock,,,BC,,V4B 2R4,Canada,49.0301274,-122.7921925,
Queen's Park Care Centre,,,, ,,604.517.8651,,,,,,,,,,,,604.520.0911,,,,,,,,,,,,,,,,,,,,,315 McBride Boulevard,,,New Westminster,,,BC,,V3L 5E8,Canada,49.2168667,-122.9023583,
Rosewood,,,, ,,604.533.6427,,,,,,,,,,,,604.514.6026,,,,,,,,,,,,,,,,,,,,,22051 Fraser Highway,,,Langley,,,BC,,V3A 4H4,Canada,49.09443570000001,-122.6124141,
Oceanside,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15521 Russell Avenue,,,White Rock,,,BC,,V4B 2R4,Canada,49.0301274,-122.7921925,
Dania Manor,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4155 Norland Avenue,,,Burnaby,,,BC,,V5G 3S7,Canada,49.24722000000001,-122.97584,
Victoria Heights,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230 Ross Drive,,,New Westminster,,,BC,,V3L 0B1,Canada,49.21357899999999,-122.9001205,
Augustine House,,,, ,,,,,,,,,,,,,,,1.866.940.6005,,,,,,,,,,,,,,,,,,,,3820 Arthur Drive,,,Delta,,,BC,,V4K 3N2,Canada,49.073062,-123.077155,
