row_id,Facility Name,Address,City,Postal Code,Province,Contact Phone,Toll-Free Phone,Fax,Email,Services Hours,Wheelchair accessible,Parking Notes,Country,type
Canada-BC-30-BC-AssistedLiving-output-1,Baillie House,11666 Laity Street,Maple Ridge,V2X 7G5,BC,,,, ,,Wheelchair accessible.,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-2,Bradley Centre,45600 Menholm Road,Chilliwack,V2P 1P7,BC,604.795.4103,,604.795.4150, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-3,Carelife/Fleetwood,8265 159 Street,Surrey,V4N 5T5,BC,604.598.7200,,604.598.7229, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-4,Cedar Hill,22051 Fraser Highway,Langley,V3A 4H4,BC,604.533.6413,,604.533.6468, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-5,Cottage-Worthington Pavilion,33457 Cottage Lane,Abbotsford,V2S 0B3,BC,604.870.7999,,604.870.7997, ,24-Jul,Wheelchair accessible,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-6,Eagle Ridge Manor,475 Guildford Way,Port Moody,V3H 3W9,BC,,,, ,24-Jul,Wheelchair access from main entrance; single storey building.,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-7,Fraser Hope Lodge,1275A 7th Avenue,Hope,V0X 1L4,BC,604.860.7706,,604.860.7708, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-8,Evergreen Timbers,5464 203 Street,Langley,V3A 0A4,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-9,MSA Manor,2510 Gladwin Road,Abbotsford,V2T 3N9,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-10,Maple Hill,22051 Fraser Highway,Langley,V3A 4H4,BC,604.514.6095,,604.533.6426, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-11,Marrwood,22051 Fraser Highway,Langley,V3A 4H4,BC,604.533.6423,,604.533.6401, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-12,Mountain View Manor,5800 Mountain View Boulevard,Delta,V4K 3V6,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-13,Peace Arch Hospital - Al Hogg Pavilion,15521 Russell Avenue,White Rock,V4B 2R4,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-14,Queen's Park Care Centre,315 McBride Boulevard,New Westminster,V3L 5E8,BC,604.520.0911,,604.517.8651, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-15,Rosewood,22051 Fraser Highway,Langley,V3A 4H4,BC,604.514.6026,,604.533.6427, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-16,Oceanside,15521 Russell Avenue,White Rock,V4B 2R4,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-17,Dania Manor,4155 Norland Avenue,Burnaby,V5G 3S7,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-18,Victoria Heights,230 Ross Drive,New Westminster,V3L 0B1,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-19,Augustine House,3820 Arthur Drive,Delta,V4K 3N2,BC,,1.866.940.6005,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-20,The Emerald at Elim Village,9080 158 Street,Surrey,V4N 5G4,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-21,Sto:lo Elders Lodge,7519 Topaz Drive,Chilliwack,V2R 0E8,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-22,Bevan Lodge,33386 Bevan Avenue,Abbotsford,V2S 5G6,BC,604.850.5416,,604.850.5418, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-23,Gateway Independent Living for Seniors,13787 100 Avenue,Surrey,V3T 5X7,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-24,Waverly Seniors Village,8445 Young Road,Chilliwack,V2P 4P2,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-25,The Cascades,45586 McIntosh Drive,Chilliwack,V2P 7W8,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-26,Evergreen Heights,1501 Everall Street,White Rock,V4B 3S8,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-27,Czorny Alzheimer Centre,16850 66 Avenue,Surrey,V3S 5M1,BC,604.575.6700,,604.575.6710, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-28,Saint Michael's Centre,7451 Sussex Avenue,Burnaby,V5J 5C2,BC,604.434.1323,,604.434.6469, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-29,Belvedere Care Centre,739 Alderson Avenue,Coquitlam,V3K 1T9,BC,604.939.5991,,604.939.5910, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-30,Kinsmen Place Lodge,9650 137A Street,Surrey,V3T 4H9,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-31,Cherington Place,13453 111A Avenue,Surrey,V3R 2C5,BC,604.581.2885,,604.582.9028, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-32,Valhaven Home,4212 Balmoral Street,Abbotsford,V4X 2P7,BC,604.856.2812,,604.856.3243, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-33,White Rock Seniors Village,15628 Buena Vista Avenue,White Rock,V4B 1Z4,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-34,Langley Gardens,8888 202 Street,Langley,V1M 4A7,BC,604.888.0228,,604.881.8199, ,24-Jul,,,Canada,Assisted Living
