row_id,Facility Name,Area,Type,Contact Phone,Managed by,Cost,Apply hours,Apply Location,Eligibility,Other,Address Line1,Address Line2,City,Postal Code,Province,country
Canada-BC-31-BC-SeniorsServicesSoc-output-1,DANIA HOME,BURNABY SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),604-299-2414,Dania Society,Residential Care Public: 80% of net income,Every 1st and 3rd Tuesday at 11:00 a.m,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible; Smoking Allowed,4175 Norland Ave.,,Burnaby,V5G 3Z7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-2,PARKSIDE INTERMEDIATE CARE HOME,NORTHERN INTERIOR,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-563-1916,Northern Health Authority,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,1475 Edmonton St.,,Prince George,V2M 6W5,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-3,SIMON FRASER LODGE,NORTHERN INTERIOR,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-563-3413,Providence Health Care,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,2410 Laurier Cres.,,Prince George,V2M 2B3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-4,ACROPOLIS MANOR,NORTHWEST BC,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-627-8497,No Manager provided,Residential Care Public: 80% of net income,N/A,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,1325 Summit Ave.,,Prince Rupert,V8J 4C1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-5,ARRANGLEN GARDENS,VANCOUVER ISLAND CENTRAL,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-752-9277,CPAC Ltd.,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,2300 Fowler Rd.,,Qualicum Beach,V9K 2L1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-6,EAGLE PARK HEALTH CENTRE,VANCOUVER ISLAND CENTRAL,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-947-8220,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,777 Jones St.,,Qualicum Beach,V9K 2L1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-7,HAWTHORNE PLACE,VANCOUVER ISLAND CENTRAL,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-752-4217,Nova Pacific Care Inc,Market Rate,Regular office hours,Directly to building,Age Requirement: 55+,Pets Allowed; Wheelchair Accessible,750 Memorial Ave.,,Qualicum Beach,V9K 2P6,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-8,DUNROVIN PARK LODGE,NORTHERN INTERIOR,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-985-5800,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,361 Murphy St.,,Quesnel,V2J 3S3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-9,SAANICH PENINSULA HOSPITAL,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-652-3911,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,2166 Mount Newton Cross Rd.,,Saanichton,V8M 2B2,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-10,BASTION PLACE MULTILEVEL CARE,THOMPSON CARIBOO,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-833-3616,Interior Health Authority,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement,Wheelchair Accessible,700 11th St. NE,,Salmon Arm,V1E 4P9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-11,LADY MINTO GULF ISLANDS HOSPITAL,GULF ISLANDS,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-538-4800,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,135 Crofton Rd.,,Salt Spring Island,V8K 1T1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-12,ACACIA TY MAWR LODGE,VANCOUVER ISLAND CENTRAL,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-743-2124,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,2655 Shawnigan Lake Rd.,,Shawnigan Lake,V0R 2W0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-13,ABBEYFIELD ST. ANDREWS,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-656-4686,St. Andrews Abbeyfield Housing Society,Market Rate,Regular office hours,Directly to manager; Call or visit www.abbeyfield.ca,No Age Requirement,N/A,10017 5th St.,,Sidney,V8L 2X8,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-14,AMICA AT BEECHWOOD VILLAGE,VANCOUVER ISLAND SOUTH,"SUPPORTIVE HOUSING - RETIREMENT HOMES
ASSISTED LIVING - PRIVATE (apply directly to facility)",250-655-0849,Amica Mature Lifestyles Inc.,"Market RateAssisted Living Private: approx. $1,500-7,000/month",Regular office hours,Directly to manager; or visit www.amica.ca,No Age Requirement,Smoking Allowed; Wheelchair Accessible,2315 Mills Rd.,,Sidney,V8L 5W6,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-15,NORGARDEN,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-656-8822,Norgarden Ltd,Market Rate,Regular office hours,Directly to building,No Age Requirement,Pets Allowed; Wheelchair Accessible,2300 Henry Ave.,,Sidney,V8L 2B2,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-16,REST HAVEN LODGE,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-656-0717,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,2281 Mills Rd.,,Sidney,V8L 2C3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-17,SIDNEY INTERMEDIATE CARE HOME,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-656-0121,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,9888 5th St.,,Sidney,V8L 3X3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-18,ABBEYFIELD HOUSE OF VERNON,OKANAGAN NORTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-542-3711,Abbeyfield House Vernon Society,Market RateSAFER,Regular office hours,Directly to building; or visit: www.abbeyfield.ca,Age Requirement: 65+,Wheelchair Accessible,3511 27th Ave.,,Vernon,V1T 1S5,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-19,HERITAGE SQUARE,OKANAGAN NORTH,"ASSISTED LIVING - PUBLIC (apply through health authority)
RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority)",250-545-2060,Kaigo Retirement Communities,Residential Care Public: 80% of net incomeAssisted Living Public: 70% of net income,Regular office hours,Your local health authority,No Age Requirement,Wheelchair Accessible,3904 27th St.,,Vernon,V1T 4X7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-20,CANTERBURY COURT,OKANAGAN NORTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-503-2054,No Manager provided,Market Rate,Regular office hours,Directly to building; or email: info@canterburycourt.ca; or visit: www.canterburycourt.ca,Age Requirement: 55+,Pets Allowed; Wheelchair Accessible,3011 Gateby Pl.,,Vernon,V1T 9S4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-21,COLDSTREAM MEADOWS RETIREMENT COMMUNITY,OKANAGAN NORTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-542-5661,No Manager provided,Market Rate,Regular office hours,Directly to building,Age Requirement: 65+,Pets Allowed; Wheelchair Accessible,9104 Mackie Dr.,,Coldstream,V1B 1G9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-22,NORIC HOUSE,OKANAGAN NORTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-545-9167,Interior Health Authority,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,1400 Mission Rd.,,Vernon,V1T 9C3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-23,VERNON RESTHOLM,OKANAGAN NORTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-542-7636,No Manager provided,Market Rate,Monday - Friday 9am to 4pm,Directly to building,Age Requirement: 65+,Smoking Allowed,2808 35th St.,,Vernon,V1T 6B5,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-24,ABBEYFIELD HERITAGE HOUSE,VANCOUVER ISLAND SOUTH,ASSISTED LIVING - PUBLIC (apply through health authority),250-381-5243,Abbeyfield Heritage House Society,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,507 Government St.,,Victoria,V8V 2L6,BC,Canada
