row_id,Facility Name,Area,Operator,Address Line1,Address Line2,City,Postal Code,Province,Phone,Capacity,Link,country,facility_type
Canada-BC-32-BC-AssistedLiving-output-1,Ayre Manor Assisted Living,Sooke,Sooke Elderly Citizens Housing Society,6754 Ayre Road,,Sooke,V9Z 1K1,BC,250-642-1750,25,http://www.viha.ca/hcc/assisted/locations/ayre_manor.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-2,Braehaven,Salt Spring Island,Greenwoods Eldercare Society,137 Blain Road,Ganges,Salt Spring Island,V8K 0A1,BC,250-537-5561,30,http://www.viha.ca/hcc/assisted/locations/braehaven.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-3,Cokely Manor,Parksville,Arrowsmith Health Care (2011) Society,266A Moilliet St,,Parksville,V9P 1M9,BC,250-248-4331 ext 104,30,http://www.viha.ca/hcc/assisted/locations/cokely_manor.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-4,Comox Valley Seniors Village and Casa Loma,Courtenay,Retirement Concepts,4640 Headquarters Road,,Courtenay,V8N 7J3,BC,250-897-1033 ext 4,95,http://www.viha.ca/hcc/assisted/locations/comox_valley_seniors_village_and_casa_loma.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-5,The Cridge Village Seniors' Centre,Victoria,The Cridge Centre for the Family,1307 Hillside Ave,,Victoria,V8T 0A2,BC,250-384-8058,76,http://www.viha.ca/hcc/assisted/locations/cridge_village_seniors_centre.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-6,Forest Glen,Ucluelet,Sea View Seniors Housing Society,1783 St. Jacques Boulevard,,Ucluelet,V0R 3A0,BC,250-726-2789,10,http://www.viha.ca/hcc/assisted/locations/forest_glen.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-7,Grafton Lodge,Esquimalt,Greater VictoriaÊHousing Society,506 Grafton Street,,Victoria,V9A 7P8,BC,250-384-3434,12,http://www.viha.ca/hcc/assisted/locations/grafton_lodge.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-8,Heritage Place,Port Alberni,Alberni -ÊClayoquot Continuing Care Society,4360 Heritage Lane,,Port Alberni,V9Y 3C4,BC,250-735-0306,26,http://www.viha.ca/hcc/assisted/locations/heritage_place.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-9,Hillside Terrace,Victoria,Victoria Cool Aid Society,1460 Hillside Avenue,,Victoria,V8T 2B7,BC,250-383-1977Ê,45,http://www.viha.ca/hcc/assisted/locations/hillside_terrace.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-10,Ironwood Place,Campbell River,Campbell River & District Association for Community Living,1351 Ironwood Street,,Campbell River,V9W 5Z7,BC,250-287-4486 ext 222,54,http://www.viha.ca/hcc/assisted/locations/ironwood_place.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-11,Jesken Aerie,Langford,M'akola Housing Society,817 Goldstream Avenue,,Victoria,V9B 2X8,BC,250-474-1524,60,http://www.viha.ca/hcc/assisted/locations/jesken_aerie.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-12,Kiwanis Village,Nanaimo,Nanaimo District Senior Citizens Housing Development Society,1233 Kiwanis Crescent,,Nanaimo,V9S 5Y1,BC,250-753-6471,82,http://www.viha.ca/hcc/assisted/locations/kiwanis_village.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-13,La Rosa Gardens,Ladysmith,4 All Seasons Holdings Ltd.,1211 Cloke Road,,Ladysmith,V9G 2B6,BC,250-245-1016,60,http://www.viha.ca/hcc/assisted/locations/la_rosa_gardens.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-14,Legion Manor,Saanich Peninsula,South Vancouver Island Zone Housing Society,7601 East Saanich Road,,Saanich,V9M 0A3,BC,250-652-3261,147,http://www.viha.ca/hcc/assisted/locations/legion_manor.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-15,Luther Court,Cedar Hill / Saanich,Luther Court Society,1525 Cedar Hill Cross Road,,Victoria,V8P 5M1,BC,250-477-7241 ext 39,58,http://www.viha.ca/hcc/assisted/locations/luther_court.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-16,Marrion Village,Oak Bay,Baptist Housing Ministries Society,1950 & 1980 Bee Street,,Oak Bay,V8R 6P5,BC,250-592-2231,51,http://www.viha.ca/hcc/assisted/locations/marrion_village.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-17,Meadowbrook,Salt Spring Island,Gulf Islands Seniors Residents Society,121 Atkins Road,,Salt Spring Island,V8V 2L6,BC,250-538-1995,37,http://www.viha.ca/hcc/assisted/locations/meadowbrook.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-18,Nanaimo Seniors Village,Nanaimo,Retired Concepts,6089 Uplands Drive,,Nanaimo,V9V 1T8,BC,250-760-2328,152,http://www.viha.ca/hcc/assisted/locations/nanaimo_seniors_village.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-19,Parry Place,James Bay,Beacon Community Services,408 Parry Street,,Victoria,V8V 2H7,BC,250-382-4443,21,http://www.viha.ca/hcc/assisted/locations/parry_place.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-20,Tsawaayuus (Rainbow Gardens),Port Alberni,West Coast Native Health Care Society,6222 Compton Rd,,Port Alberni,V9Y 7B8,BC,250-724-5655,10,http://www.viha.ca/hcc/assisted/locations/rainbow_gardens.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-21,Ross Place,Downtown Victoria,Ross Place Seniors Residence Society,2638 Ross Lane,,Victoria,V8T 5L5,BC,250-381-8666,186,http://www.viha.ca/hcc/assisted/locations/ross_place.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-22,Selkirk Place Assisted Living,Victoria,Selkirk Seniors Village LLP,385 Waterfront Cres.,,Victoria,V8T 0A7,BC,250-940-1028 ext 1111,41,http://www.viha.ca/hcc/assisted/locations/selkirk_place.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-23,SHOAL Centre: Assisted Living,Sidney,Beacon Community Services,10030 Resthaven Dr,,Sidney,V8L 3G4,BC,250-656-5537 ext 111,79,http://www.viha.ca/hcc/assisted/locations/shoal_centre.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-24,Stanford Place,Parksville,Stanford Seniors Village LLP,250 Craig Street,,Parksville,V9P 0A7,BC,250-951-0811 ext 1101,52,http://www.viha.ca/hcc/assisted/locations/stanford_place.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-25,The Cedars,Victoria,Dawson Heights Housing Ltd.,3710 Cedar Hill Road,,Victoria,V8P 5V5,BC,250-477-4850,53,http://www.viha.ca/hcc/assisted/locations/the_cedars.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-26,The Gardens at Qualicum Beach Assisted Living,Qualicum Beach,"Qualicum Beach Retirement Residences, LLP",650 Berwick Road North,,Qualicum Beach,V9K 2T8,BC,250-738-2252,205,http://www.viha.ca/hcc/assisted/locations/the_gardens_at_qualicum_beach.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-27,The Meadows at Sunridge Place,Duncan,Sunridge Place Ltd. Partnership,574 Coronation Avenue,,Duncan,V9L 2T9,BC,250-748-8048 ext 1133,50,http://www.viha.ca/hcc/assisted/locations/the_meadows_at_sunridge_place.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-28,The Steeples,Chemainus,Steeples Housing Society,9910 Esplanade Street,,Chemainus,V0R 1K1,BC,250-246-1805,16,http://www.viha.ca/hcc/assisted/locations/the_steeples.htm,Canada,Assisted Living
Canada-BC-32-BC-AssistedLiving-output-29,The Wellesley,Victoria,Retirement Concepts Senior Services Ltd.,2811 Nanaimo Street,,Victoria,V8T 0A1,BC,250-419-6802 or 250-383-9099,64,http://www.viha.ca/hcc/assisted/locations/the_wellesley.htm,Canada,Assisted Living
