row_id,Address Line1,Email,Fax,Contact Phone,City,Postal Code,Province,Facility Name,,country,facility_type
Canada-BC-33-BC-AssistedLiving-output-1,2423 Cornwall Avenue,mcintosh@axion.net,(604) 733-8298,(604) 733-7133,Vancouver,V6K 1B9,BC,Point Grey Private Hospital,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-2,1070 Lynn Valley Road,,,(604) 417-5477,North Vancouver,V7J 1Z8,BC,Lynn Valley Care Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-3,2785 Ash Street,,(604) 875-5426,(604) 875-4111,Vancouver,V5Z 1M9,BC,Vancouver General Hospital - Banfield Pavilion,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-4,7850 Champlain Crescent,,(604) 437-7373,(604) 437-7343,Vancouver,V5S 4C7,BC,Royal Arch Masonic Home,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-5,1377 Lamey's Mill Road,,,(604) 733-1441,Vancouver,V6H 3S9,BC,Broadway Pentecostal Lodge,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-6,306 East Cordova Street,info@cccares.org,(604) 684-2575,(604) 684-2545,Vancouver,V6A 1L5,BC,Cooper Place,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-7,851 Boundary Road,,,(604) 299-7567,Vancouver,V5K 4T2,BC,Adanac Park Lodge,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-8,525 Clyde Avenue,capilano@reveraliving.com,(604) 926-9169,(604) 926-6856,West Vancouver,V7T 1C4,BC,Capilano Care Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-9,810 West 27th Avenue,info@stjudes.bc.ca,(604) 874-3459,(604) 874-3200,Vancouver,V5Z 2G7,BC,St. Jude's Anglican Home,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-10,2934 East 22nd Avenue,info@threelinks.com,(604) 438-7563,(604) 434-7211,Vancouver,V5M 2Y4,BC,Three Links Care Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-11,845 Bute Street,,(604) 687-0645,(604) 687-5584,Vancouver,V6E 4A1,BC,Haro Park Centre,,Canada,AssistedLiving
