row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,street_address,po_box,city,province,postal_code,country
Canada-MB-20-LongTermCare-20-LongTermCare-1,Abbeyfield House Dominion City,,,,,,,,,,www.abbeyfielddominioncity.ca,,Dave Kirkpatrick,(204) 427-2557,,(204) 427-2224,info@abbeyfielddominioncity.ca,152 Franklin Ave,Box 69,Dominion City,MB,R0A 0H0,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-2,Cambridge House,,,,,,,,,,www.geriatricare.ca,,Joyce LloydResidence Manager,(204)785-1066 Ext 1,,(204) 785-2251,jloyd@geriatricare.ca,300 Tudor Road,,Selkirk,MB,R1A 2G6,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-3,ArlingtonHaus,,,,,,,,,,,,Pam TaylorAdministratorThe Bethania Group,(204) 783-3752,,(204) 772-5534,pam.taylor@bethania.ca,880 Arlington Street,,Winnipeg,MB,R3E 3H2,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-4,The Waverley,,,,,,,,,,www.reveraliving.com,,Jodi  Arnal or Janice Benson,(204) 487-9600,,,jodi.arnal@reveraliving.comjanice.benson@reveraliving.com,857 Wilkes Ave,,Winnipeg,MB,R3P 2M2,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-5,Fred Douglas Gardens,,,,,,,,,,www.freddouglassociety.com;www.lifelease.ca,,Acorn Developments,(204) 982-2000,,(204) 669-4509,admin@fdl.mb.ca,100 the Promenade,,Winnipeg,MB,R3B 2H9,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-6,The Landing at Riverwood Square,,,,,,,,,,www.riverwoodsquare.com,,,(204) 275-7632,,(204) 261-3484,lsherrin@riverwoodsquare.com,1778 Pembina Hwy,,Winnipeg,MB,R3T 1R2,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-7,Rotary Villas at Crocus Gardens,,,,,,,,,,www.rotaryvillas.ca,,,(204) 725-1340,,(204) 726-1811,info@rotaryvillas.ca,Unit A 1340 10th Street,,Brandon,MB,R7A 6Z3,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-8,Woodland Courts,,,,,,,,,,www.geriatricare.ca,,,(204) 785-1066,,(204) 785-2251,jlloyd@geriatricare.ca,387 Annie Street,,Selkirk,MB,R1A 3Y8,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-9,Windsor Park Place,,,,,,,,,,www.actionmarguerite.ca,,,(204) 233-3692(ext. 554),,(204) 233-6803,tparisien@actionmarguerite.ca,875 Elizabeth Road,,,MB,,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-10,Beacon Hill Lodge,,,,,,,,,,www.reveraliving.com/long-term-care/locations/beacon-hill-lodge,,,(204) 942-7541,,(204) 944-0136,beaconhilllodge@reveraliving.com,190 Fort Street,,Winnipeg,MB,R3C 1C9,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-11,Rosewood,,,,,,,,,,www.reveraliving.com/Rosewood,,,(204) 487-9600,,(204) 488-3876,rosewood@reveraliving.com,857 Wilkes Avenue,,Winnipeg,MB,R3P 2M2,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-12,Riverside Lions Seniors Residences,,,,,,,,,,www.riversidelions.mb.ca,,,(204) 255-8940,,(204) 255-1527,bshields@riversidelions.mb.ca,180 Worthington Avenue,,Winnipeg,MB,R2M 1S4,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-13,Niverville Credit Union Manor,,,,,,,,,,,,,(204) 388-5000ext 207,,(204) 388-6431,,Unit 100-111 2nd Ave,,S Niverville,MB,R0A 0A1,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-14,Bayshore Home Health,,,,,,,,,,www.bayshore.ca,,"Olwyn Lewis, BA, RN, BNArea Director",204.943.7124 Ext 40414,,204.943.7136,olewis@bayshore.ca,1700 Ness Avenue,,Winnipeg,MB,R3J 3Y1,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-15,Re̩sidence Despins,,,,,,,,,,www.resdespins.ca,,,(204) 480-2900,,(204) 235-6419,afoidart@despinscharities.ca,151 Despins Street,,Winnipeg,MB,R2H 0L7,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-16,We Care Home Health Services,,,,,,,,,,www.wecare.ca,,,(204) 987-3044,,(204)987-3060,pamfox@wecare.ca,209-1661 Portage Ave,,Winnipeg,MB,R3J 3T7,Canada
