row_id,name,license_num,website,contact,phone,cell,fax,email,management_company_name,management_company_phone,rents,subsidized_rent,included_utilities,safety_features,resident_parking,visitor_parking,shuttle_bus,bus_stop,year_built,number_of_floors,building_features,laundry_type,flooring_type,street_address,po_box,city,province,postal_code,country,facility_type
Canada-MB-22-SeniorHousing-22-SeniorHousing-1,Chelsea Place 1 & 2,,http://www.qualitymanagement.net,,2044520110x116,,,,Quality Management Ltd,204 452-0110,Bachelor/Studio - $867 + (520 sq/ft); One Bedroom - $909 + (785 sq/ft); Two Bedroom - $1142 + (1030 sq/ft); Three Bedroom - $1449 + up (1150 sq/ft),FALSE,Heat; Hydro; Water,Cameras; Enterphone System; Locked Building; Night Security; On-Site Personnel,Aboveground $43 / month; Underground $54 / month,TRUE,To grocer,On Beliveau Rd at Eric St (eastbound & westbound) route 55,1970,12,Air Conditioning; Balcony/Patio; Elevator; Exercise Facilities; Party Room; Sauna; Storage Locker/Room,Smart Card,Carpet; Hardwood; Vinyl,130 Beliveau St,,Winnipeg,MB,R2M 1S7,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-2,Arden Hollows,,http://www.timbercreekfunds.com,,204 509-7806,,,,Timbercreek Asset  Management Inc,204 942-5622,One Bedroom - $1158; Two Bedroom - $1250 - $1450,FALSE,Heat; Water,Cameras; Key-Card Entry,Heated underground $85 / outside parking $65,FALSE,No,"On St. Mary's routes 14, 54, 51, 76",,9,; Central Air;  dishwasher;  newly renovated,", In suite washer dryer",Hardwood; and ceramic flooring,15 Arden Ave,,Winnipeg,MB,R2M 2J8,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-3,Arden Estates,,,,204 960-1344,,,,A.S.H. Management,204 982-7973,One Bedroom - $835 +; Two Bedroom - $935 +,FALSE,Water,Cameras; Enterphone System; Locked Building,$45 / mth  surface lot,FALSE,,"On St. mary's Rd. route 14, 54, 51, 76",,4,Air Conditioning; Balcony/Patio; Elevator; Dishwasher,Smart Card,Carpet; Vinyl,24 Arden Ave,,Winnipeg,MB,R2M 2J9,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-4,Appleton Estates II,,http://www.EdisonProperties.ca,,204 940-3483,,,135niakwa@edisonproperties.ca,Edison Properties,401 - 10 Fort Street,One Bedroom - starting at  $682 - $917; Two Bedroom - starting at  $808 - $983,FALSE,Water,Alarm System; Cameras; Enterphone System; Key-Card Entry; Locked Building; On-Site Personnel,Underground $40 / month,TRUE,To grocer two times per week,On Niakwa Rd at Chemin Seagrim (eastbound & westbound) route 16,1983,16,Air Conditioning; Balcony/Patio; Elevator; Party Room; Pool; Recycling Program; Sauna,", laundry card system",Carpet,135 Niakwa Rd,,Winnipeg,MB,R2M 5K2,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-5,St. Vital Knights Villa Phase 1,,,,204 982-2000,,,,Murdoch Management,204 982-2000,One Bedroom - 28 % of gross income,TRUE,Heat; Hydro; Water,Locked Building,Available,FALSE,to grocer 1x per week,On St. Anne's Rd. route 55 & 59,,4,Elevator; Party Room; Garden plots available,Coin Operated,Carpet; Vinyl,537 St Anne's Rd,,Winnipeg,MB,R2M 3E8,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-6,Willow Centre,,,,204 632-5940,,,,The Willow Centre,,Bachelor/Studio - $443-$507,TRUE,Cable; Heat; Hydro; Water,Cameras; Enterphone System; Locked Building; On-Site Personnel; key fob entry,Surface lot $15 / mth,FALSE,For special outings only,On Tyndall Ave route 16,1972,2,Air Conditioning; Elevator; Party Room; Recycling Program; Stand alone A/C,Included In Rent,Carpet; Tile,61 Tyndall Ave,,Winnipeg,MB,R2X 2T4,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-7,St Mary The Protectress Ukranian Orthodox Millenium Villa Inc.,,,,204 586-5816,,,,,,One Bedroom - $545 (520 sq/ft); Two Bedroom - $619 (700 sq/ft),TRUE,Heat; Hydro; Water,Cameras; Emergency Pull Cord; Enterphone System; Locked Building; On-Site Personnel,Aboveground; fenced $12/month,FALSE,To grocer once per week,On Arlington St at Burrows Ave (northbound & southbound) route 71,1989,5,Balcony/Patio; Elevator; Recycling Program; Sauna; Storage Locker/Room,Included In Rent,Carpet; Vinyl,800 Burrows Ave,,Winnipeg,MB,R2X 3A9,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-8,Chalet Louis Riel,,,,,,,,Chalet Louis Riel Corp.,204  255-6026,Bachelor/Studio - $341 + (330 sq/ft); One Bedroom - $550 (460 sq/ft),FALSE,Heat; Hydro; Water,Alarm System; Locked Building,Aboveground $20/month,FALSE,"To Safeway on Tuesdays, to Sobey's on Thursdays",On St Anne‰Ûªs Rd at Sterling Ave (northbound & southbound) routes 55 & 59,1972,1,Balcony/Patio; Storage Locker/Room; Common Room,Coin Operated,Vinyl; Tile,67 Richfield Ave,,Winnipeg,MB,R2M 2R9,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-9,Templeton Properties,,,,204 334-0420,,,,W.R.E. Development Ltd.,204 889-5409,Bachelor/Studio - $431+; One Bedroom - $551+,TRUE,Heat; Water,On-Site Personnel; Management on site,Aboveground $24/month,FALSE,No,On Templeton Ave at Tanner St (eastbound & westbound) route 77,1956,,; window coverings,", laundry on site",Carpet; Vinyl,250 300 Templeton Ave,,Winnipeg,MB,R2V 1S2,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-10,St Benedict's Place,,http://www.stbens.ca,,,,,,Sisters of the Order of St Benedict,204  338-4601,One Bedroom - $1524 (375 sq/ft),FALSE,Cable; Heat; Hydro; Telephone; Water,Alarm System; Enterphone System; Locked Building,Garage with plug $40/month; outside with plug $20/month; outside no plug included in rent,TRUE,To mall twice per week,,1966,3,Air Conditioning; Elevator; Exercise Facilities; Party Room; Recycling Program; Large Sitting Room,"Included In Rent, weekly housekeeping",Carpet; Vinyl; renovated in 2006,225 Masters Ave,,Winnipeg,MB,R4A 2A1,Canada,Senior Housing
