name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Alonsa (Southern Health RHA) Railway Avenue S or Main Street West,,,Stan Plewak,,,,,,,,,,,,,,,204-622-2092,,,,,,,,,,,,,,,,,Senior Housing,,,,,,,Alonsa,,,MB,,R0H 0A0,Canada,50.801177,-98.97760699999999,
Altona (Southern Health RHA) Buffalo Apartments,,,Jake Penner,,,,,Box 152,,,,,,,,,,204-324-8945,,,,,,,,,,,,,,,,,Senior Housing,,,,235 - 5th St. N.E.,,,Altona,,,MB,,R0G 0B0,Canada,49.1100509,-97.5528853,
Angusville (Southern Health RHA) Graham and Wright St.,,,Gail Chescu ”ÛÄ,,,,,,,,,,,,,,,204-937-6474,,,,,,,,,,,,,,,,,Senior Housing,,,,Graham and Wright St.,,,Angusville,,,MB,,ROJ OAO,Canada,50.7349275,-101.0187192,
Anola (Interlake RHA) Sunrise Lodge,,,Laura Crandoll,,,,,,,,,,,,,,,204-866-3280,,,,,,,,,,,,,,,,,Senior Housing,,,,835 Wieser Crescent,,,Anola,,,MB,,R0E 0A0,Canada,49.8838686,-96.6426024,
Arborg (Interlake RHA) Sunrise Lodge,,,Keith Poleschuk (MHA Gimli),,,,,,,,,,,,,,,204-642-6061,,,,,,,,,,,,,,,,,Senior Housing,,,,405 Crosstown Ave,,,Arborg,,,MB,,R0C 0A0,Canada,50.9086869,-97.21640599999999,
Ashern (Interlake RHA) First Choice Manor,,,Phillip Russell,,,,,,,,,,,,,,,1-866-440-4663,,,,,,,,,,,,,,,,,Senior Housing,,,,Ave. N.,,,Ashern,,,MB,,R0C 0E0,Canada,51.184704,-98.346336,
Austin (Southern Health RHA) Hill View Lodge Inc.,,,Debbie Early,,,,,Box 99,,,,,,,,,,204-637-2355,,,,,,,,,,,,,,,,,Senior Housing,,,,", 46 Main St.",,,Austin,,,MB,,R0H 0C0,Canada,49.9469601,-98.9328273,
Baldur (Prairie Mountain Health RHA) Argyle Lodge,,,Doris Smout,,,,,,,,,,,,,,,204-535-2190,,,,,,,,,,,,,,,,,Senior Housing,,,,156 Elizabeth Street,,,Baldur,,,MB,,R0K 0B0,Canada,49.38490219999999,-99.2481487,
Balmoral (Interlake RHA) Sprucewood Place,,,Maureen Paskaruk (MHA Gimli),,,,,,,,,,,,,,,204-642-6060,,,,,,,,,,,,,,,,,Senior Housing,,,,6013 E PR 236,,,Balmoral,,,MB,,R0C 0H0,Canada,50.1303353,-97.3217469,
Beausejour (Interlake RHA) South Haven,,,Doreen Kerr,,,,,,,,,,,,,,,204-264-4131,,,,,,,,,,,,,,,,,Senior Housing,,,,418-1st Street North,,,Beausejour,,,MB,,R0E 0C0,Canada,50.0613495,-96.5215058,
Belmont (Prairie Mountain Health RHA) Strathcona Belcrest Manor,,,Brenda &amp; Maurice Hutlet,,,,,,,,,,,,,,,204-537-2711,,,,,,,,,,,,,,,,,Senior Housing,,,,,,,Belmont,,,MB,,R0K 0C0,Canada,49.409886,-99.456436,
Benito (Prairie Mountain Health RHA) 200 Main St.,,,,,,,,,,,,,,,,,,204-937-8326,,,,,,,,,,,,,,,,,Senior Housing,,,,200 Main St.,,,Benito,,,MB,,R0L 0C0,Canada,51.916617,-101.548245,
Binscarth (Prairie Mountain Health RHA) Westview Lodge,,,Gail Chescu,,,,,,,,,,,,,,,1-888-567-8125,,,,,,,,,,,,,,,,,Senior Housing,,,,122-2nd Ave,,,Binscarth,,,MB,,R0J 0C0,Canada,50.6230644,-101.2834328,
Birch River (Prairie Mountain Health RHA) Birchwood Place,,,,,,,,,,,,,,,,,,204-937-8326,,,,,,,,,,,,,,,,,Senior Housing,,,,319 Victoria Avenue,,,Birch River,,,MB,,R0L 0E0,Canada,52.39550490000001,-101.1069029,
Birds Hill (Interlake RHA) Birds Hill Manor,,,Ronda Sitka (MHA Selkirk),,,,,,,,,,,,,,,204-785-5382,,,,,,,,,,,,,,,,,Senior Housing,,,,3110 Birds Hill Rd.,,,Birds Hill,,,MB,,R0E 0H0,Canada,49.97443099999999,-97.009272,
Birtle (Prairie Mountain Health RHA) Pioneer Lodge,,,,,,,,,,,,,,,,,,204-726-6455,,,,,,,,,,,,,,,,,Senior Housing,,,,159-7th St.,,,Birtle,,,MB,,R0M 0C0,Canada,50.422791,-101.048325,
Boissevain (Prairie Mountain Health RHA) Jubillee Manor,,,,,,,,,,,,,,,,,,204-726-6455,,,,,,,,,,,,,,,,,Senior Housing,,,,335 North Railway,,,Boissevain,,,MB,,R0K 0E0,Canada,49.231375,-100.0576626,
Bowsman (Prairie Mountain Health RHA) Bowsman Community Manor Inc.,,,,,,,,,,,,,,,,,,204-937-8326,,,,,,,,,,,,,,,,,Senior Housing,,,,,,,Bowsman,,,MB,,R0L 0H0,Canada,52.2371165,-101.2085115,
Brandon (Prairie Mountain Health RHA) Kin Village Inc.,,,Sheryl Hyne-Cavers,,,,,,,,,,,,,,,204-728-1514,,,,,,,,,,,,,,,,,Senior Housing,,,,415-11th Street,,,Brandon,,,MB,,R7A 4K2,Canada,49.8433855,-99.95240199999999,
Brookdale (Prairie Mountain Health RHA) Railway Ave.,,,,,,,,,,,,,,,,,,204-726-6455,,,,,,,,,,,,,,,,,Senior Housing,,,,Railway Ave,,,Brookdale,,,MB,,R0K 0G0,Canada,50.047798,-99.562491,
Carberry (Prairie Mountain Health RHA) Carberry Plains Lodge,,,Helen Muirhead,,,,,,,,,,,,,,,204-834-2808,,,,,,,,,,,,,,,,,Senior Housing,,,,240 Simcoe St.,,,Carberry,,,MB,,R0K 0H0,Canada,49.8704328,-99.3597157,
Carman (Southern Health RHA) O'Brien Oakes,,,Susanne Moran,,,,,,,,,,,,,,,204-239-3688,,,,,,,,,,,,,,,,,Senior Housing,,,,"159-1st Ave, NW",,,Carman,,,MB,,,Canada,49.5096292,-98.01012779999999,
Cartwright (Prairie Mountain Health RHA) Badger Creek Lodge,,,Fern Gervais (MH Portage),,,,,,,,,,,,,,,204-248-7274,,,,,,,,,,,,,,,,,Senior Housing,,,,"700 Bowles Street, N",,,Cartwright,,,MB,,R0K 0L0,Canada,49.09602829999999,-99.3378413,
Churchill (Winnipeg RHA) O Connor Block,,,Angela Campbell (MHA Churchill),,,,,,,,,,,,,,,204-675-8838,,,,,,,,,,,,,,,,,Senior Housing,,,,85-103 Hendry,,,Churchill,,,MB,,R0B 0E0,Canada,58.76812039999999,-94.15934949999999,
Clearwater (Southern Health RHA) Valley Villa,,,Fern Gervais (MH Portage),,,,,,,,,,,,,,,204-248-7274,,,,,,,,,,,,,,,,,Senior Housing,,,,PR 342,,,Clearwater,,,MB,,R0K 0M0,Canada,49.2195976,-98.9749081,
Cooks Creek (Interlake RHA) Pleasant View Lodge,,,,,,,,Box 70,,,,,,,,,,,,,,,,,,,,,,,,,,,Senior Housing,,,,", RR 2",,,Cook's Creek,,,MB,,R0E 0K0,Canada,50.018192,-96.77339599999999,
Crystal City (Southern Health RHA) Parkview Community Lodge,,,Joyce Reimer,,,,,,,,,,,,,,,204-873-2603,,,,,,,,,,,,,,,,,Senior Housing,,,,25 North Railway Ave W,,,Crystal City,,,MB,,R0K 0N0,Canada,49.1479945,-98.9513284,
Cypress River (Prairie Mountain Health RHA) Cypress River Lodge,,,Rita Hyrich,,,,,,,,,,,,,,,204-743-2289,,,,,,,,,,,,,,,,,Senior Housing,,,,134 Railway Ave,,,Cypress River,,,MB,,R0K 0P0,Canada,49.5548858,-99.088855,
Dauphin (Prairie Mountain Health RHA) Spruce Manor,,,Bev M. Sarkonak,,,,,,,,,,,,,,,204-638-5143,,,,,,,,,,,,,,,,,Senior Housing,,,,38-6th Ave. NW,,,Dauphin,,,MB,,R7N 1J6,Canada,51.1540316,-100.0463002,
Deloraine (Prairie Mountain Health RHA) Centennial Apts.,,,Rose Long,,,,,Box 512,,,,,,,,,,204-747-2697,,,,,,,,,,,,,,,,,Senior Housing,,,,"502 South Railway West,",,,Deloraine,,,MB,,R0M 0M0,Canada,49.1933358,-100.4985442,
Dominion City (Southern Health RHA) Franklin Manor,,,Gordon Daman,,,,,PO Box 66,,,,,,,,,,855-371-5833 (Toll Free)  or 204-289-3039 - Ext. 200,,,,,,,,,,,,,,,,,Senior Housing,,,,,,,Dominion City,,,MB,,R0A 0H0,Canada,49.141929,-97.155422,
Dugald (Interlake RHA) Evergreen Lodge,,,Municipal Office of Oakbank,,,,,,,,,,,,,,,204-444-3321,,,,,,,,,,,,,,,,,Senior Housing,,,,735 Dugald Road,,,Dugald,,,MB,,R0E 0K0,Canada,49.88589519999999,-96.82265489999999,
Eddystone (Prairie Mountain Health RHA) Eddystone Villa,,,Michael Coombs,,,,,,,,,,,,,,,204-622-2092,,,,,,,,,,,,,,,,,Senior Housing,,,,Hwy 68 E,,,Eddystone,,,MB,,R0L 0S0,Canada,51.090151,-99.14949229999999,
Elie (Southern Health RHA) Manoir Cartier Inc.,,,Stella Remillard,,,,,Box 117,,,,,,,,,,204-353-2757,,,,,,,,,,,,,,,,,Senior Housing,,,,", 11 Magloire",,,Elie,,,MB,,R0H 0H0,Canada,49.9023876,-97.7603912,
Elkhorn (Prairie Mountain Health RHA) Elkview Lodge,,,,,,,,,,,,,,,,,,204-726-6455,,,,,,,,,,,,,,,,,Senior Housing,,,,,,,Elkhorn,,,MB,,R0M 0N0,Canada,49.9753646,-101.2408403,
Elm Creek (Southern Health RHA) Heritage Manor,,,,,,,,,,,,,,,,,,204-436-2592,,,,,,,,,,,,,,,,,Senior Housing,,,,78 Gordon Ave.,,,Elm Creek,,,MB,,R0G 0N0,Canada,49.67445970000001,-97.9975272,
Elphinstone (Prairie Mountain Health RHA) Railway Ave.,,,MHA Brandon,,,,,,,,,,,,,,,204-726-6455,,,,,,,,,,,,,,,,,Senior Housing,,,,,,,Elphinstone,,,MB,,R0J 0N0,Canada,50.5313244,-100.3220386,
Emerson (Southern Health RHA) South Gate Haven Inc.,,,Caroline Schellenberg,,,,,,,,,,,,,,,204-324-5308,,,,,,,,,,,,,,,,,Senior Housing,,,,115 Dominion,,,Emerson,,,MB,,R0L 0L0,Canada,49.0070672,-97.21326499999999,
Erickson Parkland Home Inc.,,,Tara Elliott,,,,,,,,,,,,,,,204-636-2717,,,,,,,,,,,,,,,,,Senior Housing,,,,,,,Erickson,,,MB,,R0J 0P0,Canada,50.4983243,-99.91402269999999,
Eriksdale (Interlake RHA) The Friendly Villa,,,Phillip Russell,,,,,,,,,,,,,,,(204) 302-0278,,,,,,,,,,,,,,,,,Senior Housing,,,,11 May St.,,,Eriksdale,,,MB,,R0C 0W0,Canada,50.85885930000001,-98.1050038,
Ethelbert (Prairie Mountain Health RHA) Sunnyside Lodge,,,Michael Coombs,,,,,,,,,,,,,,,204-622-2092,,,,,,,,,,,,,,,,,Senior Housing,,,,81 River Ave.,,,Ethelbert,,,MB,,R0L 0T0,Canada,51.5313336,-100.3927722,
Fisher Branch (Interlake RHA) Fisher Branch Chalet,,,Keith Poleschuk (MHA Gimli),,,,,,,,,,,,,,,204-642-6061,,,,,,,,,,,,,,,,,Senior Housing,,,,7 Chalet Drive,,,Fisher Branch,,,MB,,R0C 0Z0,Canada,51.07980469999999,-97.6167935,
Flin Flon (Northern RHA) Rotary Court,,,Dave Kendall,,,,,Box 773,,,,,,,,,,204-687-8211,,,,,,,,,,,,,,,,,Senior Housing,,,,#NAME?,,,Flin Flon,,,MB,,R8A 1M7,Canada,ERROR,ERROR,ERROR
