row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,contact,phone,cell,fax,email,street_address,po_box,city,province,postal_code,country,facility_type
Canada-MB-23-SeniorHousing-23-SeniorHousing-1,Alonsa (Southern Health RHA) Railway Avenue S or Main Street West,,,,Manitoba Housing Authority,,12,1 1 bedroom Rental,Kitchen Building,Wheel chair access,,Stan Plewak,204-622-2092,,,,,,Alonsa,MB,R0H 0A0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-2,Altona (Southern Health RHA) Buffalo Apartments,,,,Ebenezer Home,,23,"2 Batchelor, 1 bedroom Rental",Kitchenette; air conditioning Building,Cleaning/linen service; social programs; congregate meal services; meal delivery,,Jake Penner,204-324-8945,,,,235 - 5th St. N.E.,Box 152,Altona,MB,R0G 0B0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-3,Angusville (Southern Health RHA) Graham and Wright St.,,,,Manitoba Housing Authority,,6,1 1 Bedroom Rental,Kitchen Building,,,Gail Chescu ”ÛÄ,204-937-6474,,,,Graham and Wright St.,,Angusville,MB,ROJ OAO,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-4,Anola (Interlake RHA) Sunrise Lodge,,,,Sunrise Lodge Inc.,,12,1 Bachelor; 1 bedroom Rental,Kitchen Building,Congregate meal services,,Laura Crandoll,204-866-3280,,,,835 Wieser Crescent,,Anola,MB,R0E 0A0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-5,Arborg (Interlake RHA) Sunrise Lodge,,,,Manitoba Housing,,6,1 1 bedroom Rental,Kitchen; cable Building,Emergency call service,,Keith Poleschuk (MHA Gimli),204-642-6061,,,,405 Crosstown Ave,,Arborg,MB,R0C 0A0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-6,Ashern (Interlake RHA) First Choice Manor,,,,Manitoba Housing Authority,,26,1 1 Bedroom; Bachelor Rental,Kitchen; cable TV; individual temperature control; smoke detectors; grab bars in bathroom Building,Congregate meal service; meal delivery,,Phillip Russell,1-866-440-4663,,,,Ave. N.,,Ashern,MB,R0C 0E0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-7,Austin (Southern Health RHA) Hill View Lodge Inc.,,,,Manitoba Housing Authority,,10,1 Bachelor; 1 bedroom Rental,Kitchen; air conditioning Building,,,Debbie Early,204-637-2355,,,,", 46 Main St.",Box 99,Austin,MB,R0H 0C0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-8,Baldur (Prairie Mountain Health RHA) Argyle Lodge,,,,RM of Argyle,,9,1 1 Bedroom; 2 bedroom Rental,Kitchen; cable; air conditioning Building,Emergency call service,,Doris Smout,204-535-2190,,,,156 Elizabeth Street,,Baldur,MB,R0K 0B0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-9,Balmoral (Interlake RHA) Sprucewood Place,,,,Manitoba Housing Authority,,12,1 1 Bedroom Rental,Kitchen Building,Emergency call service,,Maureen Paskaruk (MHA Gimli),204-642-6060,,,,6013 E PR 236,,Balmoral,MB,R0C 0H0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-10,Beausejour (Interlake RHA) South Haven,,,,Lion Lodge Inc.,,20,1 Bachelor; 1 bedroom Rental,Cable; kitchen; draperies Building,,,Doreen Kerr,204-264-4131,,,,418-1st Street North,,Beausejour,MB,R0E 0C0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-11,Belmont (Prairie Mountain Health RHA) Strathcona Belcrest Manor,,,,Manitoba Housing Authority,,9,1 Bachelor; 1 bedroom Rental,Kitchen Building,Congregate meal service; meal delivery,,Brenda &amp; Maurice Hutlet,204-537-2711,,,,,,Belmont,MB,R0K 0C0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-12,Benito (Prairie Mountain Health RHA) 200 Main St.,,,,Manitoba Housing Authority,,30,1 Bachelor; 1 bedroom Rental,Kitchen Building,Emergency call service; social programs,,,204-937-8326,,,,200 Main St.,,Benito,MB,R0L 0C0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-13,Binscarth (Prairie Mountain Health RHA) Westview Lodge,,,,Manitoba Housing Authority,,4,1 1 Bedroom Rental,Kitchen Building,,,Gail Chescu,1-888-567-8125,,,,122-2nd Ave,,Binscarth,MB,R0J 0C0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-14,Birch River (Prairie Mountain Health RHA) Birchwood Place,,,,Manitoba Housing Authority,,14,1 1 Bedroom Rental,Kitchen; in-suite security Building,,,,204-937-8326,,,,319 Victoria Avenue,,Birch River,MB,R0L 0E0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-15,Birds Hill (Interlake RHA) Birds Hill Manor,,,,Manitoba Housing,,8,1 1 Bedroom Rental,Kitchen Building,,,Ronda Sitka (MHA Selkirk),204-785-5382,,,,3110 Birds Hill Rd.,,Birds Hill,MB,R0E 0H0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-16,Birtle (Prairie Mountain Health RHA) Pioneer Lodge,,,,Manitoba Housing Authority,,4,1 1 Bedroom Rental,Kitchen Building,,,,204-726-6455,,,,159-7th St.,,Birtle,MB,R0M 0C0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-17,Boissevain (Prairie Mountain Health RHA) Jubillee Manor,,,,Manitoba Housing Authority,,23,1 Bachelor; 1 bedroom Rental,Kitchen Building,Social programs; congregate meal service; meal delivery,,,204-726-6455,,,,335 North Railway,,Boissevain,MB,R0K 0E0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-18,Bowsman (Prairie Mountain Health RHA) Bowsman Community Manor Inc.,,,,Manitoba Housing Authority,,,Bachelor; 2 bedroom Rental,Kitchen; cable; draperies Building,,,,204-937-8326,,,,,,Bowsman,MB,R0L 0H0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-19,Brandon (Prairie Mountain Health RHA) Kin Village Inc.,,,,,,9,3 1 bedroom Rental,Kitchen; cable; draperies Building,,,Sheryl Hyne-Cavers,204-728-1514,,,,415-11th Street,,Brandon,MB,R7A 4K2,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-20,Brookdale (Prairie Mountain Health RHA) Railway Ave.,,,,Manitoba Housing Authority,,2,1 1 Bedroom Rental,Kitchen; in-suite laundry room Building,,,,204-726-6455,,,,Railway Ave,,Brookdale,MB,R0K 0G0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-21,Carberry (Prairie Mountain Health RHA) Carberry Plains Lodge,,,,Marshall Memorial Centre Inc.,,6,1 2 Bedroom Rental,Kitchen; cable; wall to wall carpeting; patios Building,,,Helen Muirhead,204-834-2808,,,,240 Simcoe St.,,Carberry,MB,R0K 0H0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-22,Carman (Southern Health RHA) O'Brien Oakes,,,,Manitoba Housing Authority,,35,1 Bachelor; 1 bedroom Rental,Kitchen; bathroom Building,24 hour block Home Care available,,Susanne Moran,204-239-3688,,,,"159-1st Ave, NW",,Carman,MB,,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-23,Cartwright (Prairie Mountain Health RHA) Badger Creek Lodge,,,,Manitoba Housing,,12,1 Bachelor; 1 bedroom Rental,Kitchen; bathroom Building,Social programs; meal delivery,,Fern Gervais (MH Portage),204-248-7274,,,,"700 Bowles Street, N",,Cartwright,MB,R0K 0L0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-24,Churchill (Winnipeg RHA) O Connor Block,,,,Manitoba Housing,,10,1 1 Bedroom Rental,"Fridge, stove, dryer Building",,,Angela Campbell (MHA Churchill),204-675-8838,,,,85-103 Hendry,,Churchill,MB,R0B 0E0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-25,Clearwater (Southern Health RHA) Valley Villa,,,,Manitoba Housing Authority,,4,1 1 Bedroom Rental,Kitchen; in-suite laundry room; bathroom Building,,,Fern Gervais (MH Portage),204-248-7274,,,,PR 342,,Clearwater,MB,R0K 0M0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-26,Cooks Creek (Interlake RHA) Pleasant View Lodge,,,,Municipality of Springfield,,10,1 Bachelor; 1 bedroom Rental,Kitchen Building,Emergency call service; dial-a-bus; social programs; congregate meal service; meal delivery,,,,,,,", RR 2",Box 70,Cook's Creek,MB,R0E 0K0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-27,Crystal City (Southern Health RHA) Parkview Community Lodge,,,,Parkview Community Lodge Inc.,,15,1 Bachelor; 1 Bedroom Rental,Kitchen; cable; air conditioning; grab bars in bathroom Building,Social programs; handi-van service (fee),,Joyce Reimer,204-873-2603,,,,25 North Railway Ave W,,Crystal City,MB,R0K 0N0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-28,Cypress River (Prairie Mountain Health RHA) Cypress River Lodge,,,,Cypress River Lodge Inc.,,11,1 1 Bedroom Rental,Kitchen; draperies; air conditioning Building,Emergency call service; congregate meal services; meal delivery,,Rita Hyrich,204-743-2289,,,,134 Railway Ave,,Cypress River,MB,R0K 0P0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-29,Dauphin (Prairie Mountain Health RHA) Spruce Manor,,,,Dauphin Non Profit Residence Inc.,,32,3 1 Bedroom; 2 bedrooms Rental,"Kitchen; carpeting, grab bars in bathroom Building",,,Bev M. Sarkonak,204-638-5143,,,,38-6th Ave. NW,,Dauphin,MB,R7N 1J6,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-30,Deloraine (Prairie Mountain Health RHA) Centennial Apts.,,,,Manitoba Housing Authority,,38,1 2 Bedroom Rental,Kitchen; cable Building,Social programs; instructional programs; congregate meal service; meal delivery; on-call medical services; emergency call services; handi-van,,Rose Long,204-747-2697,,,,"502 South Railway West,",Box 512,Deloraine,MB,R0M 0M0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-31,Dominion City (Southern Health RHA) Franklin Manor,,,,,,,,,,,Gordon Daman,855-371-5833 (Toll Free)  or 204-289-3039 - Ext. 200,,,,,PO Box 66,Dominion City,MB,R0A 0H0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-32,Dugald (Interlake RHA) Evergreen Lodge,,,,Springfield Municipality,,10,1 Bachelor; 1 bedroom Rental,Kitchen; draperies Building,Social programs; congregate meal service; meal delivery; emergency call service; dial-a-bus,,Municipal Office of Oakbank,204-444-3321,,,,735 Dugald Road,,Dugald,MB,R0E 0K0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-33,Eddystone (Prairie Mountain Health RHA) Eddystone Villa,,,,Manitoba Housing Authority,,12,1 Bachelor; 1 bedroom Rental,Kitchen Building,,,Michael Coombs,204-622-2092,,,,Hwy 68 E,,Eddystone,MB,R0L 0S0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-34,Elie (Southern Health RHA) Manoir Cartier Inc.,,,,Community of Elie,,12,1 Bachelor; 1 bedroom Rental,Kitchen; cable; some with carpeting; storage Building,Congregate meal service; on call medical services; emergency call service,,Stella Remillard,204-353-2757,,,,", 11 Magloire",Box 117,Elie,MB,R0H 0H0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-35,Elkhorn (Prairie Mountain Health RHA) Elkview Lodge,,,,Manitoba Housing Authority,,18,1 Bachelor; 1 bedroom Rental,Kitchen Building,Social programs; congregate meal service; meal delivery,,,204-726-6455,,,,,,Elkhorn,MB,R0M 0N0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-36,Elm Creek (Southern Health RHA) Heritage Manor,,,,Elm Creek Housing Corp.,,9,1 1 bedroom; 2 Bedroom Rental,Kitchen; grab bars in bathroom Building,Social programs; meal program; homecare in building,,,204-436-2592,,,,78 Gordon Ave.,,Elm Creek,MB,R0G 0N0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-37,Elphinstone (Prairie Mountain Health RHA) Railway Ave.,,,,Manitoba Housing Authority,,4,1 1 Bedroom Rental,Kitchen; in-suite laundry room Building,Tenant parking; guest parking,,MHA Brandon,204-726-6455,,,,,,Elphinstone,MB,R0J 0N0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-38,Emerson (Southern Health RHA) South Gate Haven Inc.,,,,Manitoba Housing Authority,,16,2 Bachelor; 1 bedroom Rental,Kitchen Building,,,Caroline Schellenberg,204-324-5308,,,,115 Dominion,,Emerson,MB,R0L 0L0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-39,Erickson Parkland Home Inc.,,,,Manitoba Housing Authority,,6,1 1 Bedroom Rental,Kitchen Building,Fees & Charges,,Tara Elliott,204-636-2717,,,,,,Erickson,MB,R0J 0P0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-40,Eriksdale (Interlake RHA) The Friendly Villa,,,,Manitoba Housing Authority,,8,1 1 Bedroom Rental,"Kitchen, cable TV Building",Social programs; emergency call service Fees &amp; Charges,,Phillip Russell,(204) 302-0278,,,,11 May St.,,Eriksdale,MB,R0C 0W0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-41,Ethelbert (Prairie Mountain Health RHA) Sunnyside Lodge,,,,Manitoba Housing Authority,,20,1 Bachelor; 1 bedroom Rental,Kitchen Building,Congregate meal service; meal delivery; emergency call service,,Michael Coombs,204-622-2092,,,,81 River Ave.,,Ethelbert,MB,R0L 0T0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-42,Fisher Branch (Interlake RHA) Fisher Branch Chalet,,,,Manitoba Housing,,20,1 Bachelor; 1 bedroom Rental,Kitchen Building,social programs; congregate meal service; meal delivery; emergency call service,,Keith Poleschuk (MHA Gimli),204-642-6061,,,,7 Chalet Drive,,Fisher Branch,MB,R0C 0Z0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-43,Flin Flon (Northern RHA) Rotary Court,,,,Flin Flon Rotary Club,,19,1 Bachelor Rental,Kitchen; cable Building,,,Dave Kendall,204-687-8211,,,,#NAME?,Box 773,Flin Flon,MB,R8A 1M7,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-44,Foxwarren (Prairie Mountain Health RHA) Webster Avenue,,,,Manitoba Housing Authority,,6,1 1 Bedroom Rental,Kitchen Building,,,Gail Chescu,204-937-6474,,,,Webster Ave.,,Foxwarren,MB,R0J 0R0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-45,Fraserwood (Interlake RHA) Maplewood Lodge,,,,Manitoba Housing,,12,1 1 Bedroom Rental,Kitchen Building,Emergency call service,,Maureen Paskaruk (MHA Gimli),204-642-6060,,,,Gov‰Ûªt Road Allowance,,Fraserwood,MB,R0C 1A0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-46,Gilbert Plains (Prairie Mountain Health RHA) Burrows Apartments,,,,Gilbert Plains Kinsmen Club,,8,1 Bachelor; 1 bedroom; 2 bedroom Rental,Kitchen; cable; grab bars in bathroom Building,Home care in building; social/recreational programs,,Marnie Beckley,204-548-2959,,,,", 18 Buller Ave E",Box 272,Gilbert Plains,MB,R0L 0X0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-47,Gimli (Interlake RHA) Water Front Centre,,,,Rotary Club of Gimli,,39,4 1 Bedroom; 2 bedroom; 3 bedroom Rental,Kitchen; dishwasher; in suite laundry room; cable; wall to wall carpeting; air conditioning; balconies; in-suite security system Building,Social programs; instructional programs,,Associates,204-642-8576,,,,94-1st Ave.,,Gimli,MB,R0C 1B0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-48,Gladstone (Southern Health RHA) Crescent Lodge,,,,Seven Regions Health Centre,,24,1 1 Bedroom Rental,"Kitchen; cable; tub, individual temp. Control, smoke detectors, grab bars in bathroom Building","Meals on Wheels delivery; home care; Group Living Coordinator, Seniors Support Services",,Director of Health Services,204-385-2968,,,,193 Dennis Street,,Gladstone,MB,R0J 0T0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-49,Glenboro  (Prairie Mountain Health RHA) Lyall Park Place,,,,Glenboro and District EPH,,8,1 1 bedroom Rental,Kitchen; cable; grab bars in bathroom Building,,,Elsie Pinkerton,204-827-2772,,,,307 Lyle St,,Glenboro,MB,R0K 0X0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-50,Glenella (Prairie Mountain Health RHA) Lokier Street,,,,Manitoba Housing Authority,,4,1 Bachelor; 1 bedroom Rental,Kitchen Building,,,Michael Coombs,204-622-2092,,,,Lokier Street,,Glenella,MB,R0J 0V0,Canada,Senior Housing
