row_id,Facility Name,Region,Address1,Address2,City,Province,Postal Code,Phone1,Phone2,Fax,Language,Space,Country,facility_type
Canada-NB-11-NursingHomes-output-1,The Kenneth E. Spencer Nursing Home Inc.,Moncton,35 Atlantic Baptist Avenue,,Moncton,NB,E1E 4N3,(506) 858-7870,,(506) 858-9674,English,200,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-2,The United Church Home for Senior Citizens ,Moncton,165 Main Street,,Sackville,NB,E4L 4S2,(506) 364-4900,,(506) 364-4921,English,118,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-3,Forest Dale Home Inc.,Moncton,5836 King Street,,Riverside/Albert,NB,E4H 4B9,(506) 882-3015,,(506) 882-3014,English,50,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-4,Foyer Saint-Antoine,Moncton,7 Avenue de l'Église,,Saint-Antoine,NB,E4V 1L6,(506) 525-4040,,(506) 525-4090,French,30,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-5,Foyer St. Thomas de la Vallée de Memramcook Inc.,Moncton,100 rue Notre-Dame,,Memramcook,NB,E4K 3W3,(506) 758-2110,,(506) 758-9489,French,30,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-6,Jordan Lifecare Centre Inc.,Moncton,747 Sanatorium Road,,The Glades,NB,E4J 1W6,(506) 756-3355,,(506) 756-2081,English,50,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-7,Manoir Saint-Jean Baptiste Inc.,Moncton,5 Avenue Richard,,Bouctouche,NB,E4S 3T2,(506) 743-7344,,(506) 743-7343,Bilingual,50,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-8,Rexton Lions Nursing Home Inc.,Moncton,23 Main Street,,Rexton,NB,E4W 0E4,(506) 523-7720,,(506) 523-7703,English,30,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-9,Shannex RLC Ltd. - Monarch Hall,Moncton,826 Coverdale Road,,Riverview,NB,E1B 0J1,(506) 387-7770,,(506) 387-3167,English,72,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-10,The Salvation Army Lakeview Manor,Moncton,50 Suffolk Street,,Riverview,NB,E1B 4K6,(506) 387-2012,,(506) 387-7200,English,50,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-11,Villa du Repos Inc.,Moncton,125 Avenue Murphy,,Moncton,NB,E1A 8V2,(506) 857-3560,,(506) 859-1619,Bilingual,126,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-12,Villa Maria Inc.,Moncton,19 rue du College St.,,St.-Louis-de-Kent,NB,E4X 1C2,(506) 876-3488,,(506) 876-3466,French,73,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-13,Villa Providence Shédiac Inc.,Moncton,403 rue Main,,Shédiac,NB,E4P 2B9,(506) 532-4484,,(506) 532-5909,French,190,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-14,Westford Nursing Home,Moncton,57 West Main Street,,Port Elgin,NB,E4M 1L7,(506) 538-1300,,(506) 538-7293,English,30,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-15,Campobello Lodge,Saint John,Unit 2 640 Route 774,,Welshpool,NB,E5E 1A5,(506) 752-7101,,(506) 752-7105,English,30,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-16,Carleton Kirk Lodge,Saint John,2 Carleton Kirk Place,,Saint John,NB,E2M 5B8,(506) 643-7040,,(506) 643-7038,English,70,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-17,Church of St. John and St. Stephen Home Inc.,Saint John,130 University Avenue,,Saint John,NB,E2K 4K3,(506) 643-6001,,(506) 643-6126,English,80,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-18,Dr. V. A. Snow Centre Inc.,Saint John,54 DeMille Court,,Hampton,NB,E5N 5S7,(506) 832-6210,,(506) 832-7674,English,50,Canada,Nursing Home
Canada-NB-11-NursingHomes-output-19,Fundy Nursing Home,Saint John,34 Hospital Street,,Black's Harbour,NB,E5H 1K2,(506) 456-4218,,(506) 456-3057,English,27,Canada,Nursing Home
