row_id,﻿name,license_num,website,contact,phone,fax,street_address,city,province,postal_code,facility_type
Canada-NB-13-NursingHomes-13-NursingHomes-1,Drew Nursing Home,,http://www.drewnursinghome.ca/,Linda Shannon,(506) 364-4900,(506) 364-4921,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-2,Forest Dale Home,,http://www.forestdalehome.ca,Vicki Caissie,(506) 882-3015,(506) 882-3014,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-3,Foyer St-Antoine,,http://www3.nbnet.nb.ca/fsa,George Cormier,(506) 525-4040,(506) 525-4090,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-4,Jordan Lifecare Centre,,,Gary Buchanan,(506) 756-3355,(506) 756-2081,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-5,Kenneth E. Spencer,,http://www.abschi.com/,Victor Shea,(506) 858-7870,(506) 858-9674,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-6,La Villa Maria,,,Jean-Paul Mazerolle,(506) 876-3488,(506) 876-3466,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-7,Le Foyer St-Thomas (Memramcook),,,Paul Rossignol,(506) 758-2110,(506) 758-9489,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-8,Manoir St-Jean Baptiste,,,Ian Drapeau,(506) 743-7344,(506) 743-7343,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-9,Monarch Hall,,http://www.shannex.com,Carole Morey,(506) 387-3168,(506) 387-3167,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-10,Rexton Lions Nursing Home,,,Nancy Cail,(506) 523-7720,(506) 523-7703,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-11,The Salvation Army Lakeview Manor,,,Kym Elder,(506) 387-2012,(506) 387-7200,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-12,Villa du Repos,,,Ronald LeBlanc,(506) 857-3560,(506) 859-1619,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-13,Villa Providence Shediac,,,Ronald LeBlanc,(506) 532-4484,(506) 532-5909,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-14,Westford Nursing Home,,http://www.westfordnursinghome.com,Judy White,(506) 538-1302,(506) 538-7293,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-15,Campobello Lodge,,,Sherry Johnston,(506) 752-7101,(506) 752-7105,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-16,Carleton Kirk Lodge,,,Tim Stevens,(506) 643-7040,(506) 643-7038,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-17,Church of St. John & St. Stephen,,,Shelley Fulton,(506) 643-6001,(506) 643-6126,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-18,Dr. V.A. Snow Centre,,http://www.snownursing.com,Terry O'Neill,(506) 832-6210,(506) 832-7674,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-19,Embassy Hall,,http://www.shannex.com,John Campbell,(506) 848-3170,(506) 848-3171,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-20,Fundy Nursing Home,,,Debbie Harris,(506) 456-4218,(506) 456-3057,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-21,Grand Manan Nursing Home,,,Joanne Ingalls,(506) 662-7111,(506) 662-7117,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-22,Kennebec Manor,,,Judy Lane,(506) 632-9628,(506) 658-9376,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-23,Kings Way Care Center,,,Judy Lane,(506) 847-1131,(506) 847-1134,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-24,Kiwanis Nursing Home,,http://www.kiwanisnursinghome.com,Kerri Marr,(506) 432-3118,(506) 432-3104,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-25,Lincourt Manor,,,Stacy Butler,(506) 466-7855,(506) 466-7853,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-26,Loch Lomond Villa,,http://www.lochlomondvilla.com,Cindy Donovan,(506) 643-7175,(506) 643-7179,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-27,Passamaquoddy Lodge,,http://www.passamaquoddylodge.ca,Lezlie LeBlanc,(506) 529-5240,(506) 529-5258,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-28,Rocmaura,,http://www.rocmaura.com,Sheana Mohra,(506) 643-7050,(506) 643-7053,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-29,Turnbull Nursing Home,,,Patti Alcorn,(506) 643-7200,(506) 648-9786,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-30,Carleton Manor,,http://www.carletonmanor.com,Angela Acott-Smith,(506) 325-4373,(506) 325-4618,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-31,Central Carleton Nursing Home,,,Kristi Schriver,(506) 375-3033,(506) 375-3035,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-32,Central N.B. Nursing Home,,,Manley Black,(506) 369-7262,(506) 369-2331,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-33,Mill Cove Nursing Home,,http://www.millcovenh.com,Dan Gilman,(506) 488-3033,(506) 488-3037,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-34,Nashwaak Villa,,,Daphne Noonan,(506) 367-7734,(506) 367-7745,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-35,Orchard View,,http://www.orchardviewcare.ca,Steve Little,(506) 488-3544,(506) 488-3551,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-36,Pine Grove,,http://www.pinegrovenh.com,Cheryl Wiggins,(506) 444-3400,(506) 444-3407,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-37,River View Manor,,http://www.riverviewmanor.ca,Guildo Cyr,(506) 278-6030,(506) 278-5962,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-38,Thomas Hall,,http://www.shannex.com,Pam Bowen,(506) 447-6440,(506) 447-6441,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-39,Tobique Valley Manor,,,Charlotte Bellefleur,(506) 356-6040,(506) 356-6041,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-40,Victoria Glen Manor,,http://www.vgm.ca,Donna Miller-Wallace,(506) 273-4885,(506) 273-4975,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-41,W.G. Bishop Nursing Home,,,Charlene Cobbett,(506) 327-7853,(506) 327-7812,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-42,Wauklehegan Manor,,http://waukleheganmanor.weebly.com,Mike Harvey,(506) 784-6303,(506) 784-6344,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-43,White Rapids Manor,,http://www.whiterapidsmanor.nb.ca,Kathy Jenkins,(506) 368-6508,(506) 368-6512,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-44,York Care Centre,,http://www.yorkmanor.nb.ca,Kevin Harter,(506) 444-3880,(506) 444-3544,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-45,Foyer Notre-Dame de St-LÃ©onard,,,Violette Thibodeau,(506) 423-3100,(506) 423-3152,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-46,Foyer Ste-Elizabeth,,,Monique Gendron,(506) 258-3020,(506) 258-3010,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-47,RÃ©sidence Mgr. Melanson,,,AndrÃ© Savoie,(506) 235-6030,(506) 235-6075,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-48,RÃ©sidences Jodin,,,David Couturier,(506) 501-3014  ,(506) 501-3015,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-49,Villa des Chutes,,,AmÃ©lie Cayouette,(506) 473-7726,(506) 473-7849,,moncton,NB,,Nursing Home
Canada-NB-13-NursingHomes-13-NursingHomes-50,Campbellton Nursing Home,,,Ken Murray,(506) 789-7350,(506) 789-7360,,moncton,NB,,Nursing Home
