row_id,Facility Name,Region,Address1,Address2,City,Province,Postal Code,Contact,Phone,Language,Space,Country,facility_type
Canada-NB-9-SpecialCareHomes-output-1,CENTRE DE SERVICES-RESEAU SERVICES CHALEUR,CHALEUR,68 RUE BOUDREAU ,,BERESFORD,NB,E8K 2G2,LISE BOULANGER,(506) 542-9406,BILINGUAL,19,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-2,FOYER ALVINA ALLAIN,CHALEUR,2  CHAMBERLAIN SETTLEMENT ROAD,,CHAMBERLAIN SETTLEMENT,NB,E2A 6G4,ALVINA ALLAIN,(506) 548-3229,BILINGUAL,4,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-3,FOYER CHEZ ANNIE  DE ROBERTVILLE,CHALEUR,741 ROUTE 322 ,,ROBERTVILLE,NB,E8K 2T6,ANNIE FRENETTE ET STEVEN SISK,(506) 430-5600,BILINGUAL,30,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-4,FOYER CHEZ ANNIE FRENETTE,CHALEUR,60  MURRAY AVENUE,,BATHURST,NB,E2A 1T7,ANNIE FRENETTE ET STEVEN SISK,(506) 350-5600,BILINGUAL,15,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-5,FOYER CHEZ JENNY INC.,CHALEUR,14  CHAMPLAIN STREET,,PETIT-ROCHER,NB,E8J 1R7,ARSENEAU JENNY,(506) 430-4300,BILINGUAL,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-6,FOYER CHEZ LINE MORRISON,CHALEUR,40 STREET DOUCET ,,BERESFORD,NB,E8K 0A9,LINE MORRISON,(506) 542-7161,FRENCH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-7,FOYER CHEZ MONICK,CHALEUR,39 STREET PRINCIPALE ,,PETIT-ROCHER,NB,E8J 1L9,MONIQUE BOUCHARD,(506) 783-3050,FRENCH,20,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-8,FOYER DENISE AUBIE,CHALEUR,85 RUE COUTURE ,,BATHURST,NB,E2A 2E8,DENISE AUBIE,(506) 548-4705,FRENCH,3,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-9,FOYER LA BERCEUSE,CHALEUR,0 CHEMIN LAPLANTE ,,LAPLANTE,NB,E8J 1Z4,MONIQUE GUIGNARD,(506) 783-4614,FRENCH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-10,FOYER LISE & JACQUES ROY,CHALEUR,34 RUE PRINCIPALE ,,POINTE-VERTE,NB,E8J 3A1,LISE ROY,(506) 783-2878,FRENCH,2,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-11,FOYER LUCIE SAVOIE,CHALEUR,003 ROUTE 134 ,,ALLARDVILLE,NB,E8L 1S3,LUCIE SAVOIE,(506) 725-5583,FRENCH,2,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-12,FOYER MARIE-MAY PITRE,CHALEUR,22 STREET MAPLE ST. APT. 1 ,,BATHURST,NB,E2A 1J2,MARIE-MAY PITRE,(506) 548-5343,FRENCH,2,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-13,FOYER NOTRE-DAME DU SOURIRE (2015) INC.,CHALEUR,65 ROUTE 160 ,,ALLARVILLE,NB,E8L 1J9,REJEANNE DUGUAY-DAVID,(506) 725-5493,FRENCH,15,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-14,FOYER ROBICHAUD LA MAISON BLANCHE (2016) LTEE,CHALEUR,75  ARCHIBALD STREET,,BATHURST,NB,E2A 4E1,MELISSA OR DINO SIMONE,(506) 548-3773,ENGLISH,14,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-15,L & B RESIDENCE INC,CHALEUR,20  ST-ANNE STREET,,BATHURST,NB,E2A 2N4,LUCILLE LAVIOLETTE,(506) 226-0436,BILINGUAL,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-16,MAISON ROY-DUGUAY,CHALEUR,5 STREET LAPLANTE NORD ,,LAPLANTE,NB,E8J 2A1,NADIA ROY-DUGUAY,(506) 783-3524,FRENCH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-17,MANOIR BIENVEILLANCE INC.,CHALEUR,31  RUE DU PARC EST ,,BERESFORD,NB,E8K 1V9,MARCELLA HINTON,(506) 542-2094,FRENCH,30,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-18,MANOIR BRISE DE L'OASIS,CHALEUR,90 RUE UNION ,,BATHURST,NB,E2A 1H4,KEVIN ET LINDA VIENNEAU,(506) 547-1100,BILINGUAL,46,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-19,MANOIR DU ROCHER,CHALEUR,72 RUE PRINCIPALE ,,PETIT-ROCHER,NB,E8J 1N4,ANNIK GUITARD,(506) 783-8879,FRENCH,30,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-20,MANOIR OASIS DE LA BAIE,CHALEUR,60 RUE QUEEN ,,BATHURST,NB,E2A 2J7,GUY TREMBLAY,(506) 548-3077,BILINGUAL,36,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-21,MELANSON SPECIAL CARE HOME,CHALEUR,15  ST. PATRICK STREET,,BATHURST,NB,E2A 1C9,MARY MELANSON,(506) 548-8546,BILINGUAL,14,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-22,RESIDENCE ARSENEAU LTEE,CHALEUR,30  PRINCIPALE STREET,,POINTE-VERTE,NB,E8J 2Z6,ERIC ARSENEAU,(506) 783-9009,BILINGUAL,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-23,RESIDENCE CHEZ CHANTAL LTEE,CHALEUR,89 RUE SUNSET ,,BERESFORD,NB,E8K 2G5,CHANTAL LAVIGNE,(506) 542-9399,FRENCH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-24,RÉSIDENCE CHEZ SYLVIE INC.,CHALEUR,62  PRINCIPALE STREET,,PETIT-ROCHER,NB,E8J 1N8,SYLVIE LAGACÉ,(506) 543-2975,BILINGUAL,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-25,RESIDENCE D.M. BOUDREAU (2013) LIMITEE,CHALEUR,80  COLLEGE STREET,,BATHURST,NB,E2A 2T6,RACHEL CORMIER,(506) 548-5538,BILINGUAL,35,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-26,RESIDENCE LISA GUIGNARD,CHALEUR,15 RUE CHALEUR ,,BATHURST,NB,E2A 3H9,LISA GUIGNARD,(506) 548-9423,BILINGUAL,15,Canada,Special Care Home
