name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
The Agnes Pratt Home,,,,,,,,,,,,,,,,,,(709) 752-8950,,,,,,,,,,,,,,,,,Assisted Living,,,,239 Topsail Road,,,St. Johnâ€™s,,,NL,,A1E 2B4,,47.539442,-52.735743,West End
Glenbrook Lodge,,,,,,,,,,,,,,,,,,(709) 726-1575,,,,,,,,,,,,,,,,,Assisted Living,,,,105 Torbay Road,,,St. Johnâ€™s,,,NL,,A1A 2G9,,47.5895579,-52.7103022,East End
Pleasantview Towers,,,,,,,,,,,,,,,,,,(709) 752-8800,,,,,,,,,,,,,,,,,Assisted Living,,,,65 Newfoundland Drive,,,St. Johnâ€™s,,,NL,,A1A 0L7,,47.5949573,-52.68925749999999,East End
Saint Lukeâ€™s Homes,,,,,,,,,,,,,,,,,,(709) 752-8900,,,,,,,,,,,,,,,,,Assisted Living,,,,24 Road Deluxe,,,St. Johnâ€™s,,,NL,,A1E 5Z3,,ERROR,ERROR,ERROR
St. Patrickâ€™s Mercy Home,,,,,,,,,,,,,,,,,,(709) 726-2687,,,,,,,,,,,,,,,,,Assisted Living,,,,146 Elizabeth Avenue,,,St. Johnâ€™s,,,NL,,A1B 1S5,,ERROR,ERROR,ERROR
Caribou Memorial Veterans Pavilion,,,,,,,,,,,,,,,,,,(709) 777-6555,,,,,,,,,,,,,,,,,Assisted Living,,,,90 Forest Road,,,St. Johnâ€™s,,,NL,,A1A 0C4,,ERROR,ERROR,ERROR
Dr. Walter Templeman Health Centre,,,,,,,,PO Box 580,,,,,,,,,,(709) 488-2821,,,,,,,,,,,,,,,,,Assisted Living,,,,,,,Wabana Bell Island,,,NL,,A0A 4H0,,47.64385499999999,-52.94724,
Carbonear Long Term Care Facility,,,,,,,,,,,,,,,,,,(709) 945-5400,,,,,,,,,,,,,,,,,Assisted Living,,,,86 Highroad South,,,Carbonear,,,NL,,A1Y 1A4,,47.72619460000001,-53.22613479999999,
Lions Manor Nursing Home,,,,,,,,P.O. Box 480,,,,,,,,,,(709) 227-2061,,,,,,,,,,,,,,,,,Assisted Living,,,,1 Corrigan Place,,,Placentia,,,NL,,A0B 2Y0,,47.2484768,-53.85236159999999,
Dr. Albert Oâ€™Mahoney Memorial Manor,,,,,,,,,,,,,,,,,,(709) 466-6874,,,,,,,,,,,,,,,,,Assisted Living,,,,67 Manitoba Drive,,,Clarenville,,,NL,,A5A 1K3,,48.16405989999999,-53.9846037,
Blue Crest Inter Faith Home,,,,,,,,P.O. Box 160,,,,,,,,,,(709) 832-1660,,,,,,,,,,,,,,,,,Assisted Living,,,,1 Seniors Place,,,Grand Bank,,,NL,,A0E 1W0,,47.09700069999999,-55.7559128,
