row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,street_address,po_box,city,province,postal_code,country
Canada-NL-3-AssistedLiving-3-AssistedLiving-1,The Agnes Pratt Home,,,,,,,,,,,,,(709) 752-8950,,,,239 Topsail ,,St. John’s,NL,A1E 2B4,
Canada-NL-3-AssistedLiving-3-AssistedLiving-2,Glenbrook Lodge,,,,,,,,,,,,,(709) 726-1575,,,,105 Torbay ,,St. John’s,NL,A1A 2G9,
Canada-NL-3-AssistedLiving-3-AssistedLiving-3,Pleasantview Towers,,,,,,,,,,,,,(709) 752-8800,,,,65 Newfoundland ,,St. John’s,NL,A1A 0L7,
Canada-NL-3-AssistedLiving-3-AssistedLiving-4,Saint Luke’s Homes,,,,,,,,,,,,,(709) 752-8900,,,,24 Road ,,St. John’s,NL,A1E 5Z3,
Canada-NL-3-AssistedLiving-3-AssistedLiving-5,St. Patrick’s Mercy Home,,,,,,,,,,,,,(709) 726-2687,,,,146 Elizabeth ,,St. John’s,NL,A1B 1S5,
Canada-NL-3-AssistedLiving-3-AssistedLiving-6,Caribou Memorial Veterans Pavilion,,,,,,,,,,,,,(709) 777-6555,,,,90 Forest,,St. John’s,NL,A1A 0C4,
Canada-NL-3-AssistedLiving-3-AssistedLiving-7,Dr. Walter Templeman Health Centre,,,,,,,,,,,,,(709) 488-2821,,,,8 #2 Road,PO Box 580,Wabana Bell Island,NL,A0A 4H0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-8,Carbonear Long Term Care Facility,,,,,,,,,,,,,(709) 945-5400,,,,86 Highroad ,,Carbonear,NL,A1Y 1A4,
Canada-NL-3-AssistedLiving-3-AssistedLiving-9,Lions Manor Nursing Home,,,,,,,,,,,,,(709) 227-2061,,,,1 Corrigan ,P.O. Box 480,Placentia,NL,A0B 2Y0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-10,Dr. Albert O’Mahoney Memorial Manor,,,,,,,,,,,,,(709) 466-6874,,,,67 Manitoba ,,Clarenville,NL,A5A 1K3,
Canada-NL-3-AssistedLiving-3-AssistedLiving-11,Blue Crest Inter Faith Home,,,,,,,,,,,,,(709) 832-1660,,,,1 Seniors ,P.O. Box 160,Grand Bank,NL,A0E 1W0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-12,U.S. Memorial Community Health Centre,,,,,,,,,,,,,(709) 873-2330,,,,1 Memorial ,P.O. Box 398,St. Lawrence,NL,A0E 2V0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-13,Golden Heights Manor,,,,,,,,,,,,,(709) 468-2043,,,,27-43 Campbell Street,,Bonavista,NL,A0C 1B0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-14,Bonavista Protective Community Residence,,,,,,,,,,,,,(709) 468-2025,,,, Joy’s Lane10-20,,Bonavista,NL,A0C 1B0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-15,Clarenville Protective Community Residence,,,,,,,,,,,,,(709) 466-4375,,,,11 Shoal Harbour ,,Clarenville,NL,A5A 2C3,
Canada-NL-3-AssistedLiving-3-AssistedLiving-16,Chancellor Park (Private facility with 120 subsidized beds),,,,,,,,,,,,,(709) 754-1165,,,,270 Portugal Cove Rd,,St. John’s,NL,A1B 4N6,
Canada-NL-3-AssistedLiving-3-AssistedLiving-17,A.M Guy Memorial Health Centre,,,,,,,,,,,,,(709) 532-4218;672-3304/3305,,,,,P.O. Box 10,Buchans,NL,A0H 1G0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-18,Baie Verte Peninsula Health Centre/Copper Crescent,,,,,,,,,,,,,(709) 532-4218,,,,1 Columbus Drive,,Baie Verte,NL,A0K 1B0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-19,Bonnews Lodge,,,,,,,,,,,,,(709) 536-2405,,,,,P.O. Box 209,Badger’s Quay,NL,A0G 1B0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-20,Lakeside Homes,,,,,,,,,,,,,(709) 256-8850,,,,95 Airport ,,Gander,NL,A1V 2L7,
Canada-NL-3-AssistedLiving-3-AssistedLiving-21,Carmelite House Senior Citizens’ Home,,,,,,,,,,,,,(709) 489-2274,,,,50 Union ,,,,,
Canada-NL-3-AssistedLiving-3-AssistedLiving-22,Connaigre Peninsula Health Centre,,,,,,,,,,,,,(709) 885-2043,,,,,P.O. Box 368,Harbor Breton,NL,A0H 1P0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-23,Dr. Hugh Twomey Health Centre,,,,,,,,,,,,,(709) 257-2874,,,,,P.O. Box 250,Botwood,NL,A0E 1E0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-24,Fogo Island Health Centre,,,,,,,,,,,,,(709) 266-2221,,,,,P.O. Box 9,Fogo Island,NL,A0G 2B0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-25,Notre Dame Bay Health Centre,,,,,,,,,,,,,(709) 884-2131,,,,Hospital Ln.,,Twillingate,NL,A0G 4M0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-26,North Haven Manor,,,,,,,,,,,,,(709) 535-6767,,,,,P.O. Box 880,Lewisporte,NL,A0G 3A0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-27,Valley Vista Citizen’s Complex,,,,,,,,,,,,,(709) 673-3936,,,,,P.O. Box 130,Springdale,NL,A0J 1T0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-28,Bay St. George Senior Citizens Home,,,,,,,,,,,,,(709) 646-5800,,,,,P.O. Box 250,Stephenville Crossing,NL,A0N 2C0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-29,Corner Brook Long Term Care Home,,,,,,,,,,,,,(709) 637-3999,,,,40 University ,,Corner Brook,NL,A2H 5G4,
Canada-NL-3-AssistedLiving-3-AssistedLiving-30,Calder Health Centre,,,,,,,,,,,,,(709) 886-2898,,,,,P.O. Box 190,Burgeo,NL,A0N 2H0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-31,Rufus Guinchard Health Centre,,,,,,,,,,,,,(709) 861-3139,,,,,P.O. Box 40,Port Saunders,NL,A0K 4H0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-32,Bonne Bay Health Centre,,,,,,,,,,,,,(709) 458-2211,,,,,P.O. Box 70,Norris Point,NL,A0K 3V0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-33,Dr. Charles L. LeGrow Health Centre 187-199,,,,,,,,,,,,,(709) 695-2175,,,,187-199 Wheeler’s Road,,Port aux Basques,NL,AOM 1CO,Canada
Canada-NL-3-AssistedLiving-3-AssistedLiving-34,Protective Community Residences (1-4),,,,,,,,,,,,,(709) 632-2191; (709) 632-2192; (709) 632-2193; (709) 632-2194,,,,,P.O. Box 250,Corner Brook,NL,A2H 7R8,
Canada-NL-3-AssistedLiving-3-AssistedLiving-35,Long Term Care Home – Happy Valley-Goose,,,,,,,,,,,,,(709) 896-2469,,,,Happy Valley-Goose,P.O. Box 766,,,,
Canada-NL-3-AssistedLiving-3-AssistedLiving-36,John M. Gray Health Centre,,,,,,,,,,,,,(709) 454-0371,,,,,P.O. Box 69,St. Anthony,NL,A0K 4S0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-37,Labrador South Health Centre,,,,,,,,,,,,,(709) 931-2450,,,,,,Forteau,NL,A0K 2P0,
Canada-NL-3-AssistedLiving-3-AssistedLiving-38,Labrador West Health Centre,,,,,,,,,,,,,(709) 285-8100,,,,1700 Nichols-Adam,,Labrador City,NL,A2V 0B2,
