name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Admirals' Coast Retirement Centre,,,,,,,,,,,,,,,,,,(709) 744 7075,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Kelligrews,,,NL,,,,47.49581189999999,-53.02212470000001,Kelligrews
Alderwood Estates,,,,,,,,,,,,,,,,,,(709) 334 2183,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Witless Bay,,,NL,,,,47.2826676,-52.8325042,
"Allison,s Manor",,,,,,,,,,,,,,,,,,(709) 834 8541,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Long Pond,,,NL,,,,47.5782618,-52.7320477,Pippy Park
Canning's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 834 4013,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Long Pond,,,NL,,,,47.5782618,-52.7320477,Pippy Park
Bayview Heights Manor,,,,,,,,,,,,,,,,,,(709) 834 5792,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Kelligrews,,,NL,,,,47.49581189999999,-53.02212470000001,Kelligrews
Cambridge Estates,,,,,,,,,,,,,,,,,,(709) 576 4663,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,St. John's,,,NL,,,,47.5615096,-52.7125768,
MJ PCH,,,,,,,,,,,,,,,,,,(709) 834 2349,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Manuels,,,NL,,,,47.52063400000001,-52.944857,Manuels
Cradea Manor,,,,,,,,,,,,,,,,,,(709) 364 5265,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Mt. Pearl,,,NL,,,,47.52064070000001,-52.8076818,
"Fahey,s Personal Care Home",,,,,,,,,,,,,,,,,,(709) 363 2250,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Fermeuse,,,NL,,,,46.97554689999999,-52.9599494,
Karwood Retirement Retreat,,,,,,,,,,,,,,,,,,(709) 782 5300,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Paradise,,,NL,,,,47.53065969999999,-52.8873992,
Hillcrest Estate,,,,,,,,,,,,,,,,,,(709) 364 7077,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Mount Pearl,,,NL,,,,47.52064070000001,-52.8076818,
Katherine House,,,,,,,,,,,,,,,,,,(709) 754 3864,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,St. John's,,,NL,,,,47.5615096,-52.7125768,
Kelly's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 745 5343,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Goulds,,,NL,,,,47.44652629999999,-52.77168760000001,
Linda's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 745 1956,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Goulds,,,NL,,,,47.44652629999999,-52.77168760000001,
Barton's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 745 4986,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Goulds,,,NL,,,,47.44652629999999,-52.77168760000001,
Bonaventure Retirement Home,,,,,,,,,,,,,,,,,,(709) 722 4040,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,St. John's,,,NL,,,,47.5615096,-52.7125768,
Meadow Creek Retirement Centre,,,,,,,,,,,,,,,,,,(709) 782 4242,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Paradise,,,NL,,,,47.53065969999999,-52.8873992,
North Pond Manor,,,,,,,,,,,,,,,,,,(709) 437 1415,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Torbay,,,NL,,,,47.6580777,-52.7355238,
Ocean View Guest Home,,,,,,,,,,,,,,,,,,(709) 834 2532,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Kelligrews,,,NL,,,,47.49581189999999,-53.02212470000001,Kelligrews
Pearl House,,,,,,,,,,,,,,,,,,(709) 368 3850,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Mount Pearl,,,NL,,,,47.52064070000001,-52.8076818,
Ruby Manor,,,,,,,,,,,,,,,,,,(709) 364 4943,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Mount Pearl,,,NL,,,,47.52064070000001,-52.8076818,
