row_id,name,license_num,licensure_status,care_level,website,contact,phone,cell,fax,email,street_address,po_box,city,province,postal_code,facility_type
Canada-NL-4-NursingHomes-4-NursingHomes-1,Admirals' Coast Retirement Centre,,Licensed,"Level I, II and Enhanced Care",,,(709) 744 7075,,,,,,Kelligrews,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-2,Alderwood Estates,,Licensed,"Level I, II and Enhanced Care",,,(709) 334 2183,,,,,,Witless Bay,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-3,"Allison,s Manor",,Licensed,Level I and II,,,(709) 834 8541,,,,,,Long Pond,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-4,Canning's Personal Care Home,,Conditional,Level I and II,,,(709) 834 4013,,,,,,Long Pond,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-5,Bayview Heights Manor,,Licensed,"Level I, II and Enhanced Care",,,(709) 834 5792,,,,,,Kelligrews,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-6,Cambridge Estates,,Conditional,Level I and II,,,(709) 576 4663,,,,,,St. John's,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-7,MJ PCH,,Conditional,Level I,,,(709) 834 2349,,,,,,Manuels,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-8,Cradea Manor,,Licensed,"Level I, II and Enhanced Care",,,(709) 364 5265,,,,,,Mt. Pearl,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-9,"Fahey,s Personal Care Home",,Licensed,Level I and II,,,(709) 363 2250,,,,,,Fermeuse,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-10,Karwood Retirement Retreat,,Licensed,Level I and II,,,(709) 782 5300,,,,,,Paradise,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-11,Hillcrest Estate,,Licensed,"Level I, II and Enhanced Care",,,(709) 364 7077,,,,,,Mount Pearl,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-12,Katherine House,,Conditional,Level I and II,,,(709) 754 3864,,,,,,St. John's,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-13,Kelly's Personal Care Home,,Licensed,Level I,,,(709) 745 5343,,,,,,Goulds,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-14,Linda's Personal Care Home,,Licensed,Level I,,,(709) 745 1956,,,,,,Goulds,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-15,Barton's Personal Care Home,,Licensed,Level I and II,,,(709) 745 4986,,,,,,Goulds,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-16,Bonaventure Retirement Home,,Licensed,Level I and II,,,(709) 722 4040,,,,,,St. John's,NL,,Nursing Home
