row_id,﻿Facility Name,Type,Short Description,Contact Phone,Address,City,Province,Country,Postal Code,Link to Details
Canada-National-34-CAN-RetirementHomes-output-1,Chartwell Country Cottage Retirement Residence,Retirement Home,"Small town, supportive living, newly renovated",587-745-0494,75 Cranford Way,Sherwood Park,AB,Canada,T8H 2B9,http://chartwell.com/Retirement-Homes/Chartwell-Country-Cottage-Retirement-Residence
Canada-National-34-CAN-RetirementHomes-output-2,Chartwell Royal Park Retirement Residence,Retirement Home,"Independent living, personalized support, home-like atmosphere",587-287-3939,4315 Richardson Road SW,Calgary,AB,Canada,T3E 7J7,http://chartwell.com/Retirement-Homes/Chartwell-Royal-Park-Retirement-Residence
Canada-National-34-CAN-RetirementHomes-output-3,Chartwell Eau Claire Care Residence,Retirement Home,Enhanced supportive living with dementia care,587-287-3943,301 7th Street SW,Calgary,AB,Canada,T2P 1Y6,http://chartwell.com/Retirement-Homes/Chartwell-Eau-Claire-Care-Residence
Canada-National-34-CAN-RetirementHomes-output-4,Chartwell Wild Rose Retirement Residence,Retirement Home,"Intimate, close-knit, supportive living environment",587-487-4546,9612 - 172nd Street NW,Edmonton,AB,Canada,T5T 6C7,http://chartwell.com/Retirement-Homes/Chartwell-Wild-Rose-Retirement-Residence
Canada-National-34-CAN-RetirementHomes-output-5,Chartwell Harbours Retirement Residence,Retirement Home,"Independent Supportive Living with home-care services, welcoming",587-287-3941,20 Country Village Cove NE,Calgary,AB,Canada,T3K 5T9,http://chartwell.com/Retirement-Homes/Chartwell-Harbours-Retirement-Residence
Canada-National-34-CAN-RetirementHomes-output-6,Chartwell Fountains of Mission Retirement Residence,Retirement Home,Downtown Calgary retirement residence offering an independent lifestyle,587-287-3945,222 25th Avenue SW,Calgary,AB,Canada,T2S 3E9,http://chartwell.com/Retirement-Homes/Chartwell-Fountains-of-Mission-Retirement-Residence
Canada-National-34-CAN-RetirementHomes-output-7,Chartwell Colonel Belcher Retirement Residence,Retirement Home,"Active Independent living, trusted reputation, fun atmosphere",587-287-3937,1945 Veteran's Way NW,Calgary,AB,Canada,T3B 5Y7,http://chartwell.com/Retirement-Homes/Chartwell-Colonel-Belcher-Retirement-Residence
Canada-National-34-CAN-RetirementHomes-output-8,Chartwell Wescott Retirement Residence,Retirement Home,Chartwell Wescott Coming Soon!,587-487-4032,3841 Allan Drive SW,Edmonton,AB,Canada,T6W 0S7,http://chartwell.com/Retirement-Homes/Chartwell-Wescott-Retirement-Residence
Canada-National-34-CAN-RetirementHomes-output-9,Chartwell Carlton Care Residence,Retirement Home,Newly built offering high levels of care,604-419-3000,4108 Norfolk Street,Burnaby,BC,Canada,V5G 0B4,http://chartwell.com/Retirement-Homes/Chartwell-Carlton-Care-Residence
Canada-National-34-CAN-RetirementHomes-output-10,Chartwell Malaspina Care Residence,Retirement Home,High levels of personal care and assistance,250-754-7711,100 Eleventh Street,Nanaimo,BC,Canada,V9R 6R6,http://chartwell.com/Retirement-Homes/Chartwell-Malaspina-Care-Residence
Canada-National-34-CAN-RetirementHomes-output-11,Chartwell Malaspina Care Residence,Retirement Home,High levels of personal care and assistance,604-888-0228,100 Eleventh Street,Nanaimo,BC,Canada,V9R 6R6,http://chartwell.com/Retirement-Homes/Chartwell-Malaspina-Care-Residence
Canada-National-34-CAN-RetirementHomes-output-12,Chartwell Malaspina Care Residence,Retirement Home,High levels of personal care and assistance,604-888-0228,100 Eleventh Street,Nanaimo,BC,Canada,V9R 6R6,http://chartwell.com/Retirement-Homes/Chartwell-Malaspina-Care-Residence
Canada-National-34-CAN-RetirementHomes-output-13,Chartwell Malaspina Care Residence,Retirement Home,High levels of personal care and assistance,604-888-0228,100 Eleventh Street,Nanaimo,BC,Canada,V9R 6R6,http://chartwell.com/Retirement-Homes/Chartwell-Malaspina-Care-Residence
Canada-National-34-CAN-RetirementHomes-output-14,Chartwell Malaspina Care Residence,Retirement Home,High levels of personal care and assistance,604-888-0228,100 Eleventh Street,Nanaimo,BC,Canada,V9R 6R6,http://chartwell.com/Retirement-Homes/Chartwell-Malaspina-Care-Residence
Canada-National-34-CAN-RetirementHomes-output-15,Chartwell Langley Gardens Retirement Residence,Retirement Home,Independent retirement lifestyle with convenient services in Langley.,604-676-3097,8888 - 202 Street,Langley,BC,Canada,V1M 4A7,http://chartwell.com/Retirement-Homes/Chartwell-Langley-Gardens-Retirement-Residence
Canada-National-34-CAN-RetirementHomes-output-16,Assisted Living at Chartwell Langley Gardens,Retirement Home,"Dedicated assisted living floor with warm, caring ambiance in Langley.",(604) 676-3097,8888 - 202 Street,Langley,BC,Canada,V1M 4A7,http://chartwell.com/Retirement-Homes/Assisted-Living-at-Chartwell-Langley-Gardens
Canada-National-34-CAN-RetirementHomes-output-17,Chartwell Langley Gardens Care Residence,Retirement Home,Supportive 24-hour nursing care and lifestyle programming in Langley.,604-888-0228,8888 - 202 Street,Langley,BC,Canada,V1M 4A7,http://chartwell.com/Retirement-Homes/Chartwell-Langley-Gardens-Care-Residence
Canada-National-34-CAN-RetirementHomes-output-18,Chartwell Crescent Gardens Retirement Residence,Retirement Home,Active and independent lifestyle featuring gorgeous courtyard in South Surrey.,778-736-0345,1222 King George Boulevard,Surrey,BC,Canada,V4A 9W6,http://chartwell.com/Retirement-Homes/Chartwell-Crescent-Gardens-Retirement-Residence
Canada-National-34-CAN-RetirementHomes-output-19,Assisted Living at Chartwell Crescent Gardens,Retirement Home,Dedicated assisted living services available in South Surrey.,778-736-0345,1222 King George Boulevard,Surrey,BC,Canada,V4A 9W6,http://chartwell.com/Retirement-Homes/Assisted-Living-at-Chartwell-Crescent-Gardens
Canada-National-34-CAN-RetirementHomes-output-20,Chartwell Crescent Gardens Care Residence,Retirement Home,A caring and vibrant home with 24-hour nursing support in South Surrey.,604-541-8861,1222 King George Boulevard,Surrey,BC,Canada,V4A 9W6,http://chartwell.com/Retirement-Homes/Chartwell-Crescent-Gardens-Care-Residence
Canada-National-34-CAN-RetirementHomes-output-21,Chartwell Carlton Retirement Residence,Retirement Home,Coming Soon: A new generation retirement home for retirees in Burnaby.,778-300-2388,4110 Norfolk Street,Burnaby,BC,Canada,V5G 1E8,http://chartwell.com/Retirement-Homes/Chartwell-Carlton-Retirement-Residence
Canada-National-34-CAN-RetirementHomes-output-22,Chartwell Birchwood Senior Cottages,Retirement Home,Independent cottages with the option of convenient retirement services.,604-426-0555,45650 Patten Avenue,Chilliwack,BC,Canada,V2P 1S4,http://chartwell.com/Retirement-Homes/Chartwell-Birchwood-Senior-Cottages
Canada-National-34-CAN-RetirementHomes-output-23,Chartwell Chatsworth Senior Bungalows,Retirement Home,Self-contained bungalows paired with convenient retirement living services.,778-721-0348,1831 Parkview Crescent,Kelowna,BC,Canada,V1X 7G7,http://chartwell.com/Retirement-Homes/Chartwell-Chatsworth-Senior-Bungalows
Canada-National-34-CAN-RetirementHomes-output-24,Chartwell Hampton House Retirement Residence,Retirement Home,"Across from hospital, independent supportive living",604-426-0451,45555 Hodgins Avenue,Chilliwack,BC,Canada,V2P 1P3,http://chartwell.com/Retirement-Homes/Chartwell-Hampton-House-Retirement-Residence
Canada-National-34-CAN-RetirementHomes-output-25,Chartwell Kamloops Retirement Residence,Retirement Home,"Assisted living, in-suite home care, certified staff",778-376-2000,628 Tranquille Road,Kamloops,BC,Canada,V2B 3H6,http://chartwell.com/Retirement-Homes/Chartwell-Kamloops-Retirement-Residence
