name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Alta Vista,,,,,,,,,,,,,,,,,,(613) 739-0909,,,,http://www.reveraliving.com/retirement-living/locations/Alta-Vista,,,,,,,,,,,,"Assisted Living, Independent Living, Memory Care",,,,,751 Peter Morand Crescent,,,Ottawa,,,ON,,K1G 6S9,Canada,45.4034854,-75.639387,Elmvale - Eastway - Riverview - Riverview Park West
Appleby Place,,,,,,,,,,,,,,,,,,905-333-1611,,,,http://www.reveraliving.com/retirement-living/locations/appleby-place,,,,,,,,,,,,"Assisted Living, Independent Living",,,,,500 Appleby Line,,,Burlington,,,ON,,L7L 5Z6,Canada,43.36821020000001,-79.75569650000001,
Arnprior Villa,,,,,,,,,,,,,,,,,,613-623-0414,,,,http://www.reveraliving.com/retirement-living/locations/arnprior-villa,,,,,,,,,,,,Independent Living,,,,,15 Arthur St,,,Arnprior,,,ON,,K7S 1A1,Canada,45.42439950000001,-76.36490119999999,
Aspen Ridge,,,,,,,,,,,,,,,,,,(403) 341-5522,,,,http://www.reveraliving.com/retirement-living/locations/Aspen-Ridge,,,,,,,,,,,,"Assisted Living, Independent Living, Memory Care",,,,,3100-22nd Street,,,Red Deer,,,AB,,T4R 3N7,Canada,52.2383643,-113.7709299,Aspen Ridge
Barrhaven,,,,,,,,,,,,,,,,,,(613) 823-2525,,,,http://www.reveraliving.com/retirement-living/locations/Barrhaven,,,,,,,,,,,,"Assisted Living, Independent Living, Memory Care",,,,,110 Berrigan Drive,,,Nepean,,,ON,,K2J 5A6,Canada,45.2775732,-75.742148,
Birkdale Place,,,,,,,,,,,,,,,,,,(905) 636-6300,,,,http://www.reveraliving.com/retirement-living/locations/Birkdale-Place,,,,,,,,,,,,Independent Living,,,,,611 Farmstead Drive,,,Milton,,,ON,,L9T 7Y8,Canada,43.5002755,-79.86706079999999,Willmott
Blenheim Community Village,,,,,,,,,,,,,,,,,,519-676-8119,,,,http://www.reveraliving.com/retirement-living/locations/blenheim,,,,,,,,,,,,Independent Living,,,,,10 Mary Ave,,,Blenheim,,,ON,,N0P 1A0,Canada,42.33945569999999,-81.987978,Blenheim
Bough Beeches Place,,,,,,,,,,,,,,,,,,905-625-2022,,,,http://www.reveraliving.com/retirement-living/locations/bough-beeches,,,,,,,,,,,,"Independent Living, Memory Care",,,,,1130 Bough Beeches Blvd,,,Mississauga,,,ON,,L4W 4G3,Canada,43.6260822,-79.6005409,Rockwood Village
Bradgate Arms,,,,,,,,,,,,,,,,,,416-968-1331,,,,http://www.reveraliving.com/retirement-living/locations/bradgate-arms,,,,,,,,,,,,Independent Living,,,,,54 Foxbar Rd,,,Toronto,,,ON,,M4V 2G6,Canada,43.6857248,-79.4007208,
Briarfield Gardens,,,,,,,,,,,,,,,,,,(519) 748-4814,,,,http://www.reveraliving.com/retirement-living/locations/Briarfield-Gardens,,,,,,,,,,,,"Assisted Living, Independent Living",,,,,1250 Weber St E,,,Kitchener,,,ON,,N2A 4E1,Canada,43.4344378,-80.443725,Stanley Park
