row_id,Facility Name,Type,Address,City,Province,Country,Postal Code,Contact Phone,Link to Details,type
Canada-National-35-CAN-RetirementHomes-output-1,Alta Vista,"Assisted Living, Independent Living, Memory Care",751 Peter Morand Crescent,Ottawa,ON,Canada,K1G 6S9,(613) 739-0909,http://www.reveraliving.com/retirement-living/locations/Alta-Vista,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-2,Appleby Place,"Assisted Living, Independent Living",500 Appleby Line,Burlington,ON,Canada,L7L 5Z6,905-333-1611,http://www.reveraliving.com/retirement-living/locations/appleby-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-3,Arnprior Villa,Independent Living,15 Arthur St,Arnprior,ON,Canada,K7S 1A1,613-623-0414,http://www.reveraliving.com/retirement-living/locations/arnprior-villa,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-4,Aspen Ridge,"Assisted Living, Independent Living, Memory Care",3100-22nd Street,Red Deer,AB,Canada,T4R 3N7,(403) 341-5522,http://www.reveraliving.com/retirement-living/locations/Aspen-Ridge,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-5,Barrhaven,"Assisted Living, Independent Living, Memory Care",110 Berrigan Drive,Nepean,ON,Canada,K2J 5A6,(613) 823-2525,http://www.reveraliving.com/retirement-living/locations/Barrhaven,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-6,Birkdale Place,Independent Living,611 Farmstead Drive,Milton,ON,Canada,L9T 7Y8,(905) 636-6300,http://www.reveraliving.com/retirement-living/locations/Birkdale-Place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-7,Blenheim Community Village,Independent Living,10 Mary Ave,Blenheim,ON,Canada,N0P 1A0,519-676-8119,http://www.reveraliving.com/retirement-living/locations/blenheim,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-8,Bough Beeches Place,"Independent Living, Memory Care",1130 Bough Beeches Blvd,Mississauga,ON,Canada,L4W 4G3,905-625-2022,http://www.reveraliving.com/retirement-living/locations/bough-beeches,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-9,Bradgate Arms,Independent Living,54 Foxbar Rd,Toronto,ON,Canada,M4V 2G6,416-968-1331,http://www.reveraliving.com/retirement-living/locations/bradgate-arms,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-10,Briarfield Gardens,"Assisted Living, Independent Living",1250 Weber St E,Kitchener,ON,Canada,N2A 4E1,(519) 748-4814,http://www.reveraliving.com/retirement-living/locations/Briarfield-Gardens,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-11,Briargate,"Independent Living, Memory Care",4567 Bath Rd,Amherstview,ON,Canada,K7N 1A8,613-384-9333,http://www.reveraliving.com/retirement-living/locations/briargate-community,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-12,Bridlewood Manor,Independent Living,1026 Bridlewood Dr,Brockville,ON,Canada,K6V 7J8,613-345-2477,http://www.reveraliving.com/retirement-living/locations/bridlewood-manor,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-13,Brierwood Gardens,"Independent Living, Seniors' Apartments",425 Park Rd N,Brantford,ON,Canada,N3R 7G5,519-759-1040,http://www.reveraliving.com/retirement-living/locations/brierwood-gardens,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-14,Brookside Court,Assisted Living,980 Elgin Mills Rd E,Richmond Hill,ON,Canada,L4S 1M4,905-884-9248,http://www.reveraliving.com/retirement-living/locations/brookside-court,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-15,Cambridge Estates,Independent Living,64 Portugal Cove Road,St. John's,NL,Canada,A1B 5G8,(709) 576-4663,http://www.reveraliving.com/retirement-living/locations/Cambridge-Estates,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-16,Cedarcroft Place,Independent Living,649 King St E,Oshawa,ON,Canada,L1H 8P9,905-723-9490,http://www.reveraliving.com/retirement-living/locations/cedarcroft-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-17,Centennial Park Place,Independent Living,25 Centennial Park Rd,Etobicoke,ON,Canada,M9C 5H1,416-621-2139,http://www.reveraliving.com/retirement-living/locations/centennial-park-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-18,Charlotte Villa,"Assisted Living, Independent Living",120 Darling St,Brantford,ON,Canada,N3T 5W6,519-759-5250,http://www.reveraliving.com/retirement-living/locations/charlotte-villa,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-19,Chateau Renoir,Independent Living,9229 16th St SW,Calgary,AB,Canada,T2V 5H3,403-255-2105,http://www.reveraliving.com/retirement-living/locations/chateau-renoir,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-20,Chatham Retirement Resort,Independent Living,25 Keil Drive North,Chatham,ON,Canada,N7L 5J9,(519) 351-7777,http://www.reveraliving.com/retirement-living/locations/Chatham-Retirement-Resort,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-21,Churchill Place,"Assisted Living, Independent Living",345 Church St,Oakville,ON,Canada,L6J 7G4,905-338-3311,http://www.reveraliving.com/retirement-living/locations/churchill-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-22,Colonel By,"Assisted Living, Independent Living, Memory Care",43 Aylmer Ave,Ottawa,ON,Canada,K1S 5R4,613-730-2002,http://www.reveraliving.com/retirement-living/locations/colonel-by,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-23,Constitution Place,Independent Living,3051 Constitution Blvd,Mississauga,ON,Canada,L4Y 2Z1,905-279-8554,http://www.reveraliving.com/retirement-living/locations/constitution-place,Retirement Home
