name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Canterbury Place,,,,mktg1.canterbury@verveseniorliving.com,,,,,,,,,,,,,,4162271643,,,,http://www.verveseniorliving.com/canterbury-place,,,,,,,,,,,,,Community Care,,,,1 Canterbury Place,,,North York,,,ON,,M2N 0G7,Canada,43.7721224,-79.4144005,
Courtyard Gardens,,,,info.cyg@verveseniorliving.com,,,,,,,,,,,,,,16042731225,,,,http://www.verveseniorliving.com/courtyard-gardens,,,,,,,,,,,,,Community Care,,,,7051 Moffatt Rd,,,Richmond,,,BC,,V6Y 3W2,Canada,49.1619421,-123.1438193,
Credit River Retirement Residence,,,,mktg2.mgr.creditriver@verveseniorliving.com,,,,,,,,,,,,,,9058129191,,,,http://www.verveseniorliving.com/credit-river,,,,,,,,,,,,,Community Care,,,,175 Rutledge Rd,,,Streetsville,,,ON,,L5M 0X7,Canada,43.5810576,-79.7171895,Streetsville
Dr. James Hemstock,,,,mrkt.dhr@verveseniorliving.com,,,,,,,,,,,,,,7808082161,,,,http://www.verveseniorliving.com/dr-james-hemstock,,,,,,,,,,,,,Community Care,,,,4202 - 54 Avenue,,,Lloydminster,,,AB,,T9V 2Z3,Canada,53.2775945,-110.0155052,
Evergreen Retirement Community,,,,gm.evergreen@verveseniorliving.com,,,,,,,,,,,,,,9055028882,,,,http://www.verveseniorliving.com/evergreen,,,,,,,,,,,,,Community Care,,,,820 Scollard Court,,,Mississauga,,,ON,,L5V 0A1,Canada,43.591987,-79.672692,East Credit
Forestview Retirement Residence,,,,info@adventhealth.org,,,,,,,,,,,,,,4163984341,,,,http://www.verveseniorliving.com/forestview,,,,,,,,,,,,,Community Care,,,,537 Finch Avenue West,,,Toronto,,,ON,,M2R 0A8,Canada,43.77362410000001,-79.44490979999999,
Four Elms,,,,mk1.fe@verveseniorliving.com,,,,,,,,,,,,,,9057380905,,,,http://www.verveseniorliving.com/four-elms,,,,,,,,,,,,,Community Care,,,,1500 Steeles Ave W,,,Thornhill,,,ON,,L4J 4H6,Canada,43.7876377,-79.4696769,Thornhill
Gilmore Gardens,,,,info.gilmore@verveseniorliving.com,,,,,,,,,,,,,,6042717222,,,,http://www.verveseniorliving.com/gilmore-gardens,,,,,,,,,,,,,Community Care,,,,4088 Blundell Road,,,Richmond,,,BC,,V7C 5V1,Canada,49.155187,-123.180035,
Granville Gardens,,,,gm.granville@verveseniorliving.com,,,,,,,,,,,,,,(604) 5633540,,,,http://www.verveseniorliving.com/granville-gardens,,,,,,,,,,,,,Community Care,,,,Suite 100-1550 West 49th Avenue,,,Vancouver,,,BC,,V6M 0B3,Canada,49.2267435,-123.1402455,West Side
Hardy Terrace,,,,adm.hterrace@verveseniorliving.com,,,,,,,,,,,,,,5194842431,,,,http://www.verveseniorliving.com/hardy-terrace,,,,,,,,,,,,,Community Care,,,,612 Mount Pleasant Road RR2,,,Brantford,,,ON,,N3T 5L5,Canada,43.08782919999999,-80.3104748,
Hawthorn Park,,,,Info.hp@verveseniorliving.com,,,,,,,,,,,,,,2508616636,,,,http://www.verveseniorliving.com/hawthorn-park,,,,,,,,,,,,,Community Care,,,,867 K.L.O. Road,,,Kelowna,,,BC,,V1Y 9G5,Canada,49.8604765,-119.4840546,South Pandosy - K.L.O.
Hazelton Place,,,,mkg.mgr.hazelton@verveseniorliving.com,,,,,,,,,,,,,,4169280111,,,,http://www.verveseniorliving.com/hazelton-place,,,,,,,,,,,,,Community Care,,,,111 Avenue Road,,,Toronto,,,ON,,M5R 3J8,Canada,43.6731766,-79.3954564,
Holland Gardens,,,,mktg.mgr.hg@verveseniorliving.com,,,,,,,,,,,,,,18888211181,,,,http://www.verveseniorliving.com/holland-gardens,,,,,,,,,,,,,Community Care,,,,552 Holland St W,,,Bradford,,,ON,,Canada,Canada,44.1063499,-79.59844629999999,
Hudson Manor,,,,gm.hm@verveseniorliving.com,,,,,,,,,,,,,,5196823366,,,,http://www.verveseniorliving.com/hudson-manor,,,,,,,,,,,,,Community Care,,,,36 Lawson Street,,,Tilbury,,,ON,,N0P 2L0,Canada,42.2605703,-82.423586,
Lake Bonavista Village,,,,mkg.mgr.lbv@verveseniorliving.com,,,,,,,,,,,,,,4032581849,,,,http://www.verveseniorliving.com/lake-bonavista-village,,,,,,,,,,,,,Community Care,,,,11800 Lake Fraser Drive S.E.,,,Calgary,,,AB,,T2J 7G8,Canada,50.94735420000001,-114.0673193,Southeast Calgary
The Lodge At Valley Ridge,,,,info.vr@verveseniorliving.com,,,,,,,,,,,,,,4032864414,,,,http://www.verveseniorliving.com/lodge-at-valley-ridge,,,,,,,,,,,,,Community Care,,,,11479 Valley Ridge Dr NW,,,Calgary,,,AB,,T3B 5V5,Canada,51.09014879999999,-114.2522085,Northwest Calgary
Metcalfe Gardens,,,,mkg.mgr.metcalfe@verveseniorliving.com,,,,,,,,,,,,,,5196319393,,,,http://www.verveseniorliving.com/metcalfe-gardens,,,,,,,,,,,,,Community Care,,,,45 Metcalfe Street,,,St. Thomas,,,ON,,N5R 5Y1,Canada,42.77635900000001,-81.199849,
Palermo Village,,,,mktg1.mgr.palermo@verveseniorliving.com,,,,,,,,,,,,,,9055820395,,,,http://www.verveseniorliving.com/palermo-village,,,,,,,,,,,,,Community Care,,,,3136 Dundas Street West,,,Oakville,,,ON,,L3Z 2A4,Canada,43.4320715,-79.7796903,Palermo West
Perth Community Care Centre,,,,adm.perth@diversicare.ca,,,,,,,,,,,,,,6132672506,,,,http://www.verveseniorliving.com/perth-community-care-centre,,,,,,,,,,,,,Community Care,,,,101 Christie Lake Road RR4,,,Perth,,,ON,,K7H 3C6,Canada,44.90449479999999,-76.27080509999999,
Port Credit Residences,,,,gm.pc@verveseniorliving.com,,,,,,,,,,,,,,9052746864,,,,http://www.verveseniorliving.com/port-credit,,,,,,,,,,,,,Community Care,,,,33 Hurontario Street,,,Mississauga,,,ON,,L5G 3G8,Canada,43.55626780000001,-79.5828674,Port Credit
Prince of Peace,,,,mkg.mgr.pop@verveseniorliving.com,,,,,,,,,,,,,,4032855080,,,,http://www.verveseniorliving.com/prince-of-peace,,,,,,,,,,,,,Community Care,,,,285030 Luther Rose Boulevard N.E.,,,Calgary,,,AB,,T1X 1M9,Canada,51.062163,-113.892144,
Richmond Hill Retirement Residence,,,,mktg2.richmondhill@verveseniorliving.com,,,,,,,,,,,,,,9057704704,,,,http://www.verveseniorliving.com/richmond-hill,,,,,,,,,,,,,Community Care,,,,70 Bernard Avenue,,,Richmond Hill,,,ON,,L4C 0W7,Canada,43.8955171,-79.4403676,
