row_id,﻿Facility Name,Address,City,Postal Code,Province,Contact Phone,Email,Link to Details,country,facility_type
Canada-National-36-CAN-Verve-output-1,Canterbury Place,1 Canterbury Place,North York,M2N 0G7,ON,4162271643,mktg1.canterbury@verveseniorliving.com,http://www.verveseniorliving.com/canterbury-place,Canada,Community Care
Canada-National-36-CAN-Verve-output-2,Courtyard Gardens,7051 Moffatt Rd,Richmond,V6Y 3W2,BC,16042731225,info.cyg@verveseniorliving.com,http://www.verveseniorliving.com/courtyard-gardens,Canada,Community Care
Canada-National-36-CAN-Verve-output-3,Credit River Retirement Residence,175 Rutledge Rd,Streetsville,L5M 0X7,ON,9058129191,mktg2.mgr.creditriver@verveseniorliving.com,http://www.verveseniorliving.com/credit-river,Canada,Community Care
Canada-National-36-CAN-Verve-output-4,Dr. James Hemstock,4202 - 54 Avenue,Lloydminster,T9V 2Z3,AB,7808082161,mrkt.dhr@verveseniorliving.com,http://www.verveseniorliving.com/dr-james-hemstock,Canada,Community Care
Canada-National-36-CAN-Verve-output-5,Evergreen Retirement Community,820 Scollard Court,Mississauga,L5V 0A1,ON,9055028882,gm.evergreen@verveseniorliving.com,http://www.verveseniorliving.com/evergreen,Canada,Community Care
Canada-National-36-CAN-Verve-output-6,Forestview Retirement Residence,537 Finch Avenue West,Toronto,M2R 0A8,ON,4163984341,info@adventhealth.org,http://www.verveseniorliving.com/forestview,Canada,Community Care
Canada-National-36-CAN-Verve-output-7,Four Elms,1500 Steeles Ave W,Thornhill,L4J 4H6,ON,9057380905,mk1.fe@verveseniorliving.com,http://www.verveseniorliving.com/four-elms,Canada,Community Care
Canada-National-36-CAN-Verve-output-8,Gilmore Gardens,4088 Blundell Road,Richmond,V7C 5V1,BC,6042717222,info.gilmore@verveseniorliving.com,http://www.verveseniorliving.com/gilmore-gardens,Canada,Community Care
Canada-National-36-CAN-Verve-output-9,Granville Gardens,Suite 100-1550 West 49th Avenue,Vancouver,V6M 0B3,BC,(604) 5633540,gm.granville@verveseniorliving.com,http://www.verveseniorliving.com/granville-gardens,Canada,Community Care
Canada-National-36-CAN-Verve-output-10,Hardy Terrace,612 Mount Pleasant Road RR2,Brantford,N3T 5L5,ON,5194842431,adm.hterrace@verveseniorliving.com,http://www.verveseniorliving.com/hardy-terrace,Canada,Community Care
Canada-National-36-CAN-Verve-output-11,Hawthorn Park,867 K.L.O. Road,Kelowna,V1Y 9G5,BC,2508616636,Info.hp@verveseniorliving.com,http://www.verveseniorliving.com/hawthorn-park,Canada,Community Care
Canada-National-36-CAN-Verve-output-12,Hazelton Place,111 Avenue Road,Toronto,M5R 3J8,ON,4169280111,mkg.mgr.hazelton@verveseniorliving.com,http://www.verveseniorliving.com/hazelton-place,Canada,Community Care
Canada-National-36-CAN-Verve-output-13,Holland Gardens,552 Holland St W,Bradford,Canada,ON,18888211181,mktg.mgr.hg@verveseniorliving.com,http://www.verveseniorliving.com/holland-gardens,Canada,Community Care
Canada-National-36-CAN-Verve-output-14,Hudson Manor,36 Lawson Street,Tilbury,N0P 2L0,ON,5196823366,gm.hm@verveseniorliving.com,http://www.verveseniorliving.com/hudson-manor,Canada,Community Care
Canada-National-36-CAN-Verve-output-15,Lake Bonavista Village,11800 Lake Fraser Drive S.E.,Calgary,T2J 7G8,AB,4032581849,mkg.mgr.lbv@verveseniorliving.com,http://www.verveseniorliving.com/lake-bonavista-village,Canada,Community Care
Canada-National-36-CAN-Verve-output-16,The Lodge At Valley Ridge,11479 Valley Ridge Dr NW,Calgary,T3B 5V5,AB,4032864414,info.vr@verveseniorliving.com,http://www.verveseniorliving.com/lodge-at-valley-ridge,Canada,Community Care
Canada-National-36-CAN-Verve-output-17,Metcalfe Gardens,45 Metcalfe Street,St. Thomas,N5R 5Y1,ON,5196319393,mkg.mgr.metcalfe@verveseniorliving.com,http://www.verveseniorliving.com/metcalfe-gardens,Canada,Community Care
Canada-National-36-CAN-Verve-output-18,Palermo Village,3136 Dundas Street West,Oakville,L3Z 2A4,ON,9055820395,mktg1.mgr.palermo@verveseniorliving.com,http://www.verveseniorliving.com/palermo-village,Canada,Community Care
Canada-National-36-CAN-Verve-output-19,Perth Community Care Centre,101 Christie Lake Road RR4,Perth,K7H 3C6,ON,6132672506,adm.perth@diversicare.ca,http://www.verveseniorliving.com/perth-community-care-centre,Canada,Community Care
Canada-National-36-CAN-Verve-output-20,Port Credit Residences,33 Hurontario Street,Mississauga,L5G 3G8,ON,9052746864,gm.pc@verveseniorliving.com,http://www.verveseniorliving.com/port-credit,Canada,Community Care
Canada-National-36-CAN-Verve-output-21,Prince of Peace,285030 Luther Rose Boulevard N.E.,Calgary,T1X 1M9,AB,4032855080,mkg.mgr.pop@verveseniorliving.com,http://www.verveseniorliving.com/prince-of-peace,Canada,Community Care
Canada-National-36-CAN-Verve-output-22,Richmond Hill Retirement Residence,70 Bernard Avenue,Richmond Hill,L4C 0W7,ON,9057704704,mktg2.richmondhill@verveseniorliving.com,http://www.verveseniorliving.com/richmond-hill,Canada,Community Care
Canada-National-36-CAN-Verve-output-23,Stouffville Creek Retirement Residence,40 Freel Lane,Stouffville,L4A 0P5,ON,(905)6422902,mkg.mgr.stouffville@verveseniorliving.com,http://www.verveseniorliving.com/stouffville-creek,Canada,Community Care
Canada-National-36-CAN-Verve-output-24,The Concorde,3235 Skaha Lake Road,Penticton,V2A G65,BC,2504908800,info.theconcorde@verveseniorliving.com,http://www.verveseniorliving.com/the-concorde,Canada,Community Care
Canada-National-36-CAN-Verve-output-25,The Heritage,3630 Brown Road,West Kelowna,V4T 7Y9,BC,2507689926,Info.theheritage@verveseniorliving.com,http://www.verveseniorliving.com/the-heritage,Canada,Community Care
Canada-National-36-CAN-Verve-output-26,The Richmond,175 North Front St,Belleville,K8P 4Y8,ON,6139664407,gm.therichmond@verveseniorliving.com,http://www.verveseniorliving.com/the-richmond,Canada,Community Care
Canada-National-36-CAN-Verve-output-27,The Roxborough,1 Roxborough Road,Newmarket,L3Y 2P8,ON,9058534573,mktg1.rox@verveseniorliving.com,http://www.verveseniorliving.com/the-roxborough,Canada,Community Care
Canada-National-36-CAN-Verve-output-28,The Waverley,10 Grand Avenue,London,N6C 1K9,ON,5196671381,info.waverley@verveseniorliving.com,http://www.verveseniorliving.com/the-waverley,Canada,Community Care
Canada-National-36-CAN-Verve-output-29,Thornebridge Gardens,649 Eighth Avenue,New Westminster,V3M 2R2,BC,6045246100,mkg.mgr.tg@verveseniorliving.com,http://www.verveseniorliving.com/thornebridge-gardens,Canada,Community Care
Canada-National-36-CAN-Verve-output-30,Tilbury Manor,16 Fort Street Box 160,Tilbury,N0P 2L0,ON,5196820243,adm.tilbury@verveseniorliving.com,http://www.verveseniorliving.com/tilbury-manor,Canada,Community Care
Canada-National-36-CAN-Verve-output-31,Trinity Lodge,1111 Glenmore Trail S.W.,Calgary,T2V 4C9,AB,4032537576,mkg.mgr.tl@verveseniorliving.com,http://www.verveseniorliving.com/trinity-lodge,Canada,Community Care
Canada-National-36-CAN-Verve-output-32,Villa Marconi,1026 Baseline Road,Ottawa,K2C 0A6,ON,6137276201,administrator@villamarconi.com,http://www.verveseniorliving.com/villa-marconi,Canada,Community Care
Canada-National-36-CAN-Verve-output-33,White Cliffe Terrace,1460 Highway #2,Courtice,L1E 3C4,ON,9055790800,info.wct@verveseniorliving.com,http://www.verveseniorliving.com/white-cliffe-terrace,Canada,Community Care
Canada-National-36-CAN-Verve-output-34,Wintergreene Estates,4950 Pasqua Street,Regina,S4S 7L2,SK,3065857100,info.wge@verveseniorliving.com,http://www.verveseniorliving.com/wintergreene-estates,Canada,Community Care
