row_id,Licence #,First Issue Date,Licensee Name,Address Line 1,Address Line 2,city,Postal Code,Province,Country,Contact Phone,Fax,Primary Contact,Website,Email,Services Available,Resident Capacity,Automatic Sprinklers in All Suites?,Number of Suites with Automatic Sprinklers,Sprinkler Locations,facility_type
Canada-ON-1-ON-AssistedLiving-output-1,N0172,5/15/2013,1582611 Ontario Ltd.,99 Walford Road,,Sudbury,P3E 6K3,ON,Canada,+1 705-682-9990,+1 705-682-9996,Mr. Tony  Guidoccio,http://www.thewalford.com,coppercliff@thewalford.com,"[True, False, False, False, False, True, True, True, False, False, True, True, True]",53,Yes,49,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-2,T0409,9/22/2014,873888 Ontario Limited,65 Trueman Avenue,,Etobicoke,M8Z 5A3,ON,Canada,416-534-5274,+1 416-534-5274,N/A,,dean_jennifer@hotmail.com,"[False, False, False, False, False, False, True, True, False, False, True, False, False]",28,No,0,"Kitchen, Dining Room, Staff Areas, Emergency Exits, Basement, Boiler Room, Mechanical/Electrical Rooms, Laundry Rooms, Offices",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-3,T0266,5/28/2013,HCN-Revera Lessee ( Victoria Place) LP,55 Standish Court,8th Floor,Mississauga,L5R 4B2,ON,Canada,+1 519-576-1300,+1 519-744-7097,Ms. Shana Bond,http://reveraliving.com/victoria,victoriaplace@reveraliving.com,"[True, True, True, True, False, True, True, True, False, True, True, True, True]",88,Yes,88,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-4,N0016,5/16/2013,760496 Ontario Limited,201 Joseph Street,,Pembroke,K8A 8J2,ON,Canada,+1 613-732-0077,+1 613-732-0061,Mr. Kevin Roach,http://www.suppleslanding.com,ed@suppleslanding.com,"[True, True, True, True, False, True, True, True, False, True, False, False, True]",95,Yes,81,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-5,T0029,11/23/2012,Lutherwood,285 Benjamin Road,,Waterloo,N2J 3Z4,ON,Canada,+1 519-783-3710,+1 519-884-9071,N/A,http://www.luthervillage.org,,"[True, True, True, False, True, True, True, True, False, True, True, True, True]",190,Yes,146,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-6,T0188,5/15/2013,The Corporation of Convention Baptist Non-Profit Residences of Ontario and Quebec,50 Paul Burns Way,,Whitby,L1R 2Y9,ON,Canada,+1 905-665-9227,+1 905-665-7018,Mrs. Jennifer Sousa,http://www.lyndecreekmanor.com,jennifer@lyndecreekmanor.com,"[True, True, True, False, False, False, True, True, False, True, True, False, True]",110,Yes,94,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-7,T0004,7/11/2012,AON INC.,307 Aylmer Street N.,,Peterborough,K9J 7M4,ON,Canada,+1 705-876-1414,+1 705-775-2400,N/A,http://www.gardensofpeterborough.ca,,"[True, True, True, False, True, True, True, True, False, True, True, True, True]",144,Yes,134,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-8,N0068,7/25/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 705-566-6221,+1 705-566-6221, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, False, True]",100,Yes,84,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-9,T0030,11/7/2012,Caressant Care Nursing and Retirement Homes Limited,264 Norwich Avenue,,Woodstock,N4S 3V9,ON,Canada,+1 705-324-1913,+1 705-328-3283,N/A,http://www.caressantcare.com,,"[True, False, False, False, False, False, True, True, False, False, True, True, True]",93,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-10,S0227,6/17/2013,Schlegel Villages Inc.,325 Max Becker Drive,Unit 201,Kitchener,N2E 4H5,ON,Canada,+1 905-336-9904,+1 905-336-7143,Mr. Paul Brown,http://www.schlegelvillages.com,joanna.gurd@schlegelvillages.com,"[True, True, True, True, False, True, True, True, True, True, True, True, True]",285,Yes,225,None,Assisted Living
