name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Andrews of Charlottetown,,,Andrews of Charlottetown,,,,,,,,,,,,,,,902-368-2790,,,http://andrewsofpei.com/,,,,,,,,,,,,,,Assisted Living,,,,73 Malpeque Road,,,Charlottetown,,,PE,,C1E 1S3,Canada,46.2709126,-63.1525581,Highfield
Langille  House,,,Shirley Keenan-Goss,,,,,,,,,,,,,,,902-628-8228,,,http://langillehouse.ca,,,,,,,,,,,,,,Assisted Living,,,,214 Kent Street,,,Charlottetown,,,PE,,C1A 1P2,Canada,46.2376762,-63.124989,Queens Square
Lady Slipper Villa,,,Lady Slipper Villa,,,,,,,,,,,,,,,902-859-3544,,,http://peiseniorshomes.com/,,,,,,,,,,,,,,Assisted Living,,,,490 Main Street,,,Oäó»Leary,,,PE,,C0B 1V0,Canada,ERROR,ERROR,ERROR
La Coopí©rative de Chez Nous Ltí©e,,,La Coopí©rative de Chez Nous Ltí©e,,,,,,,,,,,,,,,902-854-3426,,,,,,,,,,,,,,,,,Assisted Living,,,,64 Sunset Dr.,,,Wellington Station,,,PE,,C0B 2E0,Canada,46.455787,-64.0041959,
Hilltop Lodge,,,Hilltop Lodge,,,,,,,,,,,,,,,902-687-3315,,,,,,,,,,,,,,,,,Assisted Living,,,,2 Lee Crane Blvd,,,Souris,,,PE,,C0A 2B0,Canada,46.3540009,-62.2419714,
Old Rose Lodge,,,Old Rose Lodge,,,,,,,,,,,,,,,902-368-8313,,,,,,,,,,,,,,,,,Assisted Living,,,,319 Queen St,,,Charlottetown,,,PE,,C1A 4C4,Canada,46.2374187,-63.1322681,
Grafton House,,,Grafton House,,,,,,,,,,,,,,,"37 Grafton St, Charlottetown, PE C1A 1K6",,,,,,,,,,,,,,,,,Assisted Living,,,,37 Grafton St,,,Charlottetown,,,PE,,C1A 1K6,Canada,46.2332488,-63.13040669999999,Queens Square
Perrinäó»s Marina Villa,,,Perrin's Marina Villa,,,,,,,,,,,,,,,902-838-4075,,,http://www.perrinsmarinavilla.com/,,,,,,,,,,,,,,Assisted Living,,,,115 Sackville,,,Montague,,,PE,,C0A 1R0,Canada,46.1655178,-62.647645,
Perrinäó»s Clinton View Lodge,,,Perrin's Clinton View Lodge,,,,,,,,,,,,,,,902-886-2276,,,,,,,,,,,,,,,,,Assisted Living,,,,30 Clinton View Ct,,,Kensington,,,PE,,C0B 1M0,Canada,46.4553874,-63.53504450000001,
MacKinnon Pines Lodge,,,Bill Checkley,,,,,,,,,,,,,,,902-838-2656,,,,,,,,,,,,,,,,,Assisted Living,,,,505 Campbellton St,,,Montague,,,PE,,C0A 1R0,Canada,46.16896,-62.65731,
Miscouche Villa,,,Miscouche Villa,,,,,,,,,,,,,,,902-436-1946,,,https://www.facebook.com/TheMiscoucheVilla/,,,,,,,,,,,,,,Assisted Living,,,,20 Lady Slipper Dr N,,,Miscouche,,,PE,,C0B 1T0,Canada,46.433376,-63.867149,
Geneva Villa,,,Geneva Villa,,,,,,,,,,,,,,,902-628-6642,,,http://genevavilla.com/,,,,,,,,,,,,,,Assisted Living,,,,78 Walthen Drive,,,Charlottetown,,,PE,,C1A 4T8,Canada,46.242374,-63.129386,
Emerson Lodge,,,Claudette Cheverie,,,,,,,,,,,,,,,902-892-0791,,,http://www.emersonlodge.com,,,,,,,,,,,,,,Assisted Living,,,,36 Kent St.,,,Charlottetown,,,PE,,C1A 1M8,Canada,46.2334245,-63.1317073,Queens Square
Whisperwood Villa,,,Whisperwood Villa,,,,,,,,,,,,,,,902-566-5556,,,http://peiseniorshomes.com/,,,,,,,,,,,,,,Assisted Living,,,,160 St. Peters Rd.,,,Charlottetown,,,PE,,C1A 5P8,Canada,46.261367,-63.11819800000001,Sherwood
Villa Marguerite Seniorsäó» Home,,,Villa Marguerite Seniors' Residence,,,,,,,,,,,,,,,902-963-3962,,,http://villamargueritepei.com,,,,,,,,,,,,,,Assisted Living,,,,40 Churchill Ave,,,North Rustico,,,PE,,C0A 1X0,Canada,46.4594405,-63.31006099999999,
Elm Crest Lodge,,,Elm Crest Lodge,,,,,,,,,,,,,,,902-566-5996,,,,,,,,,,,,,,,,,Assisted Living,,,,267 Richmond,,,Charlottetown,,,PE,,C1A1J7,Canada,46.237178,-63.121685,Queens Square
Tignish Seniors Home Care co-operative Ltd.,,,LoriAnne Keough,,,,,,,,,,,,,,,902-882-4663,,,,,,,,,,,,,,,,,Assisted Living,,,,116 MacLeod Lane,,,Tignish,,,PE,,C0B 2B0,Canada,46.948986,-64.03092099999999,
Valley House,,,Shirley Keenan-Goss,,,,,,,,,,,,,,,902-628-8228,,,http://valleyhouse.ca,,,,,,,,,,,,,,Assisted Living,,,,92 Longworth Ave,,,Charlottetown,,,PE,,C1A 5A7,Canada,46.2442351,-63.12388929999999,
The Mount Continuing Care Community,,,The Mount Continuing Care Community,,,,,,,,,,,,,,,902-370-8888,,,http://www.themountcommunity.ca/,,,,,,,,,,,,,,Assisted Living,,,,141 Mount Edward Rd.,,,Charlottetown,,,PE,,C1A 5T1,Canada,46.25956300000001,-63.13312099999999,Sherwood
