row_id,name,license_num,website,contact,phone,fax,street_address,city,province,postal_code,country,facility_type
Canada-PEI-6-PEI-6-PEI-1,Andrews of Charlottetown,73,http://andrewsofpei.com/,Andrews of Charlottetown,902-368-2790,,73 Malpeque Road,Charlottetown,PE,C1E 1S3,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-2,Langille  House,42,http://langillehouse.ca,Shirley Keenan-Goss,902-628-8228,,214 Kent Street,Charlottetown,PE,C1A 1P2,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-3,Lady Slipper Villa,79,http://peiseniorshomes.com/,Lady Slipper Villa,902-859-3544,,490 Main Street,Oäó»Leary,PE,C0B 1V0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-4,La Coopérative de Chez Nous Ltée,34,,La Coopí©rative de Chez Nous Ltí©e,902-854-3426,,64 Sunset Dr.,Wellington Station,PE,C0B 2E0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-5,Hilltop Lodge,85,,Hilltop Lodge,902-687-3315,,2 Lee Crane Blvd,Souris,PE,C0A 2B0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-6,Old Rose Lodge,28,,Old Rose Lodge,902-368-8313,,319 Queen St,Charlottetown,PE,C1A 4C4,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-7,Grafton House,92,,Grafton House,"37 Grafton St, Charlottetown, PE C1A 1K6",,37 Grafton St,Charlottetown,PE,C1A 1K6,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-8,Perrin's Marina Villa,72,http://www.perrinsmarinavilla.com/,Perrin's Marina Villa,902-838-4075,,115 Sackville,Montague,PE,C0A 1R0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-9,Perrin's Clinton View Lodge,93,,Perrin's Clinton View Lodge,902-886-2276,,30 Clinton View Ct,Kensington,PE,C0B 1M0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-10,MacKinnon Pines Lodge,54,,Bill Checkley,902-838-2656,,505 Campbellton St,Montague,PE,C0A 1R0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-11,Miscouche Villa,91,https://www.facebook.com/TheMiscoucheVilla/,Miscouche Villa,902-436-1946,,20 Lady Slipper Dr N,Miscouche,PE,C0B 1T0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-12,Geneva Villa,66,http://genevavilla.com/,Geneva Villa,902-628-6642,,78 Walthen Drive,Charlottetown,PE,C1A 4T8,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-13,Emerson Lodge,60,http://www.emersonlodge.com,Claudette Cheverie,902-892-0791,,36 Kent St.,Charlottetown,PE,C1A 1M8,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-14,Whisperwood Villa,78,http://peiseniorshomes.com/,Whisperwood Villa,902-566-5556,,160 St. Peters Rd.,Charlottetown,PE,C1A 5P8,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-15,Villa Marguerite Seniorsäó» Home,83,http://villamargueritepei.com,Villa Marguerite Seniors' Residence,902-963-3962,,40 Churchill Ave,North Rustico,PE,C0A 1X0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-16,Elm Crest Lodge,65,,Elm Crest Lodge,902-566-5996,,267 Richmond,Charlottetown,PE,C1A1J7,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-17,Tignish Seniors Home Care co-operative Ltd.,61,,LoriAnne Keough,902-882-4663,,116 MacLeod Lane,Tignish,PE,C0B 2B0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-18,Valley House,68,http://valleyhouse.ca,Shirley Keenan-Goss,902-628-8228,,92 Longworth Ave,Charlottetown,PE,C1A 5A7,Canada,Assisted Living
