License Number,Legal Name,Short Name,Address,PO Box,Municipality,Postal Code,Country,Phone,Health Region,Territory CLSC,MRC,Circ. Provincial Election,Licensing Services,Fax,Dir. General,Chairman of the Board,Complaints and Quality of Service Commissioner,Status,Law,Incorpporation,Mission(s),Ministerial designation,Local authority,Funding method,facility_type
1245-2645,HÔPITAL MARIE-CLARAC,HÔPITAL MARIE-CLARAC,"3530, boulevard Gouin Est",,Montréal (66023),H1H 1B7,Canada,(514) 321-8800,Montréal (06),Montréal-Nord (06422),Montréal (660),Crémazie (433),CHSGS   222 Lit(s) de santé physique; CHSGS    Consultations externes,(514) 321-9626,,,"Dion, Marielle",Privé,"L.R.Q., chapitre S-4.2 (Loi 120)",Partie 1A de la Loi des cies,CH,,Non,Conventionné,Assisted Living
1245-3676,CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES,CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES,"500, avenue Ash",,Montréal (66023),H3K 2R4,Canada,(514) 937-9251,Montréal (06),Pointe-Saint-Charles (06314),Montréal (660),Saint-Henri--Sainte-Anne (393),CLSC,(514) 937-3492,,,"Lazure, Carole",Privé,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CLSC,,Non,Conventionné,Assisted Living
5177-0048,CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES (POINT DE SERVICE),CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES,"1955, rue Centre",,Montréal (66023),H3K 1J1,Canada,(514) 937-9251,Montréal (06),Pointe-Saint-Charles (06314),Montréal (660),Saint-Henri--Sainte-Anne (393),CLSC,(514) 937-3492,,,"Lazure, Carole",Privé,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CLSC,,Non,Conventionné,Assisted Living
5123-1405,ATELIER DU HAUT-SAINT-FRANÇOIS,ATELIER DU HAUT-SAINT-FRANÇOIS,"53, rue Angus Sud",,East Angus (41060),J0B 1R0,Canada,(819) 832-2222,Estrie (05),Haut-Saint-François (05181),Le Haut-Saint-François (410),Mégantic (103),CRDI   13 Place(s) en atelier de travail,(819) 849-6673,,,"Gosselin, Jean-Luc",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5123-4102,ATELIER DU VAL-SAINT-FRANÇOIS,ATELIER DU VAL-SAINT-FRANÇOIS,"5, rue des Sources, bureau 104",,Windsor (42088),J1S 2X3,Canada,(819) 845-7200,Estrie (05),Val Saint-François (05161),Le Val-Saint-François (420),Richmond (283),CRDI   15 Place(s) en centre d'activités de jour,(819) 849-6673,,,"Gosselin, Jean-Luc",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5122-1521,ATELIER ET CENTRE D'ACTIVITES DE JOUR SHERBROOKE - PROSPECT,ATELIER ET CENTRE D'ACT. DE JOUR SHERBROOKE - PROSPECT,"1621, rue Prospect",,Sherbrooke (43027),J1J 1K4,Canada,(819) 346-8471,Estrie (05),Sherbrooke (05151),Sherbrooke (430),Sherbrooke (113),CRDI   26 Place(s) en atelier de travail; CRDI   80 Place(s) en centre d'activités de jour,(819) 849-6673,,,"Gosselin, Jean-Luc",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5123-0076,ATELIER ET CENTRE D'ACTIVITÉS DE JOUR D'ASBESTOS,ATELIER ET CENTRE D'ACTIVITÉS DE JOUR D'ASBESTOS,"200, rue Letendre",,Asbestos (40043),J1T 1E3,Canada,(819) 879-7749,Estrie (05),Asbestos (05171),Les Sources (400),Richmond (283),CRDI   11 Place(s) en atelier de travail; CRDI   9 Place(s) en centre d'activités de jour,(819) 849-6673,,,"Gosselin, Jean-Luc",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5123-4144,CENTRE D'ACTIVITÉS DE JOUR DE DIXVILLE,CENTRE D'ACTIVITÉS DE JOUR DE DIXVILLE,"350, rue Saint-Alexandre",,Dixville (44023),J0B 1P0,Canada,(000) 000-0000,Estrie (05),Coaticook (05141),Coaticook (440),Saint-François (111),CRDI   22 Place(s) en centre d'activités de jour,(819) 849-6673,,,"Gosselin, Jean-Luc",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5123-4110,CENTRE D'ACTIVITÉS DE JOUR DE MAGOG,CENTRE D'ACTIVITÉS DE JOUR DE MAGOG,"1525, rue Principale Est",,Magog (45072),J1X 1Z8,Canada,(819) 843-0796,Estrie (05),Memphrémagog (05131),Memphrémagog (450),Orford (123),CRDI   9 Place(s) en centre d'activités de jour,(819) 849-6673,,,"Gosselin, Jean-Luc",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5123-0027,CENTRE D'ACTIVITÉS DE JOUR DE MANSONVILLE,CENTRE D'ACTIVITÉS DE JOUR DE MANSONVILLE,"282, rue Principale",,Potton (45030),J0E 1X0,Canada,(450) 292-4886,Estrie (05),Memphrémagog (05131),Memphrémagog (450),Orford (123),CRDI   7 Place(s) en centre d'activités de jour,(819) 849-6673,,,"Gosselin, Jean-Luc",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5122-3782,CENTRE D'ACTIVITES DE JOUR DE SHERBROOKE - FAIRMOUNT,CENTRE D'ACTIVITES DE JOUR DE SHERBROOKE - FAIRMOUNT,"1010, rue Fairmount",,Sherbrooke (43027),J1H 3N3,Canada,(819) 346-8471,Estrie (05),Sherbrooke (05151),Sherbrooke (430),Sherbrooke (113),CRDI   12 Place(s) en centre d'activités de jour,(819) 849-6673,,,"Gosselin, Jean-Luc",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5123-1371,CENTRE D'ACTIVITÉS DE JOUR DE SHERBROOKE - QUEEN,CENTRE D'ACTIVITÉS DE JOUR DE SHERBROOKE - QUEEN,"36, rue Queen",,Sherbrooke (43027),J1M 1H9,Canada,(819) 564-0303,Estrie (05),Sherbrooke (05151),Sherbrooke (430),Saint-François (111),CRDI   8 Place(s) en centre d'activités de jour,(819) 849-6673,,,"Gosselin, Jean-Luc",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5123-0043,CENTRE D'ACTIVITÉS DE JOUR DU GRANIT,CENTRE D'ACTIVITÉS DE JOUR DU GRANIT,"6435, rue Notre-Dame",,Lac-Mégantic (30030),G6B 2M9,Canada,(819) 583-0407,Estrie (05),Granit (05191),Le Granit (300),Mégantic (103),CRDI   8 Place(s) en centre d'activités de jour,(819) 849-6673,,,"Gosselin, Jean-Luc",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5123-4128,CENTRE D'ACTIVITÉS DE JOUR DU HAUT-SAINT-FRANÇOIS,CENTRE D'ACTIVITÉS DE JOUR DU HAUT-SAINT-FRANÇOIS,"109, rue Saint-Jacques Est",,East Angus (41060),J0B 1R0,Canada,(819) 832-4212,Estrie (05),Haut-Saint-François (05181),Le Haut-Saint-François (410),Mégantic (103),CRDI   9 Place(s) en centre d'activités de jour,(819) 849-6673,,,"Gosselin, Jean-Luc",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5123-4136,CENTRE D'ACTIVITÉS DE JOUR DU VAL-SAINT-FRANÇOIS,CENTRE D'ACTIVITÉS DE JOUR DU VAL-SAINT-FRANÇOIS,"56, rue Saint-Georges",,Windsor (42088),J1S 1J5,Canada,(819) 845-1033,Estrie (05),Val Saint-François (05161),Le Val-Saint-François (420),Richmond (283),CRDI   17 Place(s) en centre d'activités de jour,(819) 849-6673,,,"Gosselin, Jean-Luc",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
