name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Le Jardin de Rêves (1001),,,,,,,,,,,,,,,,,,819-536-4291,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"105, 118e Rue",,,Shawinigan,,,QC,,G9P 3E5,Canada,46.5236945,-72.7445472,
Résidence Le Reflet du Sud (1002),,,,,,,,,,,,,,,,,,819-536-2262,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"525, 128e Rue",,,Shawinigan,,,QC,,G9P 4A5,Canada,46.51673330000001,-72.74128739999999,
Résidence Johanne et Gilles Senc (1006),,,,,,,,,,,,,,,,,,819-538-9312,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"241, 207e Rue",,,Shawinigan,,,QC,,G9T 5T7,Canada,46.6243731,-72.6628803,
Domaine Centre Ville (2007) (1007),,,,,,,,,,,,,,,,,,819-533-4352,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"451, avenue Larocque",,,Shawinigan,,,QC,,G9T 2E7,Canada,46.61609860000001,-72.6909022,
Castel des Cèdres (1008),,,,,,,,,,,,,,,,,,819-536-4241,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"303, 2e Rue de la Pointe",,,Shawinigan,,,QC,,G9N 1J4,Canada,46.5383481,-72.7460811,
La Mère Veilleuse Résidence inc. (1010),,,,,,,,,,,,,,,,,,819-537-1389,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"1455, 110e Rue",,,Shawinigan,,,QC,,G9P 2S5,Canada,46.5207524,-72.758392,
Résidence l'Harmonie (1011),,,,,,,,,,,,,,,,,,819-538-9220,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"611, 207e Avenue",,,Shawinigan,,,QC,,G9T 3M2,Canada,46.6261612,-72.6544617,
Résidence du Boisé Ensoleillé inc. (1014),,,,,,,,,,,,,,,,,,819-537-3558,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"2850, 105e Avenue",,,Shawinigan,,,QC,,G9P 1R2,Canada,46.51668850000001,-72.74079080000001,
Résidence St-Georges (1015),,,,,,,,,,,,,,,,,,819-538-5333,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"350, avenue St-Georges",,,Shawinigan,,,QC,,G9T 3M9,Canada,46.62140410000001,-72.6564152,
La Tortulinoise inc. (1016),,,,,,,,,,,,,,,,,,819-538-3775,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"940, rue Jeanne-Fortin",,,Shawinigan,,,QC,,G0X 1L0,Canada,46.6113976,-72.63706719999999,
Domaine du Parc (2007) inc. (1017),,,,,,,,,,,,,,,,,,819-538-3313,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"571, avenue de Saint-Geroges",,,Shawinigan,,,QC,,G9T 5K4,Canada,46.6260164,-72.6512257,
Les Suites Almaville / La Pension (1020),,,,,,,,,,,,,,,,,,819-536-5953,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"2645, 104e Avenue",,,Shawinigan,,,QC,,G9P 1K1,Canada,46.51863150000001,-72.7412457,
Villa du Rocher (1022),,,,,,,,,,,,,,,,,,819-538-3322,,,,,,,,,,,,,,,,Organisme à but non lucratif (OBNL ou OSBL),Assisted Living,,,,"1301, 6e Avenue",,,Shawinigan,,,QC,,G9T 2J7,Canada,46.6088387,-72.7005042,
Les Résidences Des Chênes de Shawinigan (1024),,,,,,,,,,,,,,,,,,819-539-8295,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"5400, avenue de Nicolet",,,Shawinigan,,,QC,,G9N 4T3,Canada,46.5714033,-72.7271339,
Résidence Christ-Roi (1025),,,,,,,,,,,,,,,,,,819-539-8874,,,,,,,,,,,,,,,,Organisme à but non lucratif (OBNL ou OSBL),Assisted Living,,,,"1190, rue Notre-Dame",,,Shawinigan,,,QC,,G9N 3S4,Canada,46.55927659999999,-72.7389563,
Résidence-Val-Mauricie (1026),,,,,,,,,,,,,,,,,,819-537-6166,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"2550, 107e Avenue",,,Shawinigan,,,QC,,G9P 4W6,Canada,46.51777269999999,-72.7448499,
Résidence de L'Arche (1027),,,,,,,,,,,,,,,,,,819-537-6619,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"862, rue Hemlock",,,Shawinigan,,,QC,,G9N 1S7,Canada,46.5432549,-72.74892799999999,
Chartwell Domaine Cascade résidence pour retraités (1029),,,,,,,,,,,,,,,,,,819-536-4463,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"695, 7e Rue de la Pointe",,,Shawinigan,,,QC,,G9N 8K2,Canada,46.5421025,-72.7499182,
L'Étoile des Neiges (1032),,,,,,,,,,,,,,,,,,819-537-0261,,,,,,,,,,,,,,,,Résidence à but lucratif,Assisted Living,,,,"110-120, 119e Rue",,,Shawinigan,,,QC,,G9P 3H1,Canada,46.5233375,-72.74428619999999,
