row_id,Facility Name,Address,City,Postal Code,Phone,Province,Country,Company Name / Name of operators,Number of rental units,Number of rental units in private residence for seniors,Type of residence,Year of opening,Date of possession,Updated on,Member of an association,Certification Date of issue,Offered services,Complete residence information,facility_type
Canada-QC-18-AssistedLiving(Assoc)-output-1,Le Jardin de Rêves (1001),"105, 118e Rue",Shawinigan,G9P 3E5,819-536-4291,QC,Canada,Le Jardin de Rêves,12,12,Résidence à but lucratif,1996,7/1/1996,5/11/2017,Aucune,3/19/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1001,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-2,Résidence Le Reflet du Sud (1002),"525, 128e Rue",Shawinigan,G9P 4A5,819-536-2262,QC,Canada,RGTI inc.,16,16,Résidence à but lucratif,1993,6/1/2014,5/29/2017,Aucune,2/18/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1002,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-3,Résidence Johanne et Gilles Senc (1006),"241, 207e Rue",Shawinigan,G9T 5T7,819-538-9312,QC,Canada,Résidence Johanne et Gilles Senc,20,20,Résidence à but lucratif,1994,6/29/2007,3/2/2017,Aucune,6/20/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1006,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-4,Domaine Centre Ville (2007) (1007),"451, avenue Larocque",Shawinigan,G9T 2E7,819-533-4352,QC,Canada,Domaine Centre Ville (2007),15,15,Résidence à but lucratif,1993,1/1/1993,5/25/2017,Aucune,11/22/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1007,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-5,Castel des Cèdres (1008),"303, 2e Rue de la Pointe",Shawinigan,G9N 1J4,819-536-4241,QC,Canada,9017-6835 Québec inc.,18,17,Résidence à but lucratif,1980,1/1/1980,5/11/2017,Aucune,7/31/2015,Repas; Assistance personnelle; Aide domestique,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1008,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-6,La Mère Veilleuse Résidence inc. (1010),"1455, 110e Rue",Shawinigan,G9P 2S5,819-537-1389,QC,Canada,Lacerte Jacques; Lagacé Lyn,19,19,Résidence à but lucratif,1996,10/8/2007,4/26/2016,Aucune,6/5/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1010,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-7,Résidence l'Harmonie (1011),"611, 207e Avenue",Shawinigan,G9T 3M2,819-538-9220,QC,Canada,9133-3518 Québec inc.,21,21,Résidence à but lucratif,1986,1/1/1986,4/24/2017,RQRA- Regroupement québecois des résidences pour aînés,11/22/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1011,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-8,Résidence du Boisé Ensoleillé inc. (1014),"2850, 105e Avenue",Shawinigan,G9P 1R2,819-537-3558,QC,Canada,Résidence du Boisé Ensoleillé inc.,22,22,Résidence à but lucratif,1998,6/1/2006,6/2/2017,RQRA- Regroupement québecois des résidences pour aînés,2/28/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1014,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-9,Résidence St-Georges (1015),"350, avenue St-Georges",Shawinigan,G9T 3M9,819-538-5333,QC,Canada,9267-9232 Québec inc.,28,28,Résidence à but lucratif,1983,12/1/2012,9/9/2016,Aucune,5/2/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1015,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-10,La Tortulinoise inc. (1016),"940, rue Jeanne-Fortin",Shawinigan,G0X 1L0,819-538-3775,QC,Canada,La Tortulinoise inc.,26,26,Résidence à but lucratif,1990,12/21/1990,6/22/2017,RQRA- Regroupement québecois des résidences pour aînés,10/31/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1016,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-11,Domaine du Parc (2007) inc. (1017),"571, avenue de Saint-Geroges",Shawinigan,G9T 5K4,819-538-3313,QC,Canada,Domaine du Parc (2007) inc.,75,57,Résidence à but lucratif,1982,1/1/1986,4/13/2017,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,2/7/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1017,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-12,Les Suites Almaville / La Pension (1020),"2645, 104e Avenue",Shawinigan,G9P 1K1,819-536-5953,QC,Canada,9217-7773 Québec inc.,20,20,Résidence à but lucratif,1996,1/1/1996,4/13/2017,Aucune,2/7/2015,Repas; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1020,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-13,Villa du Rocher (1022),"1301, 6e Avenue",Shawinigan,G9T 2J7,819-538-3322,QC,Canada,Le Groupe Accès aux Logis,73,73,Organisme à but non lucratif (OBNL ou OSBL),1995,7/1/1995,3/3/2015,RQRA- Regroupement québecois des résidences pour aînés,8/2/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1022,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-14,Les Résidences Des Chênes de Shawinigan (1024),"5400, avenue de Nicolet",Shawinigan,G9N 4T3,819-539-8295,QC,Canada,9021-2515 Québec inc.,99,99,Résidence à but lucratif,1995,3/1/2017,7/17/2017,RQRA- Regroupement québecois des résidences pour aînés,4/25/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1024,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-15,Résidence Christ-Roi (1025),"1190, rue Notre-Dame",Shawinigan,G9N 3S4,819-539-8874,QC,Canada,Résidence Christ-Roi,90,86,Organisme à but non lucratif (OBNL ou OSBL),1990,1/1/1990,6/29/2017,RQRA- Regroupement québecois des résidences pour aînés; RQOH-Réseau québécois des osbl díhabitation,1/29/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1025,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-16,Résidence-Val-Mauricie (1026),"2550, 107e Avenue",Shawinigan,G9P 4W6,819-537-6166,QC,Canada,2435-9283 Québec inc.,54,54,Résidence à but lucratif,1981,5/1/1986,6/22/2017,RQRA- Regroupement québecois des résidences pour aînés,10/31/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1026,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-17,Résidence de L'Arche (1027),"862, rue Hemlock",Shawinigan,G9N 1S7,819-537-6619,QC,Canada,9051-7996 Québec inc.,85,85,Résidence à but lucratif,1997,7/1/1997,9/9/2016,RQRA- Regroupement québecois des résidences pour aînés,2/7/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1027,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-18,Chartwell Domaine Cascade résidence pour retraités (1029),"695, 7e Rue de la Pointe",Shawinigan,G9N 8K2,819-536-4463,QC,Canada,CSH Domaine Cascade inc.,205,203,Résidence à but lucratif,1988,8/23/1988,5/2/2017,RQRA- Regroupement québecois des résidences pour aînés,6/4/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1029,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-19,L'Étoile des Neiges (1032),"110-120, 119e Rue",Shawinigan,G9P 3H1,819-537-0261,QC,Canada,"L'Étoile des Neiges, SENC",9,9,Résidence à but lucratif,1997,4/1/2015,4/13/2017,Aucune,1/16/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1032,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-20,Résidence la Belle époque (1041),"373, 4e Rue de la Pointe",Shawinigan,G9N 1G6,819-537-1136,QC,Canada,Deziel Suzie,10,10,Résidence à but lucratif,1996,1/7/2007,4/11/2017,Aucune,6/20/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1041,Assisted Living
