name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Warm 'N' Cozy - Personal Care Home - Elite,,,,,,,,,,,,,,,,,,(306) 716-0771,,,,,,,,,,,,,,,,,Assisted Living,,,,739 Atton Crescent,,,Saskatoon ,,,SK,,S7S 1M2,Canada,52.162326,-106.575731,University Heights Planning Area
Stonebridge Crossing,,,,,,,,,,,,,,,,,,(306) 974-7990,,,,,,,,,,,,,,,,,Assisted Living,,,,102 Wellman Crescent,,,Saskatoon ,,,SK,,S7T 0G3,Canada,52.0831381,-106.6398785,Stonebridge
Warm 'N' Cozy - Care Home Inc.,,,,,,,,,,,,,,,,,,(306) 653-2273,,,,,,,,,,,,,,,,,Assisted Living,,,,502 Paton Crescent,,,Saskatoon ,,,SK,,S7W 0B8,Canada,52.1542465,-106.5537292,University Heights Planning Area
Country Lane Care Home,,,,,,,,,,,,,,,,,,(306) 586-2273,,,,,,,,,,,,,,,,,Assisted Living,,,,108 8 St,,,Pilot Butte ,,,SK,,S0G 3Z0,Canada,50.47723509999999,-104.4220689,
Coteau Range Manor Inc.,,,,,,,,,,,,,,,,,,(306) 868-2033,,,,,,,,,,,,,,,,,Assisted Living,,,,210 New Warren Road,,,Avonlea ,,,SK,,S4R 1T7,Canada,50.0170687,-105.0615669,
Arbor Oaks Manor,,,,,,,,,,,,,,,,,,(306) 545-3176,,,,,,,,,,,,,,,,,Assisted Living,,,,10 Kyle St,,,Regina ,,,SK,,S4R 5Y2,Canada,50.4909701,-104.6501144,Walsh Acres
Premium Health Services Ltd.,,,,,,,,,,,,,,,,,,(306) 541-8930,,,,,,,,,,,,,,,,,Assisted Living,,,,5800 4 Ave,,,Regina ,,,SK,,S4T 0K3,Canada,50.4627523,-104.6643522,Rosemont - Mount Royal
Baraka Care Homes Ltd.,,,,,,,,,,,,,,,,,,(306) 380-8042,,,,,,,,,,,,,,,,,Assisted Living,,,,205 Cruise Street,,,Saskatoon ,,,SK,,S7N 2C4,Canada,52.14269299999999,-106.594837,University Heights Planning Area
River Breeze Retirement Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,658 River St E,,,Prince Albert ,,,SK,,S6V 0A9,Canada,53.2096034,-105.7345098,
Sunset Place,,,,,,,,,,,,,,,,,,(306) 584-1461,,,,,,,,,,,,,,,,,Assisted Living,,,,4501 Queen St,,,Regina ,,,SK,,S4S 5X2,Canada,50.4086006,-104.6365241,Albert Park
Memory Lane Lodge,,,,,,,,,,,,,,,,,,(306) 697-2663,,,,,,,,,,,,,,,,,Assisted Living,,,,710 Stella St,,,Grenfell ,,,SK,,S0G 2B0,Canada,50.4129875,-102.9349522,
Lynne Alison,,,,,,,,,,,,,,,,,,(306) 668-6134,,,,,,,,,,,,,,,,,Assisted Living,,,,602 Spencer Way,,,Saskatoon ,,,SK,,S7K 7T6,Canada,52.1882359,-106.6347901,Silverwood Heights
Bedside Manners Private Care Services Inc.,,,,,,,,,,,,,,,,,,(306) 630-9400,,,,,,,,,,,,,,,,,Assisted Living,,,,836 Ominica St E,,,Moose Jaw ,,,SK,,S6H 0H8,Canada,50.39364150000001,-105.5130617,
Lutheran Sunset Home of Saskatoon,,,,,,,,,,,,,,,,,,(306) 664-0390,,,,,,,,,,,,,,,,,Assisted Living,,,,1230 Temperance St,,,Saskatoon ,,,SK,,S7N 0N9,Canada,52.1256,-106.6396385,Varsity View
Harwood Manor Inc.,,,,,,,,,,,,,,,,,,(306) 445-6990,,,,,,,,,,,,,,,,,Assisted Living,,,,2691 Clements Dr,,,North Battleford ,,,SK,,S9A 1H9,Canada,52.7959055,-108.2945032,
Broadway Terrace Inc.,,,,,,,,,,,,,,,,,,(306) 564-1210,,,,,,,,,,,,,,,,,Assisted Living,,,,1150 Broadway Ave,,,Regina ,,,SK,,S4P 4V3,Canada,50.4381274,-104.597392,Gladmer Park
Precious Memories,,,,,,,,,,,,,,,,,,(306) 359-0019,,,,,,,,,,,,,,,,,Assisted Living,,,,2800 23 Ave,,,Regina ,,,SK,,S4S 1E6,Canada,50.4236744,-104.6213198,Lakeview
Autumn House Independent Living Facility Inc.,,,,,,,,,,,,,,,,,,(306) 672-3672,,,,,,,,,,,,,,,,,Assisted Living,,,,143 Green St,,,Gull Lake ,,,SK,,S0N 1A0,Canada,50.09267269999999,-108.4884539,
MacWilliams Personal Care Home Limited,,,,,,,,,,,,,,,,,,(306) 764-4232,,,,,,,,,,,,,,,,,Assisted Living,,,,455 6 St E,,,Prince Albert ,,,SK,,S6V 0N3,Canada,53.2075301,-105.7429463,
