row_id,Facility Name,Address,City,Postal Code,Province,Country,Community,Licensee,Contact Phone,Total Unresolved Infractions,Approx Start Rate per Month,Beds (AC),Attributes,Link to Inspection Details,facility_type
Canada-SK-24-SK-PersonalCareHome-output-1,Warm 'N' Cozy - Personal Care Home - Elite,739 Atton Crescent,Saskatoon ,S7S 1M2,SK,Canada,Saskatoon,Warm 'N' Cozy Care Inc,(306) 716-0771,0,$3500 to $3999,15,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/cc3e27ef-9ec0-4797-be2a-b41222776dd; http://personalcarehomes.saskatchewan.ca/Inspection/Details/014a153e-37cf-4b95-8d05-0a47c0b5c6c,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-2,Stonebridge Crossing,102 Wellman Crescent,Saskatoon ,S7T 0G3,SK,Canada,Saskatoon,Stonebridge Crossing Retirement Community Inc,(306) 974-7990,0,$3500 to $3999,130,Suites that are not included in the Memory Care Unit - Cannot admit or care for residents who are at risk of wandering. Records pertaining to residents and the personal care home operation are securely stored in Saskatchewan.  Double rooms.,http://personalcarehomes.saskatchewan.ca/Inspection/Details/a16a971a-7990-455f-923b-873163d6de2; http://personalcarehomes.saskatchewan.ca/Inspection/Details/e158f199-bda7-4a71-8d16-1db73106977; http://personalcarehomes.saskatchewan.ca/Inspection/Details/02b56b5f-9a85-4796-8950-ebc7c1ba68b,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-3,Warm 'N' Cozy - Care Home Inc.,502 Paton Crescent,Saskatoon ,S7W 0B8,SK,Canada,Saskatoon,Warm 'N' Cozy Care Inc,(306) 653-2273,0,$2800 to $3499,15,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/b4baef91-b2a2-4bab-afe8-4e7a89cd87b; http://personalcarehomes.saskatchewan.ca/Inspection/Details/7c0dc799-bd74-4219-9caf-4613ba922e9,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-4,Country Lane Care Home,108 8 St,Pilot Butte ,S0G 3Z0,SK,Canada,Pilot Butte,Reynaldo & Maria Dimaano,(306) 586-2273,0,$2200 to $2799,10,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/e70cd1cb-05c7-45c2-8818-21de7582672,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-5,Coteau Range Manor Inc.,210 New Warren Road,Avonlea ,S4R 1T7,SK,Canada,Avonlea,Coteau Range Manor  Inc. ,(306) 868-2033,0,$2800 to $3499,30,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/23b9eef5-a0d3-44d4-83d7-3cdedd93b3c; http://personalcarehomes.saskatchewan.ca/Inspection/Details/a7b44ff6-2c18-44d7-ad2a-9e514c2137e,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-6,Arbor Oaks Manor,10 Kyle St,Regina ,S4R 5Y2,SK,Canada,Regina,Olive Quesnel,(306) 545-3176,0,$2800 to $3499,10,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/e64f40ae-5d56-4154-82cc-28574718556; http://personalcarehomes.saskatchewan.ca/Inspection/Details/b72d0a5d-e69a-466c-8579-e084fce81ea,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-7,Premium Health Services Ltd.,5800 4 Ave,Regina ,S4T 0K3,SK,Canada,Regina,Mirinae Kim,(306) 541-8930,0,$2200 to $2799,14,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/32161b0d-c85e-4b2c-bf04-19868e4e9ec,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-8,Baraka Care Homes Ltd.,205 Cruise Street,Saskatoon ,S7N 2C4,SK,Canada,Saskatoon,Baraka Care Homes Ltd. ,(306) 380-8042,0,$2800 to $3499,10,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/44124af1-91e9-45b5-a903-249dff615dd,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-9,River Breeze Retirement Complex,658 River St E,Prince Albert ,S6V 0A9,SK,Canada,Prince Albert,RB Care Home Inc. &  Haven Holdings Ltd.,,4,$2800 to $3499,45,Can only admit or care for residents who are at risk of wandering on first floor (rooms 101 to 120).  Double rooms.,http://personalcarehomes.saskatchewan.ca/Inspection/Details/a5e47037-a518-4868-8146-0a902f2c462; http://personalcarehomes.saskatchewan.ca/Inspection/Details/91522ab0-3a42-45ce-80bf-a0a16b2e976; http://personalcarehomes.saskatchewan.ca/Inspection/Details/d5b05d1e-b555-4362-beaa-deda4b1e125; http://personalcarehomes.saskatchewan.ca/Inspection/Details/8e0d45e5-eb42-4697-abdb-62f53ac79b7,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-10,Sunset Place,4501 Queen St,Regina ,S4S 5X2,SK,Canada,Regina,Michelle Albeck,(306) 584-1461,0,$2800 to $3499,8,Initial Licence Date: 2017 05 01; Approx Monthly Starting Range: $2800 to $3499,http://personalcarehomes.saskatchewan.ca/Inspection/Details/edbcab24-6a01-4d60-b1df-98ee03ffb93,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-11,Memory Lane Lodge,710 Stella St,Grenfell ,S0G 2B0,SK,Canada,Grenfell,Cheryl Wilson,(306) 697-2663,2,$2800 to $3499,10,Cannot admit and care for residents who are at risk of wandering; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/4b0df0d5-6eca-457b-8249-22bcff73062; http://personalcarehomes.saskatchewan.ca/Inspection/Details/6e7ca37a-bfed-47f5-a5a1-710d77b89fb,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-12,Lynne Alison,602 Spencer Way,Saskatoon ,S7K 7T6,SK,Canada,Saskatoon,Lynne Alison,(306) 668-6134,0,$2200 to $2799,12,Initial Licence Date: 1993 01 07; Approx Monthly Range: $2200 to $2799; Can only admit and care for residents on the upper level who can climb and descend steps independently; Single rooms,,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-13,Bedside Manners Private Care Services Inc.,836 Ominica St E,Moose Jaw ,S6H 0H8,SK,Canada,Moose Jaw,Bedside Manners Private Care Services  Inc. ,(306) 630-9400,0,$3500 to $3999,5,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/62104564-211a-46fd-8fec-95b8be44bcf; http://personalcarehomes.saskatchewan.ca/Inspection/Details/a7277717-acad-4a78-b8ed-d2e8e3600aa,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-14,Lutheran Sunset Home of Saskatoon,1230 Temperance St,Saskatoon ,S7N 0N9,SK,Canada,Saskatoon,Lutheran Sunset Home of Saskatoon,(306) 664-0390,0,$2800 to $3499,15,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/160357bd-2e8f-43ba-bd4f-e4fedc183d4,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-15,Harwood Manor Inc.,2691 Clements Dr,North Battleford ,S9A 1H9,SK,Canada,North Battleford,Harwood Manor Inc.,(306) 445-6990,0,$2800 to $3499,82,House #2 House #3 and House #4 Cannot admit or care for residents at risk of wandering; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/5ec0020a-44c5-4310-ad57-77828a4b61e,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-16,Broadway Terrace Inc.,1150 Broadway Ave,Regina ,S4P 4V3,SK,Canada,Regina,Broadway Terrace  Inc.,(306) 564-1210,0,$2800 to $3499,15,Cannot admit or care for residents who are at risk of wandering; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/69cfd0f3-be46-4eae-8fdf-c48041ae319; http://personalcarehomes.saskatchewan.ca/Inspection/Details/45814d74-c08c-4faa-a3d1-fdd8be7154c,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-17,Precious Memories,2800 23 Ave,Regina ,S4S 1E6,SK,Canada,Regina,Crystal Spooner,(306) 359-0019,2,$4000 and up,10,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/633304dc-a555-464c-96ad-65ce117ba26; http://personalcarehomes.saskatchewan.ca/Inspection/Details/7c8d8dc0-7965-46a7-bd2a-28dd7b59919,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-18,Autumn House Independent Living Facility Inc.,143 Green St,Gull Lake ,S0N 1A0,SK,Canada,Gull Lake,Autumn House Independent Living Facility Inc. ,(306) 672-3672,1,$2200 to $2799,20,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/d138652a-a9fb-49c3-a035-81b049a3a48; http://personalcarehomes.saskatchewan.ca/Inspection/Details/5139ebfe-2537-44ed-bdcc-6990f9d6a82,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-19,MacWilliams Personal Care Home Limited,455 6 St E,Prince Albert ,S6V 0N3,SK,Canada,Prince Albert,MacWilliams Personal Care Home Limited,(306) 764-4232,0,$1800 to $2199,9,Residents on the upper level must be able to climb and descend stairs independently; Cannot admit or care for residents who are at risk of wandering; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/5ac93fe3-9445-4fde-a13f-6eea5cc3d1a; http://personalcarehomes.saskatchewan.ca/Inspection/Details/1a1a363e-a25f-4c90-9f66-2bf432b7163,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-20,Prairie Villa Inc.,800 1 St W,Assiniboia ,S0H 0B0,SK,Canada,Assiniboia,Prairie Villa Inc.,(306) 642-5522,2,$1500 to $1799,57,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/8e8ec53b-3540-4448-97f3-88d581e596e; http://personalcarehomes.saskatchewan.ca/Inspection/Details/940cb905-606b-4900-bddd-e2baa618732,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-21,Mirinae Kim,5931 Hague Crescent,Regina ,S4X 3K6,SK,Canada,Regina,Mirinae Kim,(306) 541-8930,0,$2200 to $2799,8,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/81098370-5297-4bd3-8a23-975dc004951,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-22,Martha House Incorporated,1855 2 Ave N,Regina ,S4R 0Y1,SK,Canada,Regina,Martha House Inc,(306) 545-0509,1,$1800 to $2199,5,Can only admit and care for residents who can climb and descend steps independently; Cannot admit or care for residents who are at risk of wandering.  Must submit a current and satisfactory Fire Inspection from the City of Regina by November 15; 2016.  Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/3ef4c8c0-8313-4355-8b7b-6efb1bfef7c; http://personalcarehomes.saskatchewan.ca/Inspection/Details/969060e9-65dd-4ac8-8205-5c382892c4c,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-23,The Victorian Personal Care Home Ltd.,7103 Sherwood Dr,Regina ,S4X 2V5,SK,Canada,Regina,The Victorian Personal Care Home  Ltd.,(306) 737-3162,0,$2200 to $2799,10,Can only admit and care for residents on the upper and lower floors who can climb and descend stairs independently; Can admit and care for residents on the main floor who cannot climb and descend stairs independently; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/cbee2387-8124-490d-bb45-424e70b0a15,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-24,Hill View Manor,1401 1 St,Estevan ,S4A 2W7,SK,Canada,Estevan,Heather Haupstein,(306) 637-2600,7,$4000 and up,45,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/b0b55f03-45f0-48a5-aecf-8ab016b79ec,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-25,Emelda Enojo,227 Lewis Crescent,Saskatoon ,S7L 7H4,SK,Canada,Saskatoon,Emelda Enojo,(306) 651-0702,0,$1800 to $2199,4,Can only admit and care for residents who can climb and descend steps independently; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/f00799f5-acc1-45fb-8b61-6d09c1c812c; http://personalcarehomes.saskatchewan.ca/Inspection/Details/2a399dfb-2b90-422e-8017-b94e69554a4,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-26,Prairie Spring Care Homes Inc.,803 Kristjanson Rd,Saskatoon ,S7S 1M9,SK,Canada,Saskatoon,Prairie Spring Care Homes  Inc. ,(306) 221-1189,0,$2800 to $3499,15,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/c75de72a-5898-4e0c-9b1c-20dae37d2ef,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-27,Welchman Extendivilla,532/534 Halifax St,Regina ,S4R 1T6,SK,Canada,Regina,Rose Welchman,(306) 543-3259,5,$1200 to $1499,8,Initial Licensing Date: 1991 10 01; Approx Monthly Range: $1200 to $1499; Must have each new admission to the PCH assessed by the assessment agency within 30 days of admission to the PCH; Can only admit and care for residents with light care needs; Inform your consultant if you admit any new residents who have diabetes; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/62654d05-63ba-4908-bc78-bf2a36742e2; http://personalcarehomes.saskatchewan.ca/Inspection/Details/9c1fa1c7-14ec-4353-a955-b4055bf922f,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-28,Gloria Macatula,406 Avenue R N,Saskatoon ,S7L 2Y9,SK,Canada,Saskatoon,Gloria Macatula,(306) 979-5346,0,$1200 to $1499,5,Can only admit and care for residents who can climb and descend steps independently; Cannot admit or care for residents at risk of wandering; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/8eeeaf2d-ebb5-48f3-bc83-5002a793b4e,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-29,Weldon Cooperative Care Home Ltd.,Parcel B,Village of Weldon ,S0J 3A0,SK,Canada,Weldon,Weldon Co-operative Care Home Ltd,(306) 887-2888,0,$1500 to $1799,18,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/b84a9d64-2abd-4e50-a38d-52e6ed6cd27; http://personalcarehomes.saskatchewan.ca/Inspection/Details/b2308fd8-909d-4768-9346-803b2029991,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-30,Prairie Spring Care Homes Inc.,805 Kristjanson Rd,Saskatoon ,S7S 1M9,SK,Canada,Saskatoon,Prairie Spring Care Homes  Inc. ,(306) 221-1189,0,$2800 to $3499,15,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/94539219-3a59-4175-b544-ae8343b32bf,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-31,LutherCare Village Operations Inc.,250 Hunter Road,Saskatoon ,S7T 0Y4,SK,Canada,Saskatoon,(306) 664-0501,,0,$3500 to $3999,40,Initial Licence Date 2017 01 27; Approx Monthly Range: $3500 to $3999; A Health Care Professional (as defined in the personal care home regulations) must complete a holistic assessment of each residentÕs strengths and limitations upon admission; when care needs change and at least every two years,http://personalcarehomes.saskatchewan.ca/Inspection/Details/2efe15a4-4196-4e03-b997-50fadbf4392,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-32,A1 Care Homes Inc.,1018 Muzyka Rd,Saskatoon ,S7W 0G4,SK,Canada,Saskatoon,A1 Care Homes Inc.,(306) 974-0180,0,$2200 to $2799,15,Must ensure a nurse (R.N. R.P.N. or L.P.N.) is working a minimum of four hours in each home (i.e. minimum of 24 hours per week collectively) each week; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/8fc4ee34-116d-41a7-b450-613b95f2641; http://personalcarehomes.saskatchewan.ca/Inspection/Details/9b9850bc-97ac-43d7-bcaf-3194a3b9397; http://personalcarehomes.saskatchewan.ca/Inspection/Details/7dc19f9b-16fa-4470-873f-53327cdf05c,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-33,Princess Care Home,3231 Whitmore Ave,Regina ,S4S 1C1,SK,Canada,Regina,Crystal Spooner,(306) 359-0030,0,$3500 to $3999,10,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/ce1c8b25-79cb-4c32-83e3-24fd4866662,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-34,Elim Lodge Inc.,1-333 Slimmon Pl,Saskatoon ,S7V 0A7,SK,Canada,Saskatoon,(306) 373-6333,,0,$2800 to $3499,27,Initial Licence Date: 2017 06 29; Approx Monthly Starting Range: $2800 to $3499,http://personalcarehomes.saskatchewan.ca/Inspection/Details/c67ab8bc-196d-4d03-ac0f-3e7b4a3058b,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-35,Hill Top Manor,356 6 Ave SE,Weyburn ,S4H 3M5,SK,Canada,Weyburn,Heather Haupstein,(306) 848-1500,5,$2200 to $2799,40,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/bc2fb23e-a1a3-4585-8f50-aca3fc07e48,Assisted Living
