row_id,Facility Name,Address1,Address2,City,Postal Code,Province,Country,Contact Phone,Website,Link to Details,facility_type
Canada-SK-25-SK-NursingHome-output-1,Central Haven Special Care Home,1020 Avenue I North,,Saskatoon,S7L 2H7,SK,Canada,306-665-6180,http://www.sherbrookecommunitycentre.ca/about-sherbrooke/central-haven/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/CentralHaven.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-2,Bethany Pioneer Village,Box 8,,Middle Lake,S0K 2X0,SK,Canada,306-367-2033,http://bethanypioneervillage.com/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/BethanyPioneerVillage.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-3,Extendicare Special Care Home,2225 Preston Avenue,,Saskatoon,S7J 2E7,SK,Canada,306-374-2242,http://www.extendicarecanada.com/saskatoon/index.aspx,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/Extendicare.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-4,Cudworth Nursing Home/Health Centre,Box 190,,Cudworth,S0K 1B0,SK,Canada,306-256-3423,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/Cudworth.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-5,Oliver Lodge,1405 Faulkner Crescent,,Saskatoon,S7L 3R5,SK,Canada,306-382-4111,http://www.oliverlodge.ca/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/OliverLodge.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-6,Golden Acres,300 10th St. East,,Wynyard,S0A 4V0,SK,Canada,306-554-2586,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/GoldenAcres.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-7,Porteous Lodge,833 Avenue P North,,Saskatoon,S7L 2W5,SK,Canada,306-382-2626,http://www.jubileeresidences.ca/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/PorteousLodge.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-8,Lakeview Pioneer Lodge,Box 189,,Wakaw,S0K 4P0,SK,Canada,306-233-4621,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/LakeviewPioneerLodge.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-9,Saskatoon Convalescent Home,101 - 31st Street West,,Saskatoon,S7L 0P6,SK,Canada,306-244-7155,http://www.saskatoonconvalescenthome.com/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/SaskatoonConvalescent.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-10,Last Mountain Pioneer Home,Box 459,,Strasbourg,S0G 4V0,SK,Canada,306-725-3342,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/LastMountain.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-11,St. Ann's Home,2910 Louise Street,,Saskatoon,S7J 3L8,SK,Canada,306-374-8900,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/StAnnsHome.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-12,Mennonite Nursing Home,Box 370,Hwy 11,Rosthern,S0K 3R0,SK,Canada,306-232-4861,http://www.yfbc.ca/nursinghome/mnh_mennonitenursinghome.html,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/Mennonite.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-13,Stensrud Lodge,2202 McEown Avenue,,Saskatoon,S7J 3L6,SK,Canada,306-373-5580,http://jubileeresidences.ca/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/StensrudLodge.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-14,Pleasant View Care Home,Box 10,,Wadena,S0A 4J0,SK,Canada,306-338-2412,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/PleasantView.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-15,St. Mary's Villa,Box 1360,,Humboldt,S0K 2A0,SK,Canada,306-682-2628,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/StMarysVilla.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-16,Circle Drive Special Care Home,3055 Preston Ave,,Saskatoon,S7T 1C3,SK,Canada,306-955-4800,http://circledrivespecialcarehome.ca/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/CircleDrive.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-17,Central Parkland Lodge,Box 459,,Lanigan,S0K 2M0,SK,Canada,306-365-1420,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/CentralParkland.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-18,Luther Special Care Home,1212 Osler Street,,Saskatoon,S7N 0T9,SK,Canada,306-664-0300,http://luthercare.com/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/LutherCare.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-19,Dalmeny Spruce Manor Special Care Home,Box 190,701 1st St.,Dalmeny,S0K 1E0,SK,Canada,306-254-2101,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/SpruceManor.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-20,Parkridge Centre,110 Gropper Crescent,,Saskatoon,S7M 5N9,SK,Canada,306-655-3800,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/ParkridgeCentre.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-21,Goodwill Manor,Box 370,,Duck Lake,S0K 1J0,SK,Canada,306-467-4440,,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/GoodwillManor.pdf,Nursing Home
Canada-SK-25-SK-NursingHome-output-22,Samaritan Place,375 Cornish Road,,Saskatoon,S7T 0P3,SK,Canada,306-986-1460,http://www.samaritanplace.ca/,https://www.saskatoonhealthregion.ca/locations_services/locations/Documents/LTC/SamaritanPlace.pdf,Nursing Home
