row_id,Type,Name,Address 1,Address 2,City,Province,Postal Code,Phone,Web,Description,country
Canada-SK-37-SunCountry-SunCountry-1,Long Term Care,Western Senior Citizens Home,Box 69,400 1st Street West,Leader,SK,S0N 1H0,306-628-3565,https://cypresshealth.ca/health-facilities/leader/western-senior-citizens-home/,"Beds: 34 long term care, 2 multipurpose",Canada
Canada-SK-37-SunCountry-SunCountry-2,Long Term Care,Gull Lake Special Care Centre,Box 539,751 Grey Street,Gull Lake,SK,S0N 1A0,406-672-4701,https://cypresshealth.ca/health-facilities/gull-lake/,"Beds: 33 long term care, 2 multipurpose",Canada
Canada-SK-37-SunCountry-SunCountry-3,Long Term Care,The Meadows,2215 Woodrow Llyod Place,,Swif Current,SK,S9H 5R2,306-770-2100,https://cypresshealth.ca/health-facilities/swift-current/the-meadows/,Beds: 225 beds via 21 10 bed houses and 1 -15 bed hospice house.,Canada
Canada-SK-37-SunCountry-SunCountry-4,Nursing Home,Ross Payant Nursing Home ,300 Jubilee Place,,Assiniboia,SK,S0H 0B0,306-642-3330,http://www.fhhr.ca/AssiniboiaHome.htm,"38 long term care beds
Long Term Care 38 beds",Canada
Canada-SK-37-SunCountry-SunCountry-5,Nursing Home,Pioneers Lodge,1000 Albert St,,Moose Jaw,SK,S6H 2Y2,306-693-4616,http://www.fhhr.ca/PioneerLodge.htm,"Pioneer Lodge provides 24/7 nursing care for 60 long term care beds and 14 short-term stay beds for use as convalescent, palliative, respite and waiting placement. 
 
Pioneer Housing is a low-income seniors housing complex with 24 married housing units and 37 single housing units.  ",Canada
Canada-SK-37-SunCountry-SunCountry-6,Nursing Home,Providence Place,100 2nd Avenue NE,,Moose Jaw,SK,S6H 1B8,306-694-8081,http://www.fhhr.ca/ProvidencePlace.htm,Long Term Care 160 Beds,Canada
Canada-SK-37-SunCountry-SunCountry-7,Nursing Home,Newmarket Place,2001 Newmarket Drive,Box 2620,Tisdale,SK,S0E 1T0,306-873-6550,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/NewMarket%20Place%20Handbook.pdf,"72 Long Term Care beds
1 Respite beds
Day Care services
Dementia Wing,Canada
Nursing Home,Chateau Providence,200 - 1st Avenue N,Box 340,St. Brieux,SK,S0K 3V0,306-275-2400,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/Chateau%20Providence%20Handbook.pdf,29 Long Term Care beds"
Canada-SK-37-SunCountry-SunCountry-8,1 Respite bed
Canada-SK-37-SunCountry-SunCountry-9,Day Care services
Canada-SK-37-SunCountry-SunCountry-10,"Physician Clinic""",Canada
Canada-SK-37-SunCountry-SunCountry-11,Nursing Home,Red Deer Nursing Home,330 Oak Street,Box 70,Porcupine Plain,SK,S0E 1H0,306-278-6278,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/Red%20Deer%20Nurse%20Home%20Resident%20Handbook.pdf,"38 Long Term Care beds
Day Care services
Linked to Hospital",Canada
Canada-SK-37-SunCountry-SunCountry-12,Nursing Home,Pineview Lodge,400 - 6th Avenue E,Box 2105,Nipawin,SK,S0E 1E0,306-862-9828,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/Pineview%20Lodge%20-%20Welcome%20Guide%20.pdf,"95 long term care beds (includes 10 bed Demential Care Unit)
1 respite bed
Day Care services",Canada
Canada-SK-37-SunCountry-SunCountry-13,Nursing Home,Parkland Place,402 Bemister Avenue E,Box 2260,Melfort,SK,S0E 1A0,306-752-1777,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/Parkland%20Place%20Handbook.pdf,"103 Long Term Care beds
2 Respite beds",Canada
Canada-SK-37-SunCountry-SunCountry-14,Nursing Home,Kelvindell Lodge,701 - 6th Avenue West,Box 280,Kelvington,SK,S0A 1W0,306-327-5530,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/Kelvindell%20Lodge%20-%20admission%20book%202016.pdf,"45 Long Term Care beds
1 Respite
Day Care services
Dementia Care Unit",Canada
Canada-SK-37-SunCountry-SunCountry-15,Nursing Home,Carrot River Health Centre,4101 - 1st Avenue West,Box 250,Carrot River,SK,S0E 0L0,306-768-3100,http://www.kelseytrailhealth.ca/Programs/LTC/Documents/Carrot%20River%20Health%20Centre%20Handbook%20-%20Part%202.pdf,"35 Long Term Care beds
1 Respite bed",Canada
Canada-SK-37-SunCountry-SunCountry-16,Nursing Home,Arborfield & district health care centre,5th Avenue,Box 160,Arborfield,SK, S0E 0A0,306-769-4200,,"35 Long Term Care beds
1 respite bed",Canada
Canada-SK-37-SunCountry-SunCountry-17,Nursing Home,Wayburn Special Care Home,Box 2003,704-5th Street NE,Weyburn,SK,S4H 2Z9,306-842-4455,http://www.suncountry.sk.ca/map/work/menu_id/94/id/23,Offers 90 long term care beds. ,Canada
Canada-SK-37-SunCountry-SunCountry-18,Nursing Home,Fillmore Health Centre,Box 246,100 Main St,Fillmore,SK,S0G 1N0,306-722-3315,http://www.suncountry.sk.ca/map/work/menu_id/94/id/11,Offers 19 long term care veds and 6 respite/multipurpose beds,Canada
Canada-SK-37-SunCountry-SunCountry-19,Nursing Home,New Hope Pioneer Lodge,Box 38,123 Governemnt Rd N,Stoughton,SK,S0G 4T0,306-457-2552,http://www.suncountry.sk.ca/map/work/menu_id/94/id/21,Offers 30 long term care beds,Canada
Canada-SK-37-SunCountry-SunCountry-20,Nursing Home,Mainprize Manor,Box 239,206 South Street,Midale,SK,S0C1S0,306-458-2300,http://www.suncountry.sk.ca/map/work/menu_id/94/id/16,Offers 15 Long term care beds and one respite bed,Canada
Canada-SK-37-SunCountry-SunCountry-21,Nursing Home,Kipling Integrated Health Centre,Box 420,906 Industrial Drive,Kipling,SK,S0G 2S0,306-736-2552,http://www.suncountry.sk.ca/map/work/menu_id/94/id/13,"Offers 32 long term care beds, one respite/multipurpose bed, and 12 acute care beds",Canada
Canada-SK-37-SunCountry-SunCountry-22,Nursing Home,Wawota Memorial Health Centre,Box 60,Choo Foo Cresent,Wawota,SK,S0G 5A0,306-739-5200,http://www.suncountry.sk.ca/map/work/menu_id/94/id/22,Offers 29 long term care beds and 3 respite/multipurpose beds.,Canada
Canada-SK-37-SunCountry-SunCountry-23,Nursing Home,Redvers Health Centre,Box 30,18 Eichhorst Street,Redvers,SK,S0C 2H0,306-452-3553,http://www.suncountry.sk.ca/map/work/menu_id/94/id/20,"Offers 23 long term care beds, one respite/multipurpose beds and 7 acute care beds",Canada
Canada-SK-37-SunCountry-SunCountry-24,Nursing Home,Arcola Health Centre,Box 419,607 Prairie Ave,Arcola,SK,S0C 0G0,306-455-2771,http://www.suncountry.sk.ca/map/work/menu_id/94/id/5,Offers 12 acute care beds,Canada
Canada-SK-37-SunCountry-SunCountry-25,Nursing Home,Lampman Community Health CentreBox 100,Box 100,309-2nd Avenue,Lampman,SK,S0C 1N0,306-487-2561,http://www.suncountry.sk.ca/map/work/menu_id/94/id/14,Offers 19 long term care beds and 3 respite/multipurpose beds,Canada
Canada-SK-37-SunCountry-SunCountry-26,Nursing Home,Sunset Haven,Box 250,416 Spencer St,Carnduff,SK,S0C 0S0,306-482-3424,http://www.suncountry.sk.ca/map/work/menu_id/94/id/8,"Offers 38 long term care beds, one respite/multipurpose bed.",Canada
Canada-SK-37-SunCountry-SunCountry-27,Nursing Home,Gainsborough & Area Health Centre,Box 420,312 Stephens Street,Gainborough,SK,S0C 0Z0,306-685-2288,http://www.suncountry.sk.ca/map/work/menu_id/94/id/12,Offers 16 long term care beds and 3 respite/multipurpose beds.,Canada
Canada-SK-37-SunCountry-SunCountry-28,Nursing Home,"Lampman Community Health Centre
",Box 100,309-2nd Avenue,Lampman,SK,S0C 1N0,306-487-2561,http://www.suncountry.sk.ca/map/work/menu_id/94/id/14,Offers 19 long term care beds and 3 respite/multipurpose beds. ,Canada
