name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Big River Health Centre,,,,,,,,,,,,,,,,,,306-469-2220,,,,http://paphr.ca/locations/care-homes/big-river-health-centre,,,,,,,,,,,,,Nursing Home,,,,220 1st Avenue North,,,Big River,,,SK,,S0J 0E0,Canada,53.8341412,-107.0342577,
Birchview Home,,,,,,,,,,,,,,,,,,306-749-2288,,,,http://paphr.ca/locations/care-homes/birchview-home,,,,,,,,,,,,,Nursing Home,,,,7 Wilson Street,,,Brich Hills,,,SK,,S0J 0G0,Canada,52.9846364,-105.4383844,
Evergreen Health Centre,,,,,,,,,,,,,,,,,,306-984-2136,,,,http://paphr.ca/locations/care-homes/evergreen-health-centre,,,,,,,,,,,,,Nursing Home,,,,1st Avenue,,,Leoville,,,SK,, S0J 1N0,Canada,53.6300873,-107.5502753,
Hafford Special Care Centre,,,,,,,,,,,,,,,,,,306-549-2108,,,,http://paphr.ca/locations/care-homes/hafford-special-care-centre,,,,,,,,,,,,,Nursing Home,,,,213 South Avenue East,,,Hafford,,,SK,,S0J 1A0,Canada,52.72525719999999,-107.3566946,
Herb Bassett Home,,,,,,,,,,,,,,,,,,306-765-6145,,,,http://paphr.ca/locations/care-homes/herb-bassett-home,,,,,,,,,,,,,Nursing Home,,,,1220 25th Street West (OK Hjertass Drive),,,Prince Albert,,,SK,,S6V 4B2,Canada,ERROR,ERROR,ERROR
Jubilee Lodge,,,,,,,,,,,,,,,,,,306-864-2851,,,,http://paphr.ca/locations/care-homes/jubilee-lodge,,,,,,,,,,,,,Nursing Home,,,,401 Meyers Avenue,,,Kinistino,,,SK,,S0J 1H0,Canada,52.951795,-105.0251113,
Parkland Integrated Health Centre,,,,,,,,,,,,,,,,,,306-747-6840,,,,http://paphr.ca/locations/care-homes/parkland-integrated-health-centre,,,,,,,,,,,,,Nursing Home,,,,2nd Avenue West,,,Shellbrook,,,SK,,S0J 2E0,Canada,53.22038569999999,-106.396265,
Pineview Terrace,,,,,,,,,,,,,,,,,,306-765-6570,,,,http://paphr.ca/locations/care-homes/pineview-terrace,,,,,,,,,,,,,Nursing Home,,,,1200a 24th Street West,,,Prince Albert,,,SK,,S6V 3H2,Canada,53.1919847,-105.7843068,
Spiritwood and District Health Complex,,,,,,,,,,,,,,,,,,306-883-2133,,,,http://paphr.ca/locations/care-homes/spiritwood-and-district-health-complex,,,,,,,,,,,,,Nursing Home,,,,400 1st Street East,,,Spiritwood,,,SK,,S0J 2M0,Canada,53.3619955,-107.520153,
Wheatland Lodge,,,,,,,,,,,,,,,,,,306-466-4949,,,,http://paphr.ca/locations/care-homes/wheatland-lodge,,,,,,,,,,,,,Nursing Home,,,,971 2nd Street North,,,Leask,,,SK,,S0J 1M0,Canada,53.0188169,-106.7369351,
Whispering Pine Place,,,,,,,,,,,,,,,,,,306-468-2900,,,,http://paphr.ca/locations/care-homes/whispering-pine-place,,,,,,,,,,,,,Nursing Home,,,,300 1st Avenue,,,Canwood,,,SK,,S0J 0K0,Canada,53.3613878,-106.6059694,
Mont St. Joseph Home,,,,,,,,,,,,,,,,,,306-953-4500,,,,http://montstjoseph.org/,,,,,,,,,,,,,Nursing Home,,,,777 28 St E,,,Prince Albert,,,SK,,S6V 8C2,Canada,53.1875669,-105.7327651,
