row_id,Facility Name,Address1,Address2,City,Postal Code,Province,Contact Phone,Link to Details,Country,facility_type
Canada-SK-38-SK-NursingHome-output-1,Big River Health Centre,220 1st Avenue North,,Big River,S0J 0E0,SK,306-469-2220,http://paphr.ca/locations/care-homes/big-river-health-centre,Canada,Nursing Home
Canada-SK-38-SK-NursingHome-output-2,Birchview Home,7 Wilson Street,,Brich Hills,S0J 0G0,SK,306-749-2288,http://paphr.ca/locations/care-homes/birchview-home,Canada,Nursing Home
Canada-SK-38-SK-NursingHome-output-3,Evergreen Health Centre,1st Avenue,,Leoville, S0J 1N0,SK,306-984-2136,http://paphr.ca/locations/care-homes/evergreen-health-centre,Canada,Nursing Home
Canada-SK-38-SK-NursingHome-output-4,Hafford Special Care Centre,213 South Avenue East,,Hafford,S0J 1A0,SK,306-549-2108,http://paphr.ca/locations/care-homes/hafford-special-care-centre,Canada,Nursing Home
Canada-SK-38-SK-NursingHome-output-5,Herb Bassett Home,1220 25th Street West (OK Hjertass Drive),,Prince Albert,S6V 4B2,SK,306-765-6145,http://paphr.ca/locations/care-homes/herb-bassett-home,Canada,Nursing Home
Canada-SK-38-SK-NursingHome-output-6,Jubilee Lodge,401 Meyers Avenue,,Kinistino,S0J 1H0,SK,306-864-2851,http://paphr.ca/locations/care-homes/jubilee-lodge,Canada,Nursing Home
Canada-SK-38-SK-NursingHome-output-7,Parkland Integrated Health Centre,2nd Avenue West,,Shellbrook,S0J 2E0,SK,306-747-6840,http://paphr.ca/locations/care-homes/parkland-integrated-health-centre,Canada,Nursing Home
Canada-SK-38-SK-NursingHome-output-8,Pineview Terrace,1200a 24th Street West,,Prince Albert,S6V 3H2,SK,306-765-6570,http://paphr.ca/locations/care-homes/pineview-terrace,Canada,Nursing Home
Canada-SK-38-SK-NursingHome-output-9,Spiritwood and District Health Complex,400 1st Street East,,Spiritwood,S0J 2M0,SK,306-883-2133,http://paphr.ca/locations/care-homes/spiritwood-and-district-health-complex,Canada,Nursing Home
Canada-SK-38-SK-NursingHome-output-10,Wheatland Lodge,971 2nd Street North,,Leask,S0J 1M0,SK,306-466-4949,http://paphr.ca/locations/care-homes/wheatland-lodge,Canada,Nursing Home
Canada-SK-38-SK-NursingHome-output-11,Whispering Pine Place,300 1st Avenue,,Canwood,S0J 0K0,SK,306-468-2900,http://paphr.ca/locations/care-homes/whispering-pine-place,Canada,Nursing Home
Canada-SK-38-SK-NursingHome-output-12,Mont St. Joseph Home,777 28 St E,,Prince Albert,S6V 8C2,SK,306-953-4500,http://montstjoseph.org/,Canada,Nursing Home
