row_id,﻿name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,contact,phone,cell,fax,email,street_address,po_box,city,province,postal_code,country,facility_type
Canada-SK-39-NursingHomes-39-NursingHomes-1,St. Joseph's Integrated Care Centre,,,,,,,,,,http://www.rqhealth.ca/facilities/st-josephs-integrated-care-centre,,306-274-2300,,306-274-2301,,508 Westmoor Street,Box 280,Lestock,SK,S0A 2G0,Canada,Nursing Home
Canada-SK-39-NursingHomes-39-NursingHomes-2,Southeast Integrated Care Centre ‰ÛÒ Moosomin,,,,,,,,,,http://www.rqhealth.ca/facilities/southeast-integrated-care-centre-moosomin,,306-435-3303,,306-435-3211,,601 Wright Rd,,Moosomin,SK,S0G 3N0,Canada,Nursing Home
Canada-SK-39-NursingHomes-39-NursingHomes-3,Balcarres Integrated Care Centre,,,,,,,,,,http://www.rqhealth.ca/facilities/balcarres-integrated-care-centre,,306-334-6260,,306-334-2865,,100 South Elgin Street,Box 340,Balcarres,SK,S0G 0C0,Canada,Nursing Home
Canada-SK-39-NursingHomes-39-NursingHomes-4,Wascana Rehabilitation Centre Extended Care/Veterans Program,,,,,,,,,,http://www.rqhealth.ca/facilities/wascana-rehabilitation-centre-extended-care-veterans-program,,306-766-5100,,,,2180‰ÛÓ23rd Avenue,,,,S4S 0A5,Canada,Nursing Home
Canada-SK-39-NursingHomes-39-NursingHomes-5,William Booth Special Care Home,,,,,,,,,,http://www.rqhealth.ca/facilities/william-booth-special-care-home,,306-543-0655,,306-543-1292,,50 Angus Road,,Regina,SK,S4R 8P6,Canada,Nursing Home
Canada-SK-39-NursingHomes-39-NursingHomes-6,Silver Heights Special Care Home,,,,,,,,,,http://www.rqhealth.ca/facilities/silver-heights-special-care-home,,306-746-4800,,306-746-5747,,402 McLean Street,Box 549,Raymore,SK,S0A 3J0,Canada,Nursing Home
Canada-SK-39-NursingHomes-39-NursingHomes-7,Whitewood Community Health Centre,,,,,,,,,,http://www.rqhealth.ca/facilities/whitewood-community-health-centre,,306-735-2010,,306-735-2512,,921 Gambetta St.,Box 699,Whitewood,SK,S0G 5C0,Canada,Nursing Home
Canada-SK-39-NursingHomes-39-NursingHomes-8,Wolseley Memorial Integrated Care Centre,,,,,,,,,,http://www.rqhealth.ca/facilities/wolseley-memorial-integrated-care-centre,,306-698-4440,,306-698-4434,,801 Ouimet Street,,Wolseley,SK,S0G 5H0,Canada,Nursing Home
Canada-SK-39-NursingHomes-39-NursingHomes-9,Santa Maria Senior Citizens Home,,,,,,,,,,http://www.rqhealth.ca/facilities/santa-maria-senior-citizens-home,,639-625-7100,,639-625-7115,,4215 Regina Avenue,,Regina,SK,S4T 6L8,Canada,Nursing Home
Canada-SK-39-NursingHomes-39-NursingHomes-10,Regina Pioneer Village,,,,,,,,,,http://www.rqhealth.ca/facilities/regina-pioneer-village,,306-757-5646,,,,430 Pioneer Drive,,Regina,SK,S4T 6L8,Canada,Nursing Home
