row_id,﻿Type,Name,Address 1,Address 2,City,Province,Postal Code,Phone,Web,Description,country
Canada-SK-42-PNRHA.ca-pnrha-1,Nursing Home,Riverside Health Complex,Box 100,1st South St,Turtleford,SK,S0M 2Y0,306-845-2195,http://www.pnrha.ca/bins/content_page.asp?cid=19-126&lang=1,"åá          20 long-term care beds  
åá          2 respite beds  
åá          7 acute care beds  ",Canada
Canada-SK-42-PNRHA.ca-pnrha-2,Nursing Home,Cut Knife Health Complex,Box 220,102 Dion Avenue,Cut Knife,SK,S0M 0N0,306-398-4718,http://www.pnrha.ca/bins/content_page.asp?cid=19-115&lang=1,"     28 long-term care beds  
åá          2 respite beds  
åá          1 palliative care bed  
åá          2 observation beds  ",Canada
Canada-SK-42-PNRHA.ca-pnrha-3,Nursing Home,Lady Minto Health Care Center,1513,1st Avenue South,Edam,SK,S0M 0V0,306-397-5560,http://www.pnrha.ca/bins/content_page.asp?cid=19-116&lang=1,"åá          14 long-term care beds  
åá          3 respite beds  
åá          2 convalescent beds  
åá          1 palliative bed  
 ",Canada
Canada-SK-42-PNRHA.ca-pnrha-4,Nursing Home,L Gervais Memorial Health Centre,100,1st Avenue North,Goodsoil,SK,S0M 1A0,306-238-2100,http://www.pnrha.ca/bins/content_page.asp?cid=19-117&lang=1,"åá          12 long-term care beds   
åá          1 short term bed
åá          1 respite bed  
åá          1 palliative bed      
 ",Canada
Canada-SK-42-PNRHA.ca-pnrha-5,Nursing Home,Dr. Cooke Extended Care Centre,3915,56 Avenue,Lloydminster,AB,T9V 1N9,780-871-7900,http://www.pnrha.ca/bins/content_page.asp?cid=19-118&lang=1,,Canada
Canada-SK-42-PNRHA.ca-pnrha-6,Nursing Home,Jubilee Home,3902,45 Avenue,Lloydminster,AB,S9V 1Z2,306-820-5950,http://www.pnrha.ca/bins/content_page.asp?cid=19-118&lang=1,,Canada
Canada-SK-42-PNRHA.ca-pnrha-7,Nursing Home,Lloydminster Hospital,3820,43 Avenue,Lloydminster,AB,S9V 1Y5,306-820-6000,http://www.pnrha.ca/bins/content_page.asp?cid=19-118&lang=1,,Canada
Canada-SK-42-PNRHA.ca-pnrha-8,Nursing Home,Lloydminster Continuing Care Centre,7402,29 Street,Lloydminster,AB,T9V 3N1,780-874-3900,http://www.pnrha.ca/bins/content_page.asp?cid=19-118&lang=1,,Canada
Canada-SK-42-PNRHA.ca-pnrha-9,Nursing Home,Loon Lake Health Centre & Special Care Home,510,2nd St,Loon Lake,SK,S0M 1L0,306-837-2114,http://www.pnrha.ca/bins/content_page.asp?cid=19-119&lang=1,"   12 long-term care beds  
åá          4 short-term beds
åá          1 respite bed
åá          1 palliative bed",Canada
Canada-SK-42-PNRHA.ca-pnrha-10,Nursing Home,Maidstone Health Complex,214,5th Avnue Est,Maidstone,SK,S0M 1M0,306-893-2622,http://www.pnrha.ca/bins/content_page.asp?cid=19-120&lang=1,"åá          24 long-term care beds (Pine Island Lodge)  
åá          2 respite beds  
åá          11 acute care beds  ",Canada
Canada-SK-42-PNRHA.ca-pnrha-11,Nursing Home,St Walburg Health Complex,410,3rd Avenue West,St Walburg,SK ,S0M 2T0,30M 2T0,http://www.pnrha.ca/bins/content_page.asp?cid=19-125&lang=1,"åá          28 long-term care beds  
åá          1 respite bed  
åá          1 palliative care bed  
åá          1 convalescent bed ",Canada
