row_id,name,typeofcare,description,primary_phone,primary_phone_extension,secondary_phone,secondary_phone_extension,fax,email,website,low_rate,address_line_1,address_line_2,neighborhood,latitude,longitude,city,province,postal_code,country
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-1,Chelsea Place 1 & 2,55+ Community,,(204) 452 0110,116,,,,,www.qualitymanagement.net,,130 Beliveau St,,Worthington,49.836647,-97.1068937,Winnipeg,MB,R2M 1S7,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-2,Arden Hollows,55+ Community,,(204) 509 7806,,,,,,www.timbercreekfunds.com,,15 Arden Ave,,Pulberry,49.8350148,-97.1155217,Winnipeg,MB,R2M 2J8,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-3,Arden Estates,55+ Community,,(204) 960 1344,,,,,,,,24 Arden Ave,,Pulberry,49.8340451,-97.1158031,Winnipeg,MB,R2M 2J9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-4,Appleton Estates II,55+ Community,,(204) 940 3483,,,,,135niakwa@edisonproperties.ca,www.edisonproperties.ca,,135 Niakwa Rd,,Alpine Place,49.8564265,-97.0973712,Winnipeg,MB,R2M 5K2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-5,St. VITAL Knights VILLA Phase 1,55+ Community,,(204) 982 2000,,,,,,,,537 St Anne's Rd,,Lavalee,49.8400032,-97.0919835,Winnipeg,MB,R2M 3E8,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-6,Willow Centre,55+ Community,,(204) 632 5940,,,,,,,,61 Tyndall Ave,,Burrows - Keewatin,49.9353357,-97.1884169,Winnipeg,MB,R2X 2T4,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-7,St Mary The Protectress Ukranian Orthodox Millenium VILLA INC.,55+ Community,,(204) 586 5816,,,,,,,,800 Burrows Ave,,Burrows Central,49.9223039,-97.1560876,Winnipeg,MB,R2X 3A9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-8,Chalet Louis Riel,55+ Community,,,,,,,,,,67 Richfield Ave,,Meadowood,49.8373822,-97.0900199,Winnipeg,MB,R2M 2R9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-9,Templeton Properties,55+ Community,,(204) 334 0420,,,,,,,,250 300 Templeton Ave,,Margaret Park,49.94683,-97.1133597,Winnipeg,MB,R2V 1S2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-10,St Benedict's Place,55+ Community,,,,,,,,www.stbens.ca,,225 Masters Ave,,,49.9945253,-97.0481238,Winnipeg,MB,R4A 2A1,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-11,Shelard Manor,55+ Community,,(204) 633 0716,,,,,shelard@globegeneral.ca,,,200 Adsum Dr,,The Maples,49.9545755,-97.1637806,Winnipeg,MB,R2P 0W7,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-12,Appleton Estates 1,55+ Community,,(204) 940 3482,,,,,133niawka@edisonproperties.ca,www.edisonproperties.ca,,133 Niakwa Rd,,Alpine Place,49.8560689,-97.0984528,Winnipeg,MB,R2M 5J5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-13,Rosh Pina Housing Co,55+ Community,,(204) 338 4671,,,,,,,,133 Matheson Ave,,Seven Oaks,49.9283829,-97.118396,Winnipeg,MB,R2W 5M7,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-14,Riverbend Terrace,55+ Community,,(204) 942 2122,,,,,,www.broadstreet.ca,,2471 Main St,,Rivergrove,49.9561955,-97.0954353,Winnipeg,MB,R2V 2X6,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-15,River Ridge Retirement Residence (assisted Living),55+ Community,,(204) 589 2273,,,,,,,,50 Ridgecrest Ave,,Rivergrove,49.9526947,-97.0931683,Winnipeg,MB,R2P 2X5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-16,The VILLAGIO,55+ Community,,(204) 956 5284,,,,,,,,1175 Leila Ave,,Leila North,49.9570138,-97.1558574,Winnipeg,MB,R2P 2Y1,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-17,Wellington Arms,55+ Community,,,,,,,,www.rentcanada.com,,277 Wellington Cr,,Roslyn,49.8732375,-97.1538672,Winnipeg,MB,R3M 3V7,Canada
