Field Name,Type,Notes,,Type Categories
#_RES,To Be Investigated,,,Accessibility
#AZ,To Be Investigated,,,Address
#FL_,To Be Investigated,,,Administration Info
#REG,To Be Investigated,,,Admittance Information
<>,To Be Investigated,,,Building Information
ACCESSIBILITY,Accessibility,,,Capacity
ACCOMMODATION_TYPE,Facility Type,,,Certification/Licensing Information
ADDITIONAL_BUILDING_INFORMATION,Building Information,,,"Complaints, Deficiencies, and Fines"
ADDITIONAL_CRITERIA,Admittance Information,,,Contact Information
ADDITIONAL_SERVICES,Services,,,Cost/Rent
ADDITIONAL_SUITE_FEATURES,Building Information,,,Facilities
ADDITIONAL_SUITE_INFORMATION,Building Information,,,Facility Type
ADDRESS,Address,,,Insurance/Welfare
ADDRESS_1,Address,,,Lat/Long
ADDRESS_2,Address,,,Organizational Information
ADDRESS_DIRECTIONS,Address,,,Scoring & Evaluations
ADDRESS_LINE_1,Address,,,Services
ADDRESS_LINE_2,Address,,,Services
ADDRESS_LINE1,Address,,,Specializations
ADDRESS_LINE2,Address,,,Staffing Information
ADDRESS1,Address,,,Statistics
ADDRESS2,Address,,,Source
ADJUSTED_CNA_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Staffing Information,,,To Be Investigated
ADJUSTED_LPN_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Staffing Information,,,
ADJUSTED_RN_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Staffing Information,,,
ADJUSTED_SCORE,Scoring & Evaluations,,,
ADJUSTED_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Staffing Information,,,
ADM_FIRST,Administration Info,,,
ADM_FIRST_NAME,Administration Info,,,
ADM_LAST,Administration Info,,,
ADM_LAST_NAME,Administration Info,,,
ADMIN/CEO,Administration Info,,,
ADMIN_PHONE,Administration Info,,,
ADMINISTRATOR,Administration Info,,,
ADMINISTRATOR_NAME,Administration Info,,,
ADULT_DAY_CARE_FACILITY,To Be Investigated,,,
ADVANCED_AGED,Specializations,,,
AGENCY,Administration Info,,,
AHCA_NUMBER_(FILE_NUMBER),Administration Info,,,
ALCOHOL/DRUG_DEPENDENT,Specializations,,,
ALL_VISIT_DATES,Scoring & Evaluations,,,
ALZHEIMER_FACILITY,Specializations,,,
APPLICATION_PROCEDURE,Admittance Information,,,
APPLY_HOURS,Admittance Information,,,
APPLY_LOCATION,Admittance Information,,,
APPROX_START_RATE_PER_MONTH,Cost/Rent,,,
AREA,Address,,,
ASL_FACILITY_ID,To Be Investigated,,,
ASSISTED_LIVING_PROGRAM_BEDS,Capacity,,,
ASSISTED_LIVING_RESIDENCE_(ALR)_BEDS,Capacity,,,
ASSOCIATION_DATE,To Be Investigated,,,
ATTRIBUTES,To Be Investigated,,,
AUTHORITIES,To Be Investigated,,,
AUTOMATIC_SPRINKLER_SYSTEMS_IN_ALL_REQUIRED_AREAS,Building Information,,,
AUTOMATIC_SPRINKLERS_IN_ALL_SUITES?,Building Information,,,
AVAILABLE_SPACE,Capacity,,,
BEDS,Capacity,,,
BEDS_(AC),Capacity,,,
BOARD,Organizational Information,,,
BOOLEANS_(SEE_README),To Be Investigated,,,
BRANCH_OF,Organizational Information,,,
BUILDING_FEATURES,Building Information,,,
BUS_STOP,Building Information,,,
CAPACITY,Capacity,,,
CARE_LEVEL,Certification/Licensing Information,,,
CELL,Contact Information,,,
CERITIFICATIONS,Certification/Licensing Information,,,
CERTIFICATE_NUMBER,Certification/Licensing Information,,,
CERTIFICATION,Certification/Licensing Information,,,
CERTIFICATION_DATE_OF_ISSUE,Certification/Licensing Information,,,
CERTIFICATION_FEE_DUE,Certification/Licensing Information,,,
CERTIFICATION_TYPES,Certification/Licensing Information,,,
CERTIFIED_BEDS,Capacity,,,
CHAIRMAN_OF_THE_BOARD,Organizational Information,,,
CHARACTER_VALUE,To Be Investigated,,,
CIRC._PROVINCIAL_ELECTION,To Be Investigated,,,
CITATION_NUMBERS,"Complaints, Deficiencies, and Fines",,,
CITY,Address,,,
CITYSTZIP,Address,,,
CLASS,To Be Investigated,,,
CLASS_1,To Be Investigated,,,
CLASS_1_BEDS/STATIONS,To Be Investigated,,,
CLASS_2,To Be Investigated,,,
CLASS_2_BEDS/STATIONS,To Be Investigated,,,
CLASS_3,To Be Investigated,,,
CLASS_3_BEDS/STATIONS,To Be Investigated,,,
CLASS_4,To Be Investigated,,,
CLASS_4_BEDS/STATIONS,To Be Investigated,,,
CLASS_5,To Be Investigated,,,
CLASS_5_BEDS/STATIONS,To Be Investigated,,,
CLASSIFICATION,To Be Investigated,,,
CLOSED_DATE,To Be Investigated,,,
COMMENTS,To Be Investigated,,,
COMMUNITY,To Be Investigated,,,
COMPANY_NAME_/_NAME_OF_OPERATORS,Organizational Information,,,
COMPLAINT_DEFICIENCY,"Complaints, Deficiencies, and Fines",,,
"COMPLAINT_INFO-_DATE
_#SUB_ALEG
_#_INC_ALEG
_#_UNS_ALEG
_#_TYPEA
_#_TYPEB_...","Complaints, Deficiencies, and Fines",,,
COMPLAINT_TYPE_A,"Complaints, Deficiencies, and Fines",,,
COMPLAINT_TYPE_B,"Complaints, Deficiencies, and Fines",,,
COMPLAINT_VISITS,"Complaints, Deficiencies, and Fines",,,
COMPLAINTS_AND_QUALITY_OF_SERVICE_COMMISSIONER,Organizational Information,,,
COMPLETE_RESIDENCE_INFORMATION,To Be Investigated,,,
CONTACT,Contact Information,,,
CONTACT_FIRST_NAME,Contact Information,,,
CONTACT_LAST_NAME,Contact Information,,,
CONTACT_OCCUPATION,Contact Information,,,
CONTACT_PHONE,Contact Information,,,
CONTINUING_CARE_RETIREMENT_COMMUNITY,To Be Investigated,,,
CORPORATE_NAME,Organizational Information,,,
CORRECTION_DATE,To Be Investigated,,,
CORRECTIONAL_CLIENTS,To Be Investigated,,,
COST,Cost/Rent,,,
COUNCIL_TYPE,Organizational Information,,,
COUNT_OF_ADMINISTRATION_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_AUTOMATIC_SPRINKLER_SYSTEMS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_BUILDING_SERVICE_EQUIPMENT_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_CONSTRUCTION_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_CORRIDOR_WALLS_AND_DOORS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_ELECTICAL_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_EMERGENCY_PLANS_AND_FIRE_DRILLS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_ENVIRONMANTAL_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_EXIT_AND_EXIT_ACCESS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_EXITS_AND_EGRESS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_FIRE_ALARM_SYSTEMS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_FURNISHINGS_AND_DECORATIONS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_HAZARDOUS_AREAS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_ILLUMINATION_AND_EMERGENCY_POWER_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_IMMEDIATE_JEOPARDY_DEFICIENCIES_ON_FIRE_SAFETY_SURVEY,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_IMMEDIATE_JEOPARDY_DEFICIENCIES_ON_HEALTH_SURVEY,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_INTERIOR_FINISH_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_LABORATORIES_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_MEDICAL_GASES_AND_ANESTHETIZING_AREAS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_MISCELLANEIOUS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_MISTREATMENT_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_NUTRITION_AND_DIETARY_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_PHARMACY_SERVICE_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_QUALITY_OF_CARE_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_RESIDENT_ASSESSMENT_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_RESIDENT_RIGHTS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_SEVERE_DEFICIENCIES_ON_FIRE_SAFETY_SURVEY,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_SEVERE_DEFICIENCIES_ON_HEALTH_SURVEY,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_SMOKE_COMPARTMENTATION_AND_CONTROL_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_SMOKING_REGULATIONS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_SUBSTANDARD_QOC_DEFICIENCIES_ON_HEALTH_SURVEY,"Complaints, Deficiencies, and Fines",,,
COUNT_OF_VERTICAL_OPENINGS_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
COUNTRY,Address,,,
COUNTY,Address,,,
COUNTY_FIPS,Address,,,
COUNTY_NAME,Address,,,
CURRENT_FACILITY_NAME,Contact Information,,,
CURRENTLY_OCCUPIED_AS_OF,To Be Investigated,,,
CURRENTLY_OCCUPIED_BEDS,Capacity,,,
CYCLE_1_HEALTH_DEFICIENCY_SCORE,"Complaints, Deficiencies, and Fines",,,
CYCLE_1_HEALTH_REVISIT_SCORE,Scoring & Evaluations,,,
CYCLE_1_NUMBER_OF_COMPLAINT_HEALTH_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
CYCLE_1_NUMBER_OF_HEALTH_REVISITS,"Complaints, Deficiencies, and Fines",,,
CYCLE_1_NUMBER_OF_STANDARD_HEALTH_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
CYCLE_1_STANDARD_SURVEY_HEALTH_DATE,Scoring & Evaluations,,,
CYCLE_1_TOTAL_HEALTH_SCORE,"Complaints, Deficiencies, and Fines",,,
CYCLE_1_TOTAL_NUMBER_OF_FIRE_SAFETY_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
CYCLE_1_TOTAL_NUMBER_OF_HEALTH_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
CYCLE_2_HEALTH_DEFICIENCY_SCORE,"Complaints, Deficiencies, and Fines",,,
CYCLE_2_HEALTH_REVISIT_SCORE,Scoring & Evaluations,,,
CYCLE_2_NUMBER_OF_COMPLAINT_HEALTH_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
CYCLE_2_NUMBER_OF_HEALTH_REVISITS,"Complaints, Deficiencies, and Fines",,,
CYCLE_2_NUMBER_OF_STANDARD_HEALTH_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
CYCLE_2_STANDARD_HEALTH_SURVEY_DATE,"Complaints, Deficiencies, and Fines",,,
CYCLE_2_TOTAL_HEALTH_SCORE,Scoring & Evaluations,,,
CYCLE_2_TOTAL_NUMBER_OF_FIRE_SAFETY_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
CYCLE_2_TOTAL_NUMBER_OF_HEALTH_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
