row_id,name,typeofcare,description,primary_phone,primary_phone_extension,secondary_phone,secondary_phone_extension,fax,email,website,low_rate,address_line_1,address_line_2,latitude,longitude,city,province,postal_code,country,neighborhood
USA-AK-70-AK-AssistedLiving-output-1,3707 Oregon,Assisted Living,,244 9504,,,,,scott@aofalaska.com,,,3707 Oregon St.,,61.1868168,-149.9176571,Anchorage,,99517,,Spenard
USA-AK-70-AK-AssistedLiving-output-2,7th Son Assisted Living,Assisted Living,,354 4757,,,,,andrewcorbin@gci.net,,,1120 South Gurn Circle,,61.595892,-149.134718,Palmer,,99645,,
USA-AK-70-AK-AssistedLiving-output-3,Aaron Assisted Living I,Assisted Living,,230 0358,,,,,aaronalrf@aol.com,,,3800 Gardner St.,,61.1861819,-149.7831723,Anchorage,,99508,,U-MED District
USA-AK-70-AK-AssistedLiving-output-4,Aaron Assisted Living II,Assisted Living,,230 0358,,,,,Aaronalrf@aol.com,,,4201 Resurrection Dr.,,61.1837,-149.728371,Anchorage,,99504,,Scenic Foothills
USA-AK-70-AK-AssistedLiving-output-5,Aaron Assisted Living III,Assisted Living,,230 0358,,,,,aaronalrf@aol.com,,,2901 Valleywood Drive,,61.1771542,-149.9379112,Anchorage,,99517,,Spenard
USA-AK-70-AK-AssistedLiving-output-6,Abc Assisted Living,Assisted Living,,373 5512,,,,(907) 631 3208,cmallen@gci.net,,,7481 Territorial Drive,,61.495686,-149.61798,Wasilla,,99654,,
USA-AK-70-AK-AssistedLiving-output-7,"Above Care Alh, Llc",Dementia Care;Assisted Living,,891 2454,,,,891 2454,arlenis80@yahoo.com,,,2351 Paxson Dr.,,61.1992885,-149.7460575,Anchorage,,99504,,Northeast Anchorage
USA-AK-70-AK-AssistedLiving-output-8,Abra Assisted Living Home,Dementia Care;Assisted Living,,522 0564,,,,,aga-pita@hotmail.com,,,1609 Betula Circle,,61.1287887,-149.8531976,Anchorage,,99505,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-9,"Abuelita Alh, Llc",Dementia Care;Assisted Living,,677 0230,,,,,pegris@hotmail.com,,,1105 San Antonio Street,,29.6935405,-98.1333142,Anchorage,,99508,,
USA-AK-70-AK-AssistedLiving-output-10,Adl Unlimited,Assisted Living,,222 1794,,,,,rjrcreations@alaskan.com/ak_nathanrobinson@hotmail,,,1722 West 99th Avenue,,61.1317106,-149.9112417,Anchorage,,99515,,Bayshore / Klatt
USA-AK-70-AK-AssistedLiving-output-11,Advantage Senior Care Llc,Dementia Care;Assisted Living,,345 3416,,,,,nursemate43@yahoo.com,,,2060 Brigadier,,61.1354727,-149.8430649,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-12,Aimaagvik Assisted Living,Dementia Care;Assisted Living,,852 0272,,,,,diane.nosbisch@arcticslope.org,,,5452 North Star Street,,71.299217,-156.7521941,Utqiagvik,,99723,,
USA-AK-70-AK-AssistedLiving-output-13,"Ak Care, Comfort And Company",Dementia Care;Assisted Living,,929 1234,,,,,alaskacare@gci.net,,,1419 Annapolis Drive,,61.1914374,-149.8552366,Anchorage,,99508,,Rogers Park
USA-AK-70-AK-AssistedLiving-output-14,Ak Holly Haven,Assisted Living,,727 3442,,,,,kellygalaska35@gmail.com,,,4253 N. Clark WolverineRd,,61.626631,-149.058781,Palmer,,99645,,
USA-AK-70-AK-AssistedLiving-output-15,Ak Nurtured Living,Assisted Living,,754 3550,,,,,Kellyscott96@yahoo.com,,,17350 Dorismae Circle,,61.54672,-149.013983,Palmer,,99645,,
USA-AK-70-AK-AssistedLiving-output-16,Alaska Care Assisted Living,Dementia Care;Assisted Living,,227 5306,,,,,kristelstout@gmail.com,,,3120 W. 79th Ave,,61.1489717,-149.9377458,Anchorage,,99502,,Sand Lake
USA-AK-70-AK-AssistedLiving-output-17,Alaska Care Home,Dementia Care;Assisted Living,,903 3619,,,,,juliedf@gmail.com,,,5511 W. Montclaire Avenue,,61.5534645,-149.5894404,Wasilla,,99623,,
USA-AK-70-AK-AssistedLiving-output-18,Alaska Helps Assisted Living Home,Assisted Living,,727 3057,,,,522 6457,akhelps1@gmail.com,,,4861 Southpark Bluff Drive,,61.0799456,-149.7916082,Anchorage,,99508,,Rabbit Creek
USA-AK-70-AK-AssistedLiving-output-19,"Alaska Olive Care II, Llc",Dementia Care;Assisted Living,,440 1084,,,,245 3472,lucyb1127@yahoo.com,,,708 N. Bunn St.,,61.2298745,-149.7995353,Anchorage,,99508,,Mountain View
USA-AK-70-AK-AssistedLiving-output-20,Alaska Olive Care Llc,Dementia Care;Assisted Living,,440 1084,,,,,spankyventura@aol.com,,,702 N. Bunn St.,,61.229725,-149.7995171,Anchorage,,99508,,Mountain View
