row_id,Name of Home,License #,Extension To Date,Licensed To,Licensed From,Lic Type,Type Res,# Res,Owner/Agency,Adm First Name,Adm Last Name,Dsgne First Name,Dsgne Last Name,Website Phone #,Fax #,email address,Mailing Address,M City,M ZIP Code,Physical Address,P City,P ZIP Code,Sprinkler,facility_type
USA-AK-70-AK-AssistedLiving-output-1,3707 Oregon,101032,,30-Nov-17,1-Dec-15,Biennial,DD/MH,5,3707 Oregon LLC,"Jeffrey ""Scott""",Hiett,Gretchen,Davis,244-9504,,scott@aofalaska.com,19412 First St.,Eagle River,99577,3707 Oregon St.,Anchorage,99517,TRUE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-2,7th Son Assisted Living,101228,,31-May-18,17-Jun-17,Provisional,DD/MH,3,Andrew Corbin,Andrew,Corbin,Dena,Donn,354-4757,,andrewcorbin@gci.net,1120 South Gurn Circle,Palmer,99645,1120 South Gurn Circle,Palmer,99645,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-3,Aaron Assisted Living I,100582,,31-Aug-19,1-Sep-17,Biennial,DD/MH,5,"Aaron Assisted Living, LLC.",Dana,Thomas,Nathan,Thomas,230-0358,,aaronalrf@aol.com,PO Box 210423,Anchorage,99521,3800 Gardner St.,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-4,Aaron Assisted Living II,100704,,30-Sep-17,28-Mar-17,Biennial,DD/MH,5,"Aaron Assisted Living, LLC.",Dana,Thomas,Nathan,Thomas,230-0358,,Aaronalrf@aol.com,PO Box 210423,Anchorage,99521,4201 Resurrection Dr.,Anchorage,99504,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-5,Aaron Assisted Living III,100733,,28-Feb-18,29-Feb-16,Biennial,DD/MH,5,"Aaron Assisted Living, LLC.",Dana,Thomas,Nathan,Thomas,230-0358,,aaronalrf@aol.com,PO Box 210423,Anchorage,99521,2901 Valleywood Drive,Anchorage,99517,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-6,ABC Assisted Living,100430,,31-May-19,2-Jun-17,Biennial,DD/MH,4,Carolyn Allen,Carolyn,Allen,Jim,Godsby,373-5512,907-631-3208,cmallen@gci.net,PO Box 877531,Wasilla,99687,7481 Territorial Drive,Wasilla,99654,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-7,"Above Care ALH, LLC",100893,,28-Feb-18,1-Mar-16,Biennial,SS,5,Arlenis Sanchez,Arlenis,Sanchez,Agnes,Tuala,891-2454,891-2454,arlenis80@yahoo.com,2351 Paxson Drive,Anchorage,99504,2351 Paxson Dr.,Anchorage,99504,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-8,Abra Assisted Living Home,100875,,31-Dec-18,1-Jan-16,Biennial,SS,3,"Merlo Llaneza, Sr.",Merlo,Llaneza Sr.,Agapita (2nd Marilou),Llaneza (2nd Llaneza),522-0564,,aga-pita@hotmail.com,1609 Betula Circle,Anchorage,99505,1609 Betula Circle,Anchorage,99505,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-9,"Abuelita ALH, LLC",100900,,31-Mar-18,1-Apr-16,Biennial,SS,5,Gricelda Valencia/Gary Valencia,Gricelda,Valencia,Gary,Valencia,677-0230,,pegris@hotmail.com,1105 San Antonio Street,Anchorage,99508,1105 San Antonio Street,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-10,ADL Unlimited,101086,,30-Nov-17,11-Dec-15,Biennial,DD/MH,4,ADL Unlimited LLC,Nathan,Robinson,Jun Mark,Robinson,222-1794,,rjrcreations@alaskan.com/ak_nathanrobinson@hotmail,1722 West 99th Avenue,Anchorage,99515,1722 West 99th Avenue,Anchorage,99515,FALSE,Assisted Living
