name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Anniston Estates,,,Humera Savaja,,,,,,,,,,,,,,,(256) 342-5099,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,2222 Leighton Avenue,,,Anniston,Calhoun,,AL,,36207,,33.6736934,-85.8255124,
Assisted Living of Arab,,,Teresa Russell,,,,,,,,,,,,,,,(256) 753-6324,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,8895 Alabama Highway 69,,,Arab,Marshall,,AL,,35016,,34.3562001,-86.4333624,
Assisted Living of Citronelle,,,Toni Howard,,,,,,,,,,,,,,,(251) 866-0919,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,8525 State Street,,,Citronelle,Mobile,,AL,,36522,,31.090424,-88.24512299999999,
Atria Regency,,,Susan Stanfield,,,,,,,,,,,,,,,(251) 380-0053,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,4720 Morrison Drive,,,Mobile,Mobile,,AL,,36609,,30.6668243,-88.1716061,Berkleigh
Autumn Cove,,,Naomi Skinner,,,,,,,,,,,,,,,(256) 831-7474,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,4425 Greenbrier Dear Road,,,Anniston,Calhoun,,AL,,36207,,33.6292127,-85.7624577,
Autumn Place,,,Tammie Silas,,,,,,,,,,,,,,,(334) 285-1996,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,5930 Main Street,,,Millbrook,Elmore,,AL,,36054,,32.5150908,-86.374477,
Ava Hills Assisted Living,,,"Samuel Harden, Sr., MD",,,,,P.O. Box 810,,,,,,,,,,(256) 357-2895,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,1330 Old Highway 431,,,Wedowee,Randolph,,AL,,36278,,33.331502,-85.476162,
Azalea Court Assisted Living,,,Kimberly Falkner,,,,,,,,,,,,,,,(334) 585-2241,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,508 East Church Street,,,Headland,Henry,,AL,,36345,,31.3506671,-85.3335084,
Azalea Manor of Haleyville,,,Parker Church,,,,,,,,,,,,,,,(205) 485-9343,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,13074 Pounders & Sims Road,,,Haleyville,Winston,,AL,,35565,,34.2341288,-87.5986106,
Azalea Place Assisted Living Facility,,,Jeff Kirby,,,,,,,,,,,,,,,(334) 501-0904,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,1601 Professional Parkway,,,Auburn,Lee,,AL,,36830,,32.63305100000001,-85.448494,
Baldwin House,,,Jayne Carter,,,,,,,,,,,,,,,(251) 621-1717,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,10171 Papa George Street,,,Daphne,Baldwin,,AL,,36526,,30.6603678,-87.848621,
