row_id,name,street_address,po_box,city,state,postal_code,county,Fac ID,Medicare #,Medicaid #,contact,phone,type,number_of_beds,ESRD Stations,Hospital Authorized Bed Capacity,Class 1,Class 1 Beds/Stations,Class 2,Class 2 Beds/Stations,Class 3,Class 3 Beds/Stations,Class 4,Class 4 Beds/Stations,Class 5,Class 5 Beds/Stations,license_type,License Status,Deemed Status
USA-AL-66-All-66-AssistedLiving-1,Anniston Estates,2222 Leighton Avenue,,Anniston,AL,36207,Calhoun,D0811,,,Humera Savaja,(256) 342-5099,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLiving-2,Assisted Living of Arab,8895 Alabama Highway 69,,Arab,AL,35016,Marshall,D4805,,,Teresa Russell,(256) 753-6324,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
USA-AL-66-All-66-AssistedLiving-3,Assisted Living of Citronelle,8525 State Street,,Citronelle,AL,36522,Mobile,D4981,,,Toni Howard,(251) 866-0919,Assisted Living Facility,16,,,Congregate Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLiving-4,Atria Regency,4720 Morrison Drive,,Mobile,AL,36609,Mobile,D4946,,,Susan Stanfield,(251) 380-0053,Assisted Living Facility,83,,,Congregate Assisted Living Facility,83,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLiving-5,Autumn Cove,4425 Greenbrier Dear Road,,Anniston,AL,36207,Calhoun,D0804,,,Naomi Skinner,(256) 831-7474,Assisted Living Facility,38,,,Congregate Assisted Living Facility,38,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLiving-6,Autumn Place,5930 Main Street,,Millbrook,AL,36054,Elmore,D2603,,,Tammie Silas,(334) 285-1996,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Individual,Regular,
USA-AL-66-All-66-AssistedLiving-7,Ava Hills Assisted Living,1330 Old Highway 431,P.O. Box 810,Wedowee,AL,36278,Randolph,D5604,,,"Samuel Harden, Sr., MD",(256) 357-2895,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLiving-8,Azalea Court Assisted Living,508 East Church Street,,Headland,AL,36345,Henry,D3405,,,Kimberly Falkner,(334) 585-2241,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Healthcare Authority,Regular,
USA-AL-66-All-66-AssistedLiving-9,Azalea Manor of Haleyville,13074 Pounders & Sims Road,,Haleyville,AL,35565,Winston,D6702,,,Parker Church,(205) 485-9343,Assisted Living Facility,17,,,Group Assisted Living Facility,17,,0,,0,,0,,0,Corporation,Regular,
USA-AL-66-All-66-AssistedLiving-10,Azalea Place Assisted Living Facility,1601 Professional Parkway,,Auburn,AL,36830,Lee,D4108,,,Jeff Kirby,(334) 501-0904,Assisted Living Facility,56,,,Congregate Assisted Living Facility,56,,0,,0,,0,,0,Limited Liability Company,Regular,
