name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Angels for the Elderly I,,,Janice Lucas,,,,,,,,,,,,,,,(334) 270-8050,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,52 Angels Court,,,Montgomery,Montgomery,,AL,,36109,,32.38336629999999,-86.24032989999999,
Angels for the Elderly II,,,Janice Lucas,,,,,,,,,,,,,,,(334) 270-8050,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,44 Angels Court,,,Montgomery,Montgomery,,AL,,36109,,32.38333250000001,-86.23897600000001,
Angels for the Elderly III,,,Janice Lucas,,,,,,,,,,,,,,,(334) 270-9122,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,48 Angels Court,,,Montgomery,Montgomery,,AL,,36109,,32.3833801,-86.2396354,
Angels for the Elderly IV,,,Janice Lucas,,,,,,,,,,,,,,,(334) 270-9122,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,40 Angels Court,,,Montgomery,Montgomery,,AL,,36109,,32.3836178,-86.23926999999999,
"Arbors Specialty Care at Somerby of West Mobile, The",,,Jessica Keith,,,,,,,,,,,,,,,(251) 776-1455,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,901 Somerby Drive,,,Mobile,Mobile,,AL,,36695,,30.67001099999999,-88.2015089,Thornhill
Ashbury Manor,,,Cindy Johnson,,,,,,,,,,,,,,,(251) 340-7528,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,6562 Old Shell Road,,,Mobile,Mobile,,AL,,36608,,30.6908639,-88.1950737,Hillsdale
Atria Regency Specialty Care,,,Susan Stanfield,,,,,,,,,,,,,,,(251) 380-0053,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,4720 Morrison Drive,,,Mobile,Mobile,,AL,,36609,,30.6668243,-88.1716061,Berkleigh
Autumn Cove Memory Care,,,Naomi Skinner,,,,,,,,,,,,,,,(256) 831-7474,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,4425 Greenbrier Dear Road,,,Anniston,Calhoun,,AL,,36207,,33.6292127,-85.7624577,
"Blake Memory Care Community, The",,,TBD,,,,,,,,,,,,,,,(251) 259-5588,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,11626 US Highway 90,,,Daphne,Baldwin,,AL,,36526,,30.6456123,-87.82464689999999,
"Brennity at Daphne MC , The",,,Erin Thompson,,,,,,,,,,,,,,,(251) 626-9000,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,27296 County Road 13,,,Daphne,Baldwin,,AL,,36526,,30.6225769,-87.8688052,
Brentwood Retirement Community I,,,Margaret Deaton,,,,,,,,,,,,,,,(256) 381-7443,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,2505 Alabama Avenue,,,Muscle Shoals,Colbert,,AL,,35661,,34.7401324,-87.63801579999999,
Brentwood Retirement Community II,,,Margaret Deaton,,,,,,,,,,,,,,,(256) 381-7443,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,2505 Alabama Avenue,,,Muscle Shoals,Colbert,,AL,,35661,,34.7401324,-87.63801579999999,
Brookdale Albertville MC,,,Patricia Roberts,,,,,,,,,,,,,,,(256) 878-3132,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,151 Woodham Drive,,,Albertville,Marshall,,AL,,35951,,34.288914,-86.23229309999999,
Brookdale Hampton Cove,,,Julie Gentry,,,,,,,,,,,,,,,(256) 564-8383,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,6379 Highway 431 South,,,Hampton Cove,Madison,,AL,,35763,,34.6676114,-86.4869928,
Brookdale Northport SCALF (AL),,,Bonita Evans,,,,,,,,,,,,,,,(205) 330-1700,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,951 Rose Drive,,,Northport,Tuscaloosa,,AL,,35476,,33.2308501,-87.5681912,
Brookdale Shoals SCALF (AL),,,Allison Bennefield,,,,,,,,,,,,,,,(256) 386-7177,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,2904 South Wilson Dam Road,,,Muscle Shoals,Colbert,,AL,,35661,,34.73535949999999,-87.63561709999999,
Brookdale University Park SCALF (AL),,,Alice Murray,,,,,,,,,,,,,,,(205) 870-0786,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,400 University Park Drive,,,Birmingham,Jefferson,,AL,,35209,,33.4568039,-86.799273,
Brookside Memory and Specialty Care on Cody,,,Evelyn Renee Buck,,,,,,,,,,,,,,,(251) 639-0494,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,680 Cody Road,,,Mobile,Mobile,,AL,,36695,,30.6760029,-88.20813679999999,Sheldon
Camellia Place at Auburn Medical Park,,,Ginger Fletcher,,,,,,,,,,,,,,,(334) 502-6008,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,"1171 Gatewood Drive, Building 206",,,Auburn,Lee,,AL,,36830,,32.6270044,-85.4546204,
Carrington Place,,,Duane Carr,,,,,,,,,,,,,,,(251) 679-9192,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,300 Baker Road,,,Satsuma,Mobile,,AL,,36572,,30.8483809,-88.070381,
Carrington Specialty Care Assisted Living,,,Duane Carr,,,,,,,,,,,,,,,(251) 665-4202,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,6801 Three Notch Road,,,Mobile,Mobile,,AL,,36619,,30.58834269999999,-88.200098,Westmont
Cedar Hill Specialty Care Assisted Living,,,Trease Dawson,,,,,,,,,,,,,,,(334) 875-1225,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,1300 Old Orrville Road,,,Selma,Dallas,,AL,,36701,,32.4061518,-87.05694799999999,
Chapman Specialty Care Assisted Living Facility,,,Archie J. Chapman,,,,,,,,,,,,,,,(256) 234-6366,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,3701 Dadeville Road,,,Alexander City,Tallapoosa,,AL,,35010,,32.911431,-85.919521,
Cherokee Village Specialty Care Assisted Living Facility,,,Cindy Cline,,,,,,,,,,,,,,,(256) 927-4307,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,201 Dean Buttram Senior Avenue,,,Centre,Cherokee,,AL,,35960,,34.1674617,-85.6624518,
Country Cottage - Montgomery - Holly,,,Michelle Kelley,,,,,,,,,,,,,,,(334) 260-8373,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,"235 Sylvest Drive, Bldg. 100",,,Montgomery,Montgomery,,AL,,36117,,32.38458440000001,-86.194594,
Country Cottage Magnolia Cottage,,,Leslie Carter,,,,,,,,,,,,,,,(205) 987-0847,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,4000 Greenwood Drive,,,Hoover,Jefferson,,AL,,35216,,33.3898338,-86.78565019999999,
Country Cottage Montgomery-Magnolia,,,Michelle Kelley,,,,,,,,,,,,,,,(334) 260-8373,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,235 Sylvest Drive,,,Montgomery,Montgomery,,AL,,36117,,32.38458440000001,-86.194594,
Country Place Memory Care of Greenville,,,Angela Patricia Wilson,,,,,,,,,,,,,,,(334) 382-6507,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,3108 Luverne Highway,,,Greenville,Butler,,AL,,36037,,31.8243992,-86.5773521,
Covenant Woods of Gardendale,,,Paul Roberts,,,,,,,,,,,,,,,(205) 297-0100,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,1411 Thompson Circle,,,Gardendale,Jefferson,,AL,,35071,,33.6597234,-86.8090758,
Dugger Mountain Specialty Care Assisted Living,,,Sandra Keener,,,,,,,,,,,,,,,(256) 447-9444,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,1100 Daily Street,,,Piedmont,Calhoun,,AL,,36272,,33.9096,-85.60679979999999,
