row_id,name,street_address,po_box,city,state,postal_code,county,Fac ID,Medicare #,Medicaid #,contact,phone,type,number_of_beds,ESRD Stations,Hospital Authorized Bed Capacity,Class 1,Class 1 Beds/Stations,Class 2,Class 2 Beds/Stations,Class 3,Class 3 Beds/Stations,Class 4,Class 4 Beds/Stations,Class 5,Class 5 Beds/Stations,license_type,License Status,Deemed Status
USA-AL-66-All-66-AssistedLivingSpecialty-1,Angels for the Elderly I,52 Angels Court,,Montgomery,AL,36109,Montgomery,P5115,,,Janice Lucas,(334) 270-8050,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-2,Angels for the Elderly II,44 Angels Court,,Montgomery,AL,36109,Montgomery,P5101,,,Janice Lucas,(334) 270-8050,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-3,Angels for the Elderly III,48 Angels Court,,Montgomery,AL,36109,Montgomery,P5102,,,Janice Lucas,(334) 270-9122,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-4,Angels for the Elderly IV,40 Angels Court,,Montgomery,AL,36109,Montgomery,P5112,,,Janice Lucas,(334) 270-9122,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-5,"Arbors Specialty Care at Somerby of West Mobile, The",901 Somerby Drive,,Mobile,AL,36695,Mobile,P4910,,,Jessica Keith,(251) 776-1455,Assisted Living Facility (Specialty Care),24,,,Congregate Specialty Care Assisted Living Facility,24,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-6,Ashbury Manor,6562 Old Shell Road,,Mobile,AL,36608,Mobile,P4908,,,Cindy Johnson,(251) 340-7528,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-7,Atria Regency Specialty Care,4720 Morrison Drive,,Mobile,AL,36609,Mobile,P4903,,,Susan Stanfield,(251) 380-0053,Assisted Living Facility (Specialty Care),20,,,Congregate Specialty Care Assisted Living Facility,20,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-8,Autumn Cove Memory Care,4425 Greenbrier Dear Road,,Anniston,AL,36207,Calhoun,P0801,,,Naomi Skinner,(256) 831-7474,Assisted Living Facility (Specialty Care),27,,,Congregate Specialty Care Assisted Living Facility,27,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-9,"Blake Memory Care Community, The",11626 US Highway 90,,Daphne,AL,36526,Baldwin,P0205,,,TBD,(251) 259-5588,Assisted Living Facility (Specialty Care),45,,,Congregate Specialty Care Assisted Living Facility,45,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-10,"Brennity at Daphne MC , The",27296 County Road 13,,Daphne,AL,36526,Baldwin,P0203,,,Erin Thompson,(251) 626-9000,Assisted Living Facility (Specialty Care),64,,,Congregate Specialty Care Assisted Living Facility,64,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-11,Brentwood Retirement Community I,2505 Alabama Avenue,,Muscle Shoals,AL,35661,Colbert,P1702,,,Margaret Deaton,(256) 381-7443,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-12,Brentwood Retirement Community II,2505 Alabama Avenue,,Muscle Shoals,AL,35661,Colbert,P1703,,,Margaret Deaton,(256) 381-7443,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-13,Brookdale Albertville MC,151 Woodham Drive,,Albertville,AL,35951,Marshall,P4801,,,Patricia Roberts,(256) 878-3132,Assisted Living Facility (Specialty Care),22,,,Congregate Specialty Care Assisted Living Facility,22,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-14,Brookdale Hampton Cove,6379 Highway 431 South,,Hampton Cove,AL,35763,Madison,P4505,,,Julie Gentry,(256) 564-8383,Assisted Living Facility (Specialty Care),50,,,Congregate Specialty Care Assisted Living Facility,50,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-15,Brookdale Northport SCALF (AL),951 Rose Drive,,Northport,AL,35476,Tuscaloosa,P6302,,,Bonita Evans,(205) 330-1700,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-16,Brookdale Shoals SCALF (AL),2904 South Wilson Dam Road,,Muscle Shoals,AL,35661,Colbert,P1701,,,Allison Bennefield,(256) 386-7177,Assisted Living Facility (Specialty Care),13,,,Group Specialty Care Assisted Living Facility,13,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-17,Brookdale University Park SCALF (AL),400 University Park Drive,,Birmingham,AL,35209,Jefferson,P3707,,,Alice Murray,(205) 870-0786,Assisted Living Facility (Specialty Care),30,,,Congregate Specialty Care Assisted Living Facility,30,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-18,Brookside Memory and Specialty Care on Cody,680 Cody Road,,Mobile,AL,36695,Mobile,P4913,,,Evelyn Renee Buck,(251) 639-0494,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-19,Camellia Place at Auburn Medical Park,"1171 Gatewood Drive, Building 206",,Auburn,AL,36830,Lee,P4101,,,Ginger Fletcher,(334) 502-6008,Assisted Living Facility (Specialty Care),42,,,Congregate Specialty Care Assisted Living Facility,42,,0,,0,,0,,0,Healthcare Authority,Regular,
USA-AL-66-All-66-AssistedLivingSpecialty-20,Carrington Place,300 Baker Road,,Satsuma,AL,36572,Mobile,P4905,,,Duane Carr,(251) 679-9192,Assisted Living Facility (Specialty Care),40,,,Congregate Specialty Care Assisted Living Facility,40,,0,,0,,0,,0,Limited Liability Company,Regular,
