row_id,name,street_address,po_box,city,state,postal_code,county,Fac ID,Medicare #,Medicaid #,contact,phone,type,number_of_beds,ESRD Stations,Hospital Authorized Bed Capacity,Class 1,Class 1 Beds/Stations,Class 2,Class 2 Beds/Stations,Class 3,Class 3 Beds/Stations,Class 4,Class 4 Beds/Stations,Class 5,Class 5 Beds/Stations,license_type,License Status,Deemed Status
USA-AL-66-All-66-NursingHomes-1,Adams Nursing Home,1555 Hillabee Street,,Alexander City,AL,35010,Tallapoosa,N6201,01-5386,47-5200,Debbie Barker Stalnaker,(256) 329-0847,Nursing Home,88,,,Skilled Nursing Facility,88,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-2,Albertville Nursing Home,750 Alabama Highway 75 North,,Albertville,AL,35951,Marshall,N4803,01-5163,47-5124,Mary Meek,(256) 878-1398,Nursing Home,159,,,Skilled Nursing Facility,159,,0,,0,,0,,0,Corporation,Regular,
USA-AL-66-All-66-NursingHomes-3,Aliceville Manor Nursing Home,"703 Seventeenth Street, Northwest",,Aliceville,AL,35442,Pickens,N5402,01-5137,47-5461,Ashley McGee,(205) 373-6307,Nursing Home,100,,,Skilled Nursing Facility,100,,0,,0,,0,,0,Corporation,Regular,
USA-AL-66-All-66-NursingHomes-4,Allen Health and Rehabilitation,735 South Washington Avenue,,Mobile,AL,36603,Mobile,N4901,01-5098,47-5098,Mrs. Cheryl A. Robinson,(251) 433-2642,Nursing Home,119,,,Skilled Nursing Facility,119,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-5,Altoona Health & Rehab,6532 Walnut Grove Road,,Altoona,AL,35952,Etowah,N2805,01-5101,47-5739,"Linda Bigelow, Adm.",(205) 589-6394,Nursing Home,50,,,Skilled Nursing Facility,50,,0,,0,,0,,0,Corporation,Regular,
USA-AL-66-All-66-NursingHomes-6,Andalusia Manor,670 Moore Road,,Andalusia,AL,36420,Covington,N2003,01-5416,47-5789,Trece Mays,(334) 222-4544,Nursing Home,154,,,Skilled Nursing Facility,154,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-7,"Anniston Health and Rehab Services, LLC",500 Leighton Avenue,P.O. Box 1825,Anniston,AL,36202,Calhoun,N0801,01-5375,47-5716,Felecia Boyd,(256) 236-4949,Nursing Home,85,,,Skilled Nursing Facility,85,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-8,"Arbor Springs Health and Rehab Center, Ltd.",1910 Pepperell Parkway,,Opelika,AL,36801,Lee,N4103,01-5192,47-5590,Matthew Lewis,(334) 749-1471,Nursing Home,225,,,Skilled Nursing Facility,225,,0,,0,,0,,0,Partnership,Regular,
USA-AL-66-All-66-NursingHomes-9,Arbor Woods Health and Rehab,515 Second Avenue N.W.,P.O. Box 400,Reform,AL,35481,Pickens,N5401,01-5141,47-5768,Tammy Fetner,(205) 375-6379,Nursing Home,85,,,Skilled Nursing Facility,85,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-10,Arlington Rehabilitation & HealthCare Center,"1020 Tuscaloosa Avenue, SW",P.O. Box 28665,Birmingham,AL,35211,Jefferson,N3711,01-5153,47-5364,Jessica Miller,(205) 788-6330,Nursing Home,117,,,Skilled Nursing Facility,117,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-11,"Ashland Place Health and Rehabilitation, LLC",148 Tuscaloosa Street,,Mobile,AL,36607,Mobile,N4902,01-5103,47-5103,Matt Goolsby,(251) 471-5431,Nursing Home,164,,,Skilled Nursing Facility,164,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-12,"Aspire Physical Recovery Center at Cahaba River, LLC",3070 Healthy Way,,Vestavia,AL,35243,Jefferson,N3754,15468,198484,Christopher Cornelius,(205) 977-7216,Nursing Home,120,,,Nursing Facility,120,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-13,"Aspire Physical Recovery Center at Hoover, LLC",575 Southland Drive,,Hoover,AL,35226-3732,Jefferson,N3753,01-5464,198139,Jamie L. Popee,(205) 721-6200,Nursing Home,118,,,Skilled Nursing Facility,118,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-14,"Aspire Physical Recovery Center of West Alabama, LLC",2400 Hospital Drive,,Northport,AL,35476,Tuscaloosa,N6311,01-5465,,Vicki Phillips,(205) 330-8412,Nursing Home,75,,,Nursing Facility,75,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-15,"Athens Health and Rehabilitation, LLC",611 West Market Street,,Athens,AL,35611,Limestone,N4201,01-5016,47-5708,Linda Sams,(256) 232-1620,Nursing Home,149,,,Skilled Nursing Facility,149,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-16,Atmore Nursing Center,715 East Laurel Street,,Atmore,AL,36502,Escambia,N2702,01-5129,47-5740,Marcus Manning,(251) 368-9121,Nursing Home,100,,,Skilled Nursing Facility,100,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-17,Attalla Health and Rehab,"915 Stewart Avenue, Southeast",,Attalla,AL,35954-9363,Etowah,N2803,01-5203,47-5404,Prentiss Smith,(256) 538-7852,Nursing Home,182,,,Skilled Nursing Facility,182,,0,,0,,0,,0,Limited Liability Company,Regular,
USA-AL-66-All-66-NursingHomes-18,Azalea Gardens of Mobile,1758 Springhill Avenue,,Mobile,AL,36607,Mobile,N4908,01-5151,47-5449,Elisabeth Anderson,(251) 479-0551,Nursing Home,170,,,Skilled Nursing Facility,170,,0,,0,,0,,0,Limited Liability Company,Regular,
