row_id,county,Map Indicator,Respite Provider Name,Address1,Contact Phone,City,Zip,State,Country,facility_type
USA-AR-51-AR-AssistedLiving-output-1,Ashley,8,FL AND B dba THE PILLARS OF THE COMMUNITY,400 MAIN STREET,870-364-2474,CROSSETT,71635-1116,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-2,Baxter,12,GOOD SAMARITAN SOCIETY,200 GOOD SAMARITAN DR,870-425-0557,MOUNTAIN HOME,72653-9325,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-3,Baxter,33,RIVER LODGE ASSISTED LIVING AUTUMN HOME CARE FACILITIES INC. dba  AUTUMN,2509 HWY 62 WEST,870-424-2336,MOUNTAIN HOME,72653,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-4,Benton,2,PLACE AT OAK RIDGE,103 WADE LANE,479-451-1800,PEA RIDGE,72751-3309,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-5,Benton,15,LEGACY VILLAGE GREENHOUSE ASSISTED LIVING FACILITY,1303 NE LEGACY PARKWAY,479-271-2387,BENTONVILLE,72712-4940,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-6,Benton,25,THE GARDENS AT OSAGE TERRACE,"3317 SE ""L"" STREET",479-254-8759,BENTONVILLE,72712-3793,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-7,Carroll,13,"GREEN ACRE LODGE, INC.",89 HILLSIDE DRIVE,479-253-6553,HOLIDAY ISLAND,72631-0000,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-8,Carroll,32,HOLLY HOUSE,100 RIDGEVIEW ROAD,479-253-9800,EUREKA SPRINGS,72632-9358,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-9,Clay,17,MAGNOLIA MANOR ASSISTED LIVING,1200 GORDON DUCKWORTH DR,870-598-1025,PIGGOTT,72454-1916,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-10,Cleburne,23,SOUTHRIDGE VILLAGE RETIREMENT CENTER,401 SOUTHRIDGE PARKWAY,5-1-362-7023,HEBER SPRINGS,72543-0000,AR,US,Assisted Living
