name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
,,,,,,(520)723-7618,,,,,,,,,,,,(520)723-2600,,,,,,,,,,,,,,,,111,Assisted Living,,,,2800 N HWY 87,,,COOLIDGE,PINAL,,AZ,,85128,,32.9048668,-111.5163419,
,,,,,,(520)723-7618,,,,,,,,,,,,(520)723-2600,,,,,,,,,,,,,,,,111,Assisted Living,,,,2800 N HWY 87,,,COOLIDGE,PINAL,,AZ,,85128,,32.9048668,-111.5163419,
,,,,,,(520)723-7618,,,,,,,,,,,,(520)723-2600,,,,,,,,,,,,,,,,111,Assisted Living,,,,2800 N HWY 87,,,COOLIDGE,PINAL,,AZ,,85128,,32.9048668,-111.5163419,
,,,,,,(520)723-7618,,,,,,,,,,,,(520)723-2600,,,,,,,,,,,,,,,,111,Assisted Living,,,,2800 N HWY 87,,,COOLIDGE,PINAL,,AZ,,85128,,32.9048668,-111.5163419,
,,,,,,(520)723-7618,,,,,,,,,,,,(520)723-2600,,,,,,,,,,,,,,,,111,Assisted Living,,,,2800 N HWY 87,,,COOLIDGE,PINAL,,AZ,,85128,,32.9048668,-111.5163419,
,,,,,,(520)723-7618,,,,,,,,,,,,(520)723-2600,,,,,,,,,,,,,,,,111,Assisted Living,,,,2800 N HWY 87,,,COOLIDGE,PINAL,,AZ,,85128,,32.9048668,-111.5163419,
,,,,,,(602)264-8561,,,,,,,,,,,,(602)230-8494,,,,,,,,,,,,,,,,111,Assisted Living,,,,2327 WEST CAMPBELL,,,PHOENIX,MARICOPA,,AZ,,85015,,33.5016758,-112.1095903,Alhambra
,,,,,,(602)957-4259,,,,,,,,,,,,(602)224-9986,,,,,,,,,,,,,,,,111,Assisted Living,,,,3043 NORTH 37TH STREET,,,PHOENIX,MARICOPA,,AZ,,85018,,33.4838823,-112.0013868,Camelback East Village
,,,,,,(602)957-4250,,,,,,,,,,,,(602)956-7782,,,,,,,,,,,,,,,,111,Assisted Living,,,,3322 EAST PINCHOT,,,PHOENIX,MARICOPA,,AZ,,85018,,33.4829131,-112.0098278,Camelback East Village
,,,,,,(602)266-9588,,,,,,,,,,,,(602)230-8197,,,,,,,,,,,,,,,,111,Assisted Living,,,,1750 EAST WINDSOR,,,PHOENIX,MARICOPA,,AZ,,85006,,33.4788473,-112.0434674,Encanto Village
,,,,,,(602)243-1217,,,,,,,,,,,,(602)243-4231,,,,,,,,,,,,,,,,111,Assisted Living,,,,1402 EAST SOUTH MOUNTAIN AVENUE,,,PHOENIX,MARICOPA,,AZ,,85040,,33.37133469999999,-112.052294,South Mountain Village
,,,,,,(928)778-1148,,,,,,,,,,,,(928)445-2181,,,,,,,,,,,,,,,,26,Assisted Living,,,,300 SOUTH MCCORMICK STREET,,,PRESCOTT,YAVAPAI,,AZ,,86303,,34.5373136,-112.4744315,
,,,,,,(480)948-1584,,,,,,,,,,,,(480)384-5600,,,,,,,,,,,,,,,,23,Assisted Living,,,,4555 EAST MAYO BLVD,,,PHOENIX,MARICOPA,,AZ,,85050,,33.667481,-111.9828589,Desert View Village
,,,,,,(602)732-3470,,,,,,,,,,,,(602)732-3400,,,,,,,,,,,,,,,,23,Assisted Living,,,,16825 NORTH 63RD AVENUE,,,GLENDALE,MARICOPA,,AZ,,85306,,33.6372202,-112.1932619,Brandywine Estates
,,,,,,(480)214-2450,,,,,,,,,,,,(480)214-2400,,,,,,,,,,,,,,,,23,Assisted Living,,,,5755 EAST MAIN STREET,,,MESA,MARICOPA,,AZ,,85205,,33.414985,-111.707503,
,,,,,,(480)214-4250,,,,,,,,,,,,(480)214-4200,,,,,,,,,,,,,,,,23,Assisted Living,,,,9846 NORTH 95TH STREET,,,SCOTTSDALE,MARICOPA,,AZ,,85258,,33.5765794,-111.8765402,Central Scottsdale
,,,,,,(480)383-6777,,,,,,,,,,,,(480)699-9624,,,,,,,,,,,,,,,,23,Assisted Living,,,,5358 EAST BASELINE ROAD,,,MESA,MARICOPA,,AZ,,85206,,33.3802714,-111.7155543,
,,,,,,(520)742-4533,,,,,,,,,,,,(520)742-6242,,,,,,,,,,,,,,,,23,Assisted Living,,,,7500 NORTH CALLE SIN ENVIDIA,,,TUCSON,PIMA,,AZ,,85718,,32.34298,-110.933876,Sin Vacas
,,,,,,(719)685-8958,,,,,,,,,,,,(623)773-6100,,,,,,,,,,,,,,,,23,Assisted Living,,,,7201 W CAMINO SAN XAVIER AVE,,,GLENDALE,MARICOPA,,AZ,,85308,,33.64028589999999,-112.2133897,
,,,,,,(602)368-8211,,,,,,,,,,,,(520)825-4669,,,,,,,,,,,,,,,,23,Assisted Living,,,,1119 EAST RANCHO VISTOSO BLVD,,,ORO VALLEY,PIMA,,AZ,,85755,,32.4653871,-110.9555276,
