row_id,﻿rundate,subtype,FACID,FACTYPE,ZIP,LEGALNAME,ADDRESS,LICENSE,LICENSE_EFFECTIVE,LICENSE_EXPIRATION,CITY,state,COUNTY,TELEPHONE,FAXPHONE,CAPACITY,MCAID_CERT,N_LON,N_LAT,N_MCODE,N_LCODE,N_BLOCK,SRVPROVDES,EVAL_DATE,facility_type
USA-AZ-53-AZ-AssistedLiving-output-1,9/1/2017,INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED,LTC0197,111,85128,ARIZONA TRAINING PROGRAM AT COOLIDGE - 30 OASIS COURT,2800 N HWY 87,,,,COOLIDGE,AZ,PINAL,(520)723-2600,(520)723-7618,,T,-111.596647,33.002676,,,,NOT APPLICABLE,,Assisted Living
USA-AZ-53-AZ-AssistedLiving-output-2,9/1/2017,INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED,LTC0166,111,85128,ARIZONA TRAINING PROGRAM OF COOLIDGE - 10 SANDSTONE COURT,2800 N HWY 87,,,,COOLIDGE,AZ,PINAL,(520)723-2600,(520)723-7618,,T,-111.596647,33.002676,,,,NOT APPLICABLE,,Assisted Living
USA-AZ-53-AZ-AssistedLiving-output-3,9/1/2017,INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED,LTC0196,111,85128,ARIZONA TRAINING PROGRAM OF COOLIDGE - 20 SANDSTONE COURT,2800 N HWY 87,,,,COOLIDGE,AZ,PINAL,(520)723-2600,(520)723-7618,,T,-111.596647,33.002676,,,,NOT APPLICABLE,,Assisted Living
USA-AZ-53-AZ-AssistedLiving-output-4,9/1/2017,INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED,LTC0167,111,85128,ARIZONA TRAINING PROGRAM OF COOLIDGE - 30 SANDSTONE COURT,2800 N HWY 87,,,,COOLIDGE,AZ,PINAL,(520)723-2600,(520)723-7618,,T,-111.596647,33.002676,,,,NOT APPLICABLE,,Assisted Living
USA-AZ-53-AZ-AssistedLiving-output-5,9/1/2017,INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED,LTC0169,111,85128,ARIZONA TRAINING PROGRAM OF COOLIDGE - 40 SANDSTONE COURT,2800 N HWY 87,,,,COOLIDGE,AZ,PINAL,(520)723-2600,(520)723-7618,,T,-111.596647,33.002676,,,,NOT APPLICABLE,,Assisted Living
USA-AZ-53-AZ-AssistedLiving-output-6,9/1/2017,INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED,LTC0170,111,85128,ARIZONA TRAINING PROGRAM OF COOLIDGE - 50 OASIS COURT,2800 N HWY 87,,,,COOLIDGE,AZ,PINAL,(520)723-2600,(520)723-7618,,T,-111.596647,33.002676,,,,NONE,,Assisted Living
USA-AZ-53-AZ-AssistedLiving-output-7,9/1/2017,INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED,LTC0165,111,85015,ARIZONA TRAINING PROGRAM OF PHOENIX - CAMPBELL,2327 WEST CAMPBELL,,,,PHOENIX,AZ,MARICOPA,(602)230-8494,(602)264-8561,,T,-112.108687,33.502134,,,,NOT APPLICABLE,,Assisted Living
USA-AZ-53-AZ-AssistedLiving-output-8,9/1/2017,INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED,LTC0172,111,85018,ARIZONA TRAINING PROGRAM OF PHOENIX - EARLL,3043 NORTH 37TH STREET,,,,PHOENIX,AZ,MARICOPA,(602)224-9986,(602)957-4259,,T,-112.001857,33.483243,,,,NOT APPLICABLE,,Assisted Living
USA-AZ-53-AZ-AssistedLiving-output-9,9/1/2017,INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED,LTC0173,111,85018,ARIZONA TRAINING PROGRAM OF PHOENIX - PINCHOT,3322 EAST PINCHOT,,,,PHOENIX,AZ,MARICOPA,(602)956-7782,(602)957-4250,,T,-112.009995,33.482469,,,,NOT APPLICABLE,,Assisted Living
USA-AZ-53-AZ-AssistedLiving-output-10,9/1/2017,INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED,LTC0175,111,85006,ARIZONA TRAINING PROGRAM OF PHOENIX - WINDSOR,1750 EAST WINDSOR,,,,PHOENIX,AZ,MARICOPA,(602)230-8197,(602)266-9588,,T,-112.043926,33.478494,,,,NONE,,Assisted Living
