row_id,name,contact_first_name,contact_last_name,contact_name,email,fax,licensee_contact,licensee_address_line_1,licensee_city,licensee_province,licensee_postal_code,licensee_country,provider_name,primary_phone,primary_phone_extension,secondary_phone,secondary_phone_extension,website,typeofcare,alzheimer_facility,supports_irreversable_dimentia_alzheimers,supports_advanced_aged,supports_alcohol_drug_dependent,supports_developmentally_disabled,supports_emotionally_disturbed_mental_illness,supports_phyically_disabled,supports_pregnant_women,supports_terminally_ill,supports_traumatic_brain_injury,specialty_programs,provides_nursing,low_rate,rents,rent_rate,approximate_start_rate,service_package_rate,subsidized_rent,finances,latitude,longitude,neighborhood,description,company_name,for_profit,admin_first_name,admin_last_name,admin_name,agency,ahca_number,facility_id,federal_provider_number,funding method,owner_name,company_phone,company_phone_extension,owners_and_company,owner_company,owner_agency,owner_adddress_line_1,owner_adddress_line_2,owner_city,owner_fax,owner_name,owner_phone,owner_phone_extension,owner_since,owner_county,owner_state,owner_type,owner_zip,house,address_line_1,address_line_2,location,city,province,postal_code,country
USA-CA-54-CA-CommunityCare-output-NORMALIZED.csv0,Acacia Creek - Union City,,,,,,,,,,,,,(510) 441 3700,,,,,Assisted Living;Continuing Care,,,,,,,,,,,,,,,,,,,,,,,,"Masonic Homes Cal & Acacia Creek, Masonic Sen Liv",,,,Charles Major,,,15601302,,,,,,,,,,,,,,,,,,,,,,34400 Mission Blvd.,,,Union City,CA,94587,US
USA-CA-54-CA-CommunityCare-output-NORMALIZED.csv1,Aldersly,,,,,,,,,,,,,(415) 453 7425,,,,,Assisted Living;Continuing Care,,,,,,,,,,,,,,,,,,,,,,,,"Aldersly/life Care Services,llc",,,,Gilbert Carrasco,,,216801686,,,,,,,,,,,,,,,,,,,,,,326 Mission Avenue,,,San Rafael,CA,94901,US
USA-CA-54-CA-CommunityCare-output-NORMALIZED.csv2,Altavita Village,,,,,,,,,,,,,(951) 697 2000,,,,,Assisted Living;Continuing Care,,,,,,,,,,,,,,,,,,,,,,,,Airforce Village West Inc & Eskaton Properties Inc,,,,Nancy Baca,,,330907913,,,,,,,,,,,,,,,,,,,,,,17050 Arnold Drive,,,Riverside,CA,92518,US
USA-CA-54-CA-CommunityCare-output-NORMALIZED.csv3,Atherton Baptist Homes,,,,,,,,,,,,,(626) 289 4178,,,,,Assisted Living;Continuing Care,,,,,,,,,,,,,,,,,,,,,,,,Atherton Baptist Homes,,,,Mary Monnier,,,197802543,,,,,,,,,,,,,,,,,,,,,,214 South Atlantic Blvd.,,,Alhambra,CA,91801,US
USA-CA-54-CA-CommunityCare-output-NORMALIZED.csv4,Atterdag Village Of Solvang,,,,,,,,,,,,,(805) 688 3263,,,,,Assisted Living;Continuing Care,,,,,,,,,,,,,,,,,,,,,,,,"Solvang Lutheran Home, Inc.",,,,Chris Parker,,,421700369,,,,,,,,,,,,,,,,,,,,,,636 N Atterdag Road,,,Solvang,CA,93463,US
USA-CA-54-CA-CommunityCare-output-NORMALIZED.csv5,Brethren Hillcrest Homes,,,,,,,,,,,,,(909) 593 4917,,,,,Assisted Living;Continuing Care,,,,,,,,,,,,,,,,,,,,,,,,Brethren Hillcrest Homes,,,,Matthew Neeley,,,191501662,,,,,,,,,,,,,,,,,,,,,,2705 Mountain View Drive,,,La Verne,CA,91750,US
USA-CA-54-CA-CommunityCare-output-NORMALIZED.csv6,"British Home In California Ltd, The",,,,,,,,,,,,,(626) 355 7240,,,,,Assisted Living;Continuing Care,,,,,,,,,,,,,,,,,,,,,,,,"British Home In California, Ltd The",,,,Marlene Rainen,,,191501668,,,,,,,,,,,,,,,,,,,,,,647 Manzanita Ave,,,Sierra Madre,CA,91024,US
USA-CA-54-CA-CommunityCare-output-NORMALIZED.csv7,Brookdale Camarillo,,,,,,,,,,,,,(805) 388 8086,,,,,Assisted Living;Continuing Care,,,,,,,,,,,,,,,,,,,,,,,,S-h Opco Camarillo Llc; Bkd Twenty-one Management,,,,"Gonzaga, Vincent",,,565801963,,,,,,,,,,,,,,,,,,,,,,6000 Santa Rosa Rd,,,Camarillo,CA,93012,US
USA-CA-54-CA-CommunityCare-output-NORMALIZED.csv8,Brookdale Carlsbad,,,,,,,,,,,,,(760) 720 9898,,,,,Assisted Living;Continuing Care,,,,,,,,,,,,,,,,,,,,,,,,S-h Opco Carlsbad; Bkd Twenty-one Managment,,,,"Hightower, Sasha",,,374603618,,,,,,,,,,,,,,,,,,,,,,3140 El Camino Real,,,Carlsbad,CA,92008,US
USA-CA-54-CA-CommunityCare-output-NORMALIZED.csv9,Brookdale Carmel Valley,,,,,,,,,,,,,(858) 259 2222,,,,,Assisted Living;Continuing Care,,,,,,,,,,,,,,,,,,,,,,,,S-h Opco Carmel Valley; Bkd Twenty-one Managment,,,,"Mcdonald, Jason",,,374603617,,,,,,,,,,,,,,,,,,,,,,13101 Hartfield Ave,,,San Diego,CA,92130,US
USA-CA-54-CA-CommunityCare-output-NORMALIZED.csv10,Brookdale Fountaingrove,,,,,,,,,,,,,(707) 566 8600,,,,,Assisted Living;Continuing Care,,,,,,,,,,,,,,,,,,,,,,,,Emeritus Corporation,,,,"Devine, Daniel",,,496803519,,,,,,,,,,,,,,,,,,,,,,300 Fountaingrove Pkwy,,,Santa Rosa,CA,95403,US
USA-CA-54-CA-CommunityCare-output-NORMALIZED.csv11,Brookdale Northridge,,,,,,,,,,,,,(818) 886 1616,,,,,Assisted Living;Continuing Care,,,,,,,,,,,,,,,,,,,,,,,,Emeritus Corporation,,,,"Pachorek, Cyndie",,,197608720,,,,,,,,,,,,,,,,,,,,,,17650 W Devonshire St,,,Northridge,CA,91325,US
