row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,county,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_city,mail_co_province,mail_co_postal_code,street_address,po_box,city,province,postal_code,country,facility_type
USA-CO-72-AssistedLiving-72-AssistedLiving-1,A FEATHERED NEST AT THORNTON,,,,,,,,,,,, MS ANNETTE FARRELL, (303)453-0810,, (303)453-0810,,Medicaid, PROFIT-CORPORATION,,,ADAMS COUNTY,,7,, (303)480-5624,,,,,,11540 MILWAUKEE ST,,THORNTON,CO,80233,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-2,A LEGACY PERSONAL CARE HOME,,,,,,,,,,,, Mr SCOTT BOYLE, (303)783-4989,, (303)635-6719,,Private, PROFIT-CORPORATION,,,ARAPAHOE COUNTY,,8,, (303)480-5624,,,,,,4050 SOUTH FOX STREET,,ENGLEWOOD,CO,80110,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-3,A LOVING HAND ASSISTED LIVING INC,,,,,,,,,,,, Ms JANNELLE MOLINA, (303)782-6951,, (303)504-6038,,Medicaid, PROFIT-CORPORATION,,,ARAPAHOE COUNTY,,8,, (303)480-5624,,,,,,3079 S HOLLY PLACE,,DENVER,CO,80222,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-4,A ROBIN'S NEST,,,,,,,,,,,, MS MARY LOUISE KOURI, (719)226-2941,, (719)226-2942,,Private, PROFIT-CORPORATION,,,EL PASO COUNTY,,8,, (719)471-7080,,,,,,3182 E OAK CREEK DR,,COLORADO SPRINGS,CO,80906,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-5,A WILDFLOWER ASSISTED LIVING,,,,,,,,,,,, Ms NICOLE SCHIAVONE, (303)463-4363,, (303)422-1795,,Medicaid, PROFIT-CORPORATION,,,JEFFERSON COUNTY,,8,, (303)480-5624, A WILDFLOWER ASSISTED LIVING,"1140 US HIGHWAY 287, SUITE 400-298",BROOMFIELD,CO,80020,6197 W 83RD WAY,,ARVADA,CO,80003,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-6,A WILDFLOWER ASSISTED LIVING AND CARE HOME,,,,,,,,,,,, Ms NICOLE SCHIAVONE, (303)650-5450,, (303)650-5450,,Medicaid, PROFIT-CORPORATION,,,ADAMS COUNTY,,8,, (303)480-5624, A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,"1140 US HWY 287, 400-298",BROOMFIELD,CO,80020,8823 PRINCETON STREET,,WESTMINSTER,CO,80030,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-7,A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,,,,,,,,,,,, Ms NICOLE SCHIAVONE, (303)424-0523,, (866)941-0523,,Medicaid, PROFIT-CORPORATION,,,JEFFERSON COUNTY,,8,, (303)480-5624, A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,1140 US HWY 287 #400-298,BROOMFIELD,CO,80020,9423 W 64TH AVENUE,,ARVADA,CO,80004,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-8,A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,,,,,,,,,,,, Ms NICOLE SCHIAVONE, (303)728-9238,, (303)728-9239,,Medicaid, PROFIT-CORPORATION,,,ADAMS COUNTY,,5,, (303)480-5624, A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,1140 US HWY 287 UNIT 400-298,BROOMFIELD,CO,80020,10130 MELODY DR,,NORTHGLENN,CO,80260,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-9,ABBEY ROAD ASSISTED LIVING ULSTER,,,,,,,,,,,, Ms LAURIE WILSON, (720)488-6609,, (303)771-0998,,Medicaid, PROFIT-CORPORATION,,,ARAPAHOE COUNTY,,10,, (303)480-5624, ABBEY ROAD ASSISTED LIVING-ULSTER,2760 W RIVERWALK CR UNIT B,LITTLETON,CO,80123,7347 SOUTH ULSTER STREET,,CENTENNIAL,CO,80112,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-10,ABBEY ROAD ASSISTED LIVING-NEWPORT,,,,,,,,,,,, Ms LAURIE WILSON, (720)529-6772,, (303)771-0280,,Medicaid, PROFIT-CORPORATION,,,ARAPAHOE COUNTY,,9,, (303)480-5624, ABBEY ROAD ASSISTED LIVING,2760 W. RIVERWALK CIRCLE UNIT B,LITTLETON,CO,80123,8155 S NEWPORT WAY,,CENTENNIAL,CO,80112,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-11,ABBYS ASSISTED LIVING I,,,,,,,,,,,,  SULASTRI ARDOIN, (720)338-3606,, (303)504-0850,,Private, LIMITED LIABILITY,,,ARAPAHOE COUNTY,,8,, (303)480-5624,,,,,,2607 S EUDORA PLACE,,DENVER,CO,80222,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-12,ABBYS ASSISTED LIVING II,,,,,,,,,,,,  SULASTRI ARDOIN, (720)338-3606,, (303)504-0850,,Medicaid, LIMITED LIABILITY,,,DENVER COUNTY,,8,, (303)480-5624, ABBY'S ASSISTED LIVING II,2607 S. EUDORA PLACE,DENVER,CO,80222,3071 S ROSEMARY STREET,,DENVER,CO,80231,USA,Assisted Living
