row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,county,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_po_box,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,dqa_region_category,license_level,ownership,contact_occupation,certification_types,provider_number,gender,initial_license,certification_fee_due,licensee_name,licensee_phone,licensee_contact,licensee_street_address,licensee_city,licensee_province,licensee_postal_code,licensee_country,low_high_rate,type,specialty_programs,home_and_community_based_services,ceritifications,currently_occupied_as_of,currently_occupied_beds,street_address,po_box,city,province,postal_code,country
USA-CO-74-All-74-All-1,2ND HOME ADULT DAY SERVICE CENTER OF AURORA LLC,,,,,,,,,,,,Mr HANEEN OMAR,(303)999-7763,,,,,LIMITED LIABILITY,,,,ADAMS COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,10730 EAST ILIFF AVE,,AURORA,CO,80014,USA
USA-CO-74-All-74-All-2,ABSOLUTE ADULT DAY PROGRAM,,,,,,,,,,,,SVETLANA HOPCUS,(303)534-0321,,(303)534-1757,,,,,,,JEFFERSON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,12500 W58TH AVE #103,,ARVADA,CO,80002,USA
USA-CO-74-All-74-All-3,ACTIVE HEARTS ADULT DAY PROGRAM,,,,,,,,,,,,OLGA SHAPOVALOVA,(720)477-1717,,(720)477-1718,,,LIMITED LIABILITY,,,,DENVER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,3000 S WADSWORTH BOULEVARD,,DENVER,CO,80227,USA
USA-CO-74-All-74-All-4,ADULT CARE SERVICES,,,,,,,,,,,,Ms ERIN EULENFELD,(970)266-5443,,(970)472-5836,,,,,,,LARIMER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,400 WOOD STREET,,FORT COLLINS,CO,80521,USA
USA-CO-74-All-74-All-5,AGAPE CARE ADULT DAY PROGRAM,,,,,,,,,,,,TONJA ABIAKAM,(303)368-7200,,(303)368-7202,,,PARTNERSHIP,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,3131 S VAUGHN WAY STE 110,,AURORA,CO,80014,USA
USA-CO-74-All-74-All-6,ALPINE ADULT DAY CARE LLC,,,,,,,,,,,,Ms ANNA KASSNER,(303)755-8002,,(303)755-8003,,,,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,1985 S HAVANA STREET,,AURORA,CO,80014,USA
USA-CO-74-All-74-All-7,ALTA VISTA ALTERNATIVES,,,,,,,,,,,,Mr DUANE ROY,(719)846-4631,,(719)846-4608,,,CITY-COUNTY,,,,LAS ANIMAS COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,415 S INDIANA AVE,,TRINIDAD,CO,81082,USA
USA-CO-74-All-74-All-8,"AMISTAD OF SAN LUIS, INC",,,,,,,,,,,,MS ANN FUNK,(719)672-0892,,,,,PROFIT-CORPORATION,,,,COSTILLA COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program/Brain Injury  - Medicaid Certified,,,,403 MAIN ST,,SAN LUIS,CO,81152,USA
USA-CO-74-All-74-All-9,"ASPEN ADULT DAY CARE, INC",,,,,,,,,,,,FLORINA LAZAREV,(303)320-0048,,(303)320-0089,,,PROFIT-CORPORATION,,,,DENVER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,8810 E HAMPDEN AVE # 103,,DENVER,CO,80231,USA
USA-CO-74-All-74-All-10,AUTHENTIC ADULT DAY SERVICES INC,,,,,,,,,,,,Mr ABDIRASHID SAYID,(720)404-7502,,(720)111-1111,,,PROFIT-CORPORATION,,,,ADAMS COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,16251 E COLAX AVENUE,,AURORA,CO,80011,USA
USA-CO-74-All-74-All-11,AZA ADULT DAY CARE,,,,,,,,,,,,Ms AAZA ABAAS,(303)696-2600,,(303)745-2721,,,PROFIT-CORPORATION,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,10691 E BETHANY DR SUITE #200,,AURORA,CO,80014,USA
USA-CO-74-All-74-All-12,BELMONT SENIOR CARE,,,,,,,,,,,,ANDREA SANCHEZ,(719)544-3999,,,,,PROFIT-CORPORATION,,,,PUEBLO COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,#3 DOUGLAS CT,,PUEBLO,CO,81001,USA
USA-CO-74-All-74-All-13,BEST FRIENDS ADULT SERVICES AND TRANSPORTATION,,,,,,,,,,,,ZHANETA EFROS,(303)695-0500,,(303)695-0501,,,PROFIT-CORPORATION,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,2600 S PARKER RD BUILDING 1 UNIT #111,,AURORA,CO,80014,USA
USA-CO-74-All-74-All-14,BMH CORP LLC,,,,,,,,,,,,YULIYA GOSTISHCHEVA,(720)382-0133,,(303)923-3395,,,,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,13140 E MISSISSIPPI,,AURORA,CO,80012,USA
USA-CO-74-All-74-All-15,"CARE LINK, INC",,,,,,,,,,,,Ms MOLLY MCLEAN,(720)562-4477,,(303)554-7142,,,CORPORATE NON-PROFIT,,,,BOULDER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,3434 47TH STREET SUITE 100,,BOULDER,CO,80301,USA
USA-CO-74-All-74-All-16,CAREPROX LLC,,,,,,,,,,,,VICTOR GAB-OJUKWU,(720)285-7033,,(720)845-7195,,,LIMITED LIABILITY,,,,DENVER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,7000 BROADWAY SUITE 204,,DENVER,CO,80221,USA
USA-CO-74-All-74-All-17,CARING HANDS TRANSPORT,,,,,,,,,,,,OKECHI NOBLES,(888)696-1993,,(720)485-3752,,,LIMITED LIABILITY,,,,ADAMS COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,886 EAST 78TH AVENUE,,DENVER,CO,80229,USA
USA-CO-74-All-74-All-18,CENTER FOR PEOPLE WITH DISABILITIES,,,,,,,,,,,,Ms MARIA STEPANYAN,(303)442-8662,,(303)442-8662,,,CORPORATE NON-PROFIT,,,,BOULDER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program/Brain Injury  - Medicaid Certified,,,,1675 RANGE ST,,BOULDER,CO,80301,USA
USA-CO-74-All-74-All-19,CENTURA ADULT DAY PROGRAM,,,,,,,,,,,,Ms JACKIE LEECH,(303)964-2355,,(303)964-2340,,,CORPORATE NON-PROFIT,,,,DENVER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,2835 W 32ND AVE,,DENVER,CO,80211,USA
USA-CO-74-All-74-All-20,CHARLES AND FRANCES JOHNSON CENTER ADC PROGRAM,,,,,,,,,,,,Ms REBECCA HOWARD,(303)789-1519,,(303)789-7642,,,CORPORATE NON-PROFIT,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,3444 S EMERSON ST,,ENGLEWOOD,CO,80113,USA
USA-CO-74-All-74-All-21,CHRISTIAN LIVING COMMUNITIES ADULT DAY SERVICES,,,,,,,,,,,,Ms RENEE GARDNER,(720)974-3575,,(720)974-3610,,,,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,5000 EAST ARAPAHOE ROAD,,CENTENNIAL,CO,80122,USA
USA-CO-74-All-74-All-22,CIRCLE J ADULT DAY CARE SERVICES,,,,,,,,,,,,JILL POOLE,(303)371-1241,,(303)371-3478,,,,,,,ADAMS COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,2001 JAMAICA STREET,,AURORA,CO,80010,USA
USA-CO-74-All-74-All-23,COLORADO SPIRIT ADULT DAY CARE INC,,,,,,,,,,,,DILOVAR ABDULLOEV,(303)754-3344,,(303)745-1409,,,,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,10610 E BETHANY DRIVE,,AURORA,CO,80014,USA
USA-CO-74-All-74-All-24,COMMUNITY LINK INC,,,,,,,,,,,,TONIA DAILEY,(719)622-1556,,(719)622-0864,,,,,,,EL PASO COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,2375 N ACADEMY BLVD,,COLORADO SPRINGS,CO,80903,USA
USA-CO-74-All-74-All-25,DAYBREAK - AN ADULT DAY PROGRAM,,,,,,,,,,,,MS PAULA LEVY,(719)687-3000,,(719)687-3002,,,AK - AN ADULT DAY PROGRAM,,,,TELLER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,404 N HIGHWAY 67,,WOODLAND PARK,CO,80863,USA
USA-CO-74-All-74-All-26,DAYBREAK ADULT CARE SERVICES,,,,,,,,,,,,MR GEORGE RADNEY,(303)307-8855,,(303)307-8666,,,INDIVIDUAL,,,,DENVER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,4705 PARIS STREET #100,,DENVER,CO,80239,USA
USA-CO-74-All-74-All-27,DAY-BY-DAY,,,,,,,,,,,,BARBARA MAZZELLA,(970)874-4195,,(970)874-4298,,,,,,,DELTA COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,1402 HOWARD STREET,,DELTA,CO,81416,USA
USA-CO-74-All-74-All-28,DOLCHE VITA ADC INC,,,,,,,,,,,,Ms IRINA SENATOROVA,(720)343-0363,,(303)766-9320,,,PROFIT-CORPORATION,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,13140 E MISSISSIPPI AVENUE,,AURORA,CO,80012,USA
USA-CO-74-All-74-All-29,EASTER SEALS COLORADO,,,,,,,,,,,,PIPER SHEAR,(303)274-5415,,(720)278-7862,,,SEALS COLORADO,,,,JEFFERSON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,1755 DOVER STREET,,LAKEWOOD,CO,80215,USA
USA-CO-74-All-74-All-30,ELDERHAUS,,,,,,,,,,,,MS JOANNE JOHNSEN,(970)221-0406,,(970)221-9965,,,CORPORATE NON-PROFIT,,,,LARIMER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program/Brain Injury  - Medicaid Certified,,,,6813 S COLLEGE AVE,,FORT COLLINS,CO,80525,USA
