name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Academy Point at Mystic,,,,,,,,,,,,,,,,,,(860) 536-1133,,,http://www.benchmarkquality.com,,,,,,,,,,,,,,Assisted Living,,,,20 Academy Lane,,,Mystic,,,CT,,6355,US,41.3570583,-71.9715588,Mystic
Alzheimer’s Resource Center of Connecticut,,,,,,,,,,,,,,,,,,(860) 628-3058,,,,,,,,,,,,,,,,,Assisted Living,,,,1261 South Main Street,,,Planstville,,,CT,,6479,US,41.57327180000001,-72.8944969,Plantsville
Arbor Rose at Jerome Home,,,,,,,,,,,,,,,,,,860 229 3707,,,http://www.jeromehome.com/Content/Arbor_Rose.asp,,,,,,,,,,,,,,Assisted Living,,,,975 Corbin Avenue,,,New Britain,,,CT,,6051,US,41.6626872,-72.8035271,
Arbors at Hop Brook,,,,,,,,,,,,,,,,,,(860) 646-0129,,,,,,,,,,,,,,,,,Assisted Living,,,,403 West Center Street,,,Manchester,,,CT,,6040,US,41.77027679999999,-72.55402260000001,Verplanck
Arden Courts of Avon,,,,,,,,,,,,,,,,,,(860) 678-7500,,,,,,,,,,,,,,,,,Assisted Living,,,,100 Fisher Drive,,,Avon,,,CT,,6001,US,41.8173907,-72.8336003,
Arden Courts of Farmington,,,,,,,,,,,,,,,,,,(860) 677-4060,,,,,,,,,,,,,,,,,Assisted Living,,,,45 South Road,,,Farmington,,,CT,,6032,US,41.725452,-72.79843749999999,
Arden Courts of Hamden,,,,,,,,,,,,,,,,,,(203) 281-5700,,,,,,,,,,,,,,,,,Assisted Living,,,,153 Leeder Hill Road,,,Hamden,,,CT,,6517,US,41.3454461,-72.9202608,
Atria Cross Road Place,,,,,,,,,,,,,,,,,,(860) 444-6700,,,,,,,,,,,,,,,,,Assisted Living,,,,1 Beechwood Drive,,,Waterford,,,CT,,6385,US,41.3666816,-72.1574347,
Atria Darien,,,,,,,,,,,,,,,,,,(203) 662-1090,,,,,,,,,,,,,,,,,Assisted Living,,,,50 Ledge Road,,,Darien,,,CT,,6820,US,41.0724035,-73.483632,
Atria Greenridge Place,,,,,,,,,,,,,,,,,,(860) 257-0000,,,,,,,,,,,,,,,,,Assisted Living,,,,1 Elizabeth Court,,,Rocky Hill,,,CT,,6067,US,41.6689602,-72.6742324,
Atria Hamilton Heights Place,,,,,,,,,,,,,,,,,,(860) 523-9333,,,,,,,,,,,,,,,,,Assisted Living,,,,1 Hamilton Heights Drive,,,West Hartford,,,CT,,6119,US,41.768462,-72.723298,
Atria Larson Place,,,,,,,,,,,,,,,,,,(203) 248-8880,,,,,,,,,,,,,,,,,Assisted Living,,,,1450 Whitney Avenue,,,Hamden,,,CT,,6517,US,41.3534278,-72.9144123,
Atria Stamford,,,,,,,,,,,,,,,,,,(203) 327-4551,,,,,,,,,,,,,,,,,Assisted Living,,,,77 Third Street,,,Stamford,,,CT,,6905,US,41.0650047,-73.538714,Newfield - Westover - Turn of River
Atria Stratford ,,,,,,,,,,,,,,,,,,(203) 380-0006,,,http://www.Atriaseniorliving.com,,,,,,,,,,,,,,Assisted Living,,,,6911 Main Street,,,Stratford,,,CT,,6114,US,41.2473711,-73.1028511,
Atrium at Rocky Hill,,,,,,,,,,,,,,,,,,860-563-5588,,,http://www.benchmarkquality.com,,,,,,,,,,,,,,Assisted Living,,,,1160 Elm St,,,Rocky Hill,,,CT,,6067,US,41.65831190000001,-72.6774293,
Avery Heights,,,,,,,,,,,,,,,,,,(860) 953-1201,,,,,,,,,,,,,,,,,Assisted Living,,,,705 New Britain Avenue,,,Hartford,,,CT,,6106,US,41.7331526,-72.70498239999999,South West
Benchmark Senior Living at Split Rock,,,,,,,,,,,,,,,,,,203 301 8866,,,http://www.benchmarkatsplitrock.com,,,,,,,,,,,,,,Assisted Living,,,,708A Bridgeport Avenue,,,Shelton,,,CT,,6484,US,41.2766305,-73.12262729999999,
"Brandywine Assisted Living at Litchfield, The Sarah Pierce Community",,,,,,,,,,,,,,,,,,(860) 567-950019,,,http://www.brandycare.com,,,,,,,,,,,,,,Assisted Living,,,,Constitution Way,,,Litchfield,,,CT,,6759,US,41.7417218,-73.2041898,
Brightview on New Canaan,,,,,,,,,,,,,,,,,,(203) 857 1836,,,http://newcanaanct.brightviewseniorliving.com/CommunityHome.aspx,,,,,,,,,,,,,,Assisted Living,,,,162 New Canaan Avenue,,,Norwalk,,,CT,,6850,US,41.1298058,-73.4392354,
Brookdale at Woodbridge ,,,,,,,,,,,,,,,,,,(203) 389-2911,,,https://www.brookdale.com,,,,,,,,,,,,,,Assisted Living,,,,330 Amity Road,,,Woodbridge,,,CT,,,US,41.349044,-72.990252,
Brookdale at Rocky Hill ,,,,,,,,,,,,,,,,,,(860) 257-3820,,,https://www.brookdale.com,,,,,,,,,,,,,,Assisted Living,,,,60 Cold Spring Road,,,Rocky Hill,,,CT,,6067,US,41.64088599999999,-72.6817001,
Brookdale at South Windsor ,,,,,,,,,,,,,,,,,,(860) 644-4408,,,https://www.brookdale.com,,,,,,,,,,,,,,Assisted Living,,,,1715 Ellington Road,,,South Windsor,,,CT,,6074,US,41.8253125,-72.5572679,
