row_id,Facility Name,Address1,Address2,City,Zip,State,Phone,Website,Country,facility_type
USA-CT-75-CT-AL-output-1,Academy Point at Mystic,20 Academy Lane,,Mystic,6355,CT,(860) 536-1133,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-2,Alzheimer’s Resource Center of Connecticut,1261 South Main Street,,Planstville,6479,CT,(860) 628-3058,,US,Assisted Living
USA-CT-75-CT-AL-output-3,Arbor Rose at Jerome Home,975 Corbin Avenue,,New Britain,6051,CT,860 229 3707,http://www.jeromehome.com/Content/Arbor_Rose.asp,US,Assisted Living
USA-CT-75-CT-AL-output-4,Arbors at Hop Brook,403 West Center Street,,Manchester,6040,CT,(860) 646-0129,,US,Assisted Living
USA-CT-75-CT-AL-output-5,Arden Courts of Avon,100 Fisher Drive,,Avon,6001,CT,(860) 678-7500,,US,Assisted Living
USA-CT-75-CT-AL-output-6,Arden Courts of Farmington,45 South Road,,Farmington,6032,CT,(860) 677-4060,,US,Assisted Living
USA-CT-75-CT-AL-output-7,Arden Courts of Hamden,153 Leeder Hill Road,,Hamden,6517,CT,(203) 281-5700,,US,Assisted Living
USA-CT-75-CT-AL-output-8,Atria Cross Road Place,1 Beechwood Drive,,Waterford,6385,CT,(860) 444-6700,,US,Assisted Living
USA-CT-75-CT-AL-output-9,Atria Darien,50 Ledge Road,,Darien,6820,CT,(203) 662-1090,,US,Assisted Living
USA-CT-75-CT-AL-output-10,Atria Greenridge Place,1 Elizabeth Court,,Rocky Hill,6067,CT,(860) 257-0000,,US,Assisted Living
USA-CT-75-CT-AL-output-11,Atria Hamilton Heights Place,1 Hamilton Heights Drive,,West Hartford,6119,CT,(860) 523-9333,,US,Assisted Living
USA-CT-75-CT-AL-output-12,Atria Larson Place,1450 Whitney Avenue,,Hamden,6517,CT,(203) 248-8880,,US,Assisted Living
USA-CT-75-CT-AL-output-13,Atria Stamford,77 Third Street,,Stamford,6905,CT,(203) 327-4551,,US,Assisted Living
USA-CT-75-CT-AL-output-14,Atria Stratford ,6911 Main Street,,Stratford,6114,CT,(203) 380-0006,http://www.Atriaseniorliving.com,US,Assisted Living
USA-CT-75-CT-AL-output-15,Atrium at Rocky Hill,1160 Elm St,,Rocky Hill,6067,CT,860-563-5588,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-16,Avery Heights,705 New Britain Avenue,,Hartford,6106,CT,(860) 953-1201,,US,Assisted Living
USA-CT-75-CT-AL-output-17,Benchmark Senior Living at Split Rock,708A Bridgeport Avenue,,Shelton,6484,CT,203 301 8866,http://www.benchmarkatsplitrock.com,US,Assisted Living
USA-CT-75-CT-AL-output-18,"Brandywine Assisted Living at Litchfield, The Sarah Pierce Community",Constitution Way,,Litchfield,6759,CT,(860) 567-950019,http://www.brandycare.com,US,Assisted Living
USA-CT-75-CT-AL-output-19,Brightview on New Canaan,162 New Canaan Avenue,,Norwalk,6850,CT,(203) 857 1836,http://newcanaanct.brightviewseniorliving.com/CommunityHome.aspx,US,Assisted Living
USA-CT-75-CT-AL-output-20,Brookdale at Woodbridge ,330 Amity Road,,Woodbridge,,CT,(203) 389-2911,https://www.brookdale.com,US,Assisted Living
USA-CT-75-CT-AL-output-21,Brookdale at Rocky Hill ,60 Cold Spring Road,,Rocky Hill,6067,CT,(860) 257-3820,https://www.brookdale.com,US,Assisted Living
USA-CT-75-CT-AL-output-22,Brookdale at South Windsor ,1715 Ellington Road,,South Windsor,6074,CT,(860) 644-4408,https://www.brookdale.com,US,Assisted Living
USA-CT-75-CT-AL-output-23,Brookdale at Litchfield Hills,376 Goshen Road,,Torrington,6790,CT,(860) 489-8022,https://www.brookdale.com,US,Assisted Living
USA-CT-75-CT-AL-output-24,Brookdale at Buckingham Estates ,1824 Manchester Road,,Glastonbury,6033,CT,(860) 647-1695,https://www.brookdale.com,US,Assisted Living
USA-CT-75-CT-AL-output-25,Brookdale at Mountain Laurel,1177 Hebron Ave,,Glastonbury,6033,CT,(860) 652-3444,https://www.brookdale.com,US,Assisted Living
USA-CT-75-CT-AL-output-26,Brookdale of West Hartford ,22 Simsbury Road,,West Hartford,6117,CT,(860) 523-9899,http://www.brookdaleliving.com/brookdale-place-west-hartford.aspx,US,Assisted Living
USA-CT-75-CT-AL-output-27,Carriage Green at Milford,77 Plains Road,,Milford,6461,CT,(203) 874-4408,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-28,The Cascades,13 Park Lawn Drive,,Bethel,6801,CT,(203) 830-4180,http://www.bethelhealthcare.com,US,Assisted Living
USA-CT-75-CT-AL-output-29,Cedar Mountain Commons,3 John H. Stewart Drive,,Newington,6111,CT,(860) 665-7901,http://www.cedarmountaincommons.org,US,Assisted Living
USA-CT-75-CT-AL-output-30,Coachman Square at Woodbridge,21 Bradley Road,,Woodbridge,6525,CT,(203) 397-7544,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-31,Colebrook Village at Hebron,105 Main Street,PO Box 1327,Hebron,6248,CT,860-801-1114,http://www.colebrookvillage.com/,US,Assisted Living
USA-CT-75-CT-AL-output-32,Convenant Village of Cromwell,52 Missionary Road,,Cromwell,6416,CT,(860) 635-5511,,US,Assisted Living
USA-CT-75-CT-AL-output-33,Creamery Brook Retirement Village,36 Vina Lane,,Brooklyn,6234,CT,(860) 779 8700,http://www.creamerybrook.com,US,Assisted Living
USA-CT-75-CT-AL-output-34,Crescent Point at Niantic,417 Main Street,,Niantic,6357,CT,(860) 739-9479,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-35,Crosby Commons,580 Long Hill Avenue,,Shelton,6484,CT,(203) 225-5000,http://www.wesleyvillage-ct.org,US,Assisted Living
USA-CT-75-CT-AL-output-36,Duncaster,40 Loeffler Road,,Bloomfield,6002,CT,(860) 726-2000,,US,Assisted Living
USA-CT-75-CT-AL-output-37,Edgehill,122 Palmers Hill Road,,Stamford,6902,CT,(203) 323-2323,,US,Assisted Living
USA-CT-75-CT-AL-output-38,Epoch Senior Living – Bridges by Epoch at Trumbull,1177 Hebron Ave,,Glastonbury,6033,CT,203 397 6800,http://www.bridgesbyepoch.com/communities/trumbull-ct,US,Assisted Living
USA-CT-75-CT-AL-output-39,Essex Meadows,30 Bokum Road,,Essex,6426,CT,(860) 767-7201,http://www.essexmeadows.com,US,Assisted Living
USA-CT-75-CT-AL-output-40,Evergreen Woods,88 Notch Hill Road,,North Branford,6471,CT,(860) 483-3242,,US,Assisted Living
USA-CT-75-CT-AL-output-41,Gables at Farmington,20 Devonwood Drive,,Farmington,6032,CT,(860) 677-1772,http://www.brookdaleliving.com/the-gables-at-farmington.aspx,US,Assisted Living
