name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Arden Courts of Wilmington,,,,,,,,,,,,,,,,,,302-762-7800,,,,,,,,,,,,,,,,,Assisted Living,,,,700 1/2 Foulk Rd.,,,Wilmington,,,DE,,19803-3708,US,39.7871519,-75.533408,
Brandywine Senior Living at Fenwick Island,,,,,,,,,,,,,,,,,,302-436-0808,,,,,,,,,,,,,,,,,Assisted Living,,,,21111 Arrington Drive,,,Selbyville,,,DE,,19975,US,38.4704089,-75.11731859999999,
Brandywine Senior Living at Seaside Pointe,,,,,,,,,,,,,,,,,,302-226-8750,,,,,,,,,,,,,,,,,Assisted Living,,,,36101 Seaside Blvd.,,,Rehoboth Beach,,,DE,,19971-1189,US,38.72377829999999,-75.1192171,
Brookdale Dover,,,,,,,,,,,,,,,,,,302-674-4407,,,,,,,,,,,,,,,,,Assisted Living,,,,150 Saulsbury Road,,,Dover,,,DE,,19904-2776,US,39.1624702,-75.5451702,
Brookdale Hockessin,,,,,,,,,,,,,,,,,,302-239-3200,,,,,,,,,,,,,,,,,Assisted Living,,,,6677 Lancaster Pike,,,Hockessin,,,DE,,19707-9503,US,39.7722392,-75.6660035,
Brookdale White Chapel,,,,,,,,,,,,,,,,,,302-366-8100,,,,,,,,,,,,,,,,,Assisted Living,,,,200 E. Village Road,,,Newark,,,DE,,19711-3845,US,39.6764296,-75.7300506,
Cadbury at Lewes  Assisted Living,,,,,,,,,,,,,,,,,,302-645-6400,,,,,,,,,,,,,,,,,Assisted Living,,,,17028 Cadbury Circle,,,Lewes,,,DE,,19958-7028,US,38.7557439,-75.14100859999999,
Dover Place,,,,,,,,,,,,,,,,,,302-735-8800,,,,,,,,,,,,,,,,,Assisted Living,,,,1203 Walker Road,,,Dover,,,DE,,19904-6541,US,39.16947869999999,-75.55317889999999,
"Five Star Foulk Manor North LLC, Assisted Living",,,,,,,,,,,,,,,,,,302-478-4296,,,,,,,,,,,,,,,,,Assisted Living,,,,1212 Foulk Road,,,Wilmington,,,DE,,19803-2741,US,39.7953783,-75.5253549,
Forwood Manor Assisted Living,,,,,,,,,,,,,,,,,,302-529-1601,,,,,,,,,,,,,,,,,Assisted Living,,,,1912 Marsh Road,,,Wilmington,,,DE,,19810-3954,US,39.8094194,-75.50144089999999,
Foulk Manor South Assisted Living,,,,,,,,,,,,,,,,,,302-655-6249,,,,,,,,,,,,,,,,,Assisted Living,,,,407 Foulk Road,,,Wilmington,,,DE,,19803-3809,US,39.78389809999999,-75.5400288,
"Ingleside Assisted Living, LLC",,,,,,,,,,,,,,,,,,302-984-0950,,,,,,,,,,,,,,,,,Assisted Living,,,,1605 North Broom Street,,,Wilmington,,,DE,,19806-3009,US,39.75646959999999,-75.5584676,Trolley Square
"Ivy Gables LTD, LLC.",,,,,,,,,,,,,,,,,,302-475-9400,,,,,,,,,,,,,,,,,Assisted Living,,,,2210 Swiss Lane,,,Wilmington,,,DE,,19810-4241,US,39.808642,-75.48440099999999,
Lodge Lane Assisted Living,,,,,,,,,,,,,,,,,,302-757-8100,,,,,,,,,,,,,,,,,Assisted Living,,,,1221 Lodge Lane,,,Wilmington,,,DE,,19809,US,39.7623539,-75.4943329,
Luther Towers I,,,,,,,,,,,,,,,,,,302-654-4491,,,,,,,,,,,,,,,,,Assisted Living,,,,1201 North Harrison Street,,,Wilmington,,,DE,,19806-3534,US,39.7532326,-75.5579947,Trolley Square
Luther Towers II,,,,,,,,,,,,,,,,,,302-654-4491,,,,,,,,,,,,,,,,,Assisted Living,,,,1420 North Franklin Street,,,Wilmington,,,DE,,19806-3187,US,39.75430539999999,-75.55720509999999,Trolley Square
Milford Place,,,,,,,,,,,,,,,,,,302-422-8700,,,,,,,,,,,,,,,,,Assisted Living,,,,500 S. DuPont Highway,,,Milford,,,DE,,19963-1758,US,38.9049427,-75.4434512,
Millcroft Assisted Living,,,,,,,,,,,,,,,,,,302-366-0160,,,,,,,,,,,,,,,,,Assisted Living,,,,255 Possum Park Rd.,,,Newark,,,DE,,19711-3877,US,39.7083613,-75.7351501,
OakBridge Terrace Assisted Living at Manor House,,,,,,,,,,,,,,,,,,302-629-4593,,,,,,,,,,,,,,,,,Assisted Living,,,,1001 Middleford Road,,,Seaford,,,DE,,19973-3638,US,38.64201600000001,-75.6008035,
OakBridge Terrace at Cokesbury Village,,,,,,,,,,,,,,,,,,302-234-4444,,,,,,,,,,,,,,,,,Assisted Living,,,,726 Loveville Road,,,Hockessin,,,DE,,19707-1519,US,39.7737917,-75.6621685,
OakBridge Terrace at Country House,,,,,,,,,,,,,,,,,,302-654-5101,,,,,,,,,,,,,,,,,Assisted Living,,,,4830 Kennett Pike,,,Wilmington,,,DE,,19807-1899,US,39.79496,-75.61219799999999,
Peach Tree Acres Assisted Living,,,,,,,,,,,,,,,,,,302-684-4002,,,,,,,,,,,,,,,,,Assisted Living,,,,26900 Lewes-Georgetown Highway,,,Harbeson,,,DE,,19951-2855,US,38.72674559999999,-75.2692831,
Rockland Place,,,,,,,,,,,,,,,,,,302-777-3099,,,,,,,,,,,,,,,,,Assisted Living,,,,1519 Rockland Road,,,Wilmington,,,DE,,19803-3611,US,39.7836533,-75.5552562,
Serenity Gardens Assisted Living,,,,,,,,,,,,,,,,,,302-464-1481,,,,,,,,,,,,,,,,,Assisted Living,,,,207 Ruth Drive,,,Middletown,,,DE,,19709-9470,US,39.480826,-75.66895699999999,
Shipley Manor Assisted Living,,,,,,,,,,,,,,,,,,302-479-0111,,,,,,,,,,,,,,,,,Assisted Living,,,,2723 Shipley Road,,,Wilmington,,,DE,,19810-3251,US,39.815962,-75.533781,
Somerford House,,,,,,,,,,,,,,,,,,302-266-9255,,,,,,,,,,,,,,,,,Assisted Living,,,,501 South Harmony Road,,,Newark,,,DE,,19713-3338,US,39.6829986,-75.68145799999999,
Somerford Place,,,,,,,,,,,,,,,,,,302-283-0540,,,,,,,,,,,,,,,,,Assisted Living,,,,4175 Ogletown-Stanton Road,,,Newark,,,DE,,19713-4168,US,39.6844465,-75.6822335,
State Street Assisted Living,,,,,,,,,,,,,,,,,,302-674-2144,,,,,,,,,,,,,,,,,Assisted Living,,,,21 North State Street,,,Dover,,,DE,,19901,US,39.1624756,-75.5254416,
Sunrise Assisted Living of Wilmington,,,,,,,,,,,,,,,,,,302-475-9163,,,,,,,,,,,,,,,,,Assisted Living,,,,2215 Shipley Road,,,Wilmington,,,DE,,19803-2305,US,39.80338089999999,-75.53389419999999,
The Lorelton,,,,,,,,,,,,,,,,,,302-573-3580,,,,,,,,,,,,,,,,,Assisted Living,,,,2200 West 4th St.,,,Wilmington,,,DE,,19805-3362,US,39.7501067,-75.5761095,The Flats
The Summit Assisted Living,,,,,,,,,,,,,,,,,,302-235-8743,,,,,,,,,,,,,,,,,Assisted Living,,,,5850 Limestone Road,,,Hockessin,,,DE,,19707,US,39.7543938,-75.7043193,
Westminster Village Assisted Living,,,,,,,,,,,,,,,,,,302-744-3558,,,,,,,,,,,,,,,,,Assisted Living,,,,1167 McKee Road,,,Dover,,,DE,,19904-2268,US,39.17553210000001,-75.55257139999999,
