row_id,﻿Facility Name,Address1,City,Zip,State,Phone,State Licensed Beds,Licsening Information,Country,facility_type
USA-DE-77-DE-NursingHomes-output-1,Atlantic Shores Rehabilitation & Health Center,231 South Washington St.,Millsboro,19966-1236,DE,302-934-7300,181,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-2,Brackenville Center,100 Saint Claire Dr.,Hockessin,19707-8906,DE,302-234-5420,104,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-3,Brandywine Nursing and Rehabilitation Center,505 Greenbank Rd.,Wilmington,19808-3164,DE,302-998-0101,169,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-4,Cadbury at Lewes Nursing Home,17028 Cadbury Circle,Lewes,19958-7028,DE,302-645-6400,40,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-5,Cadia Rehabilitation Broadmeadow,500 South Broad Street,Middletown,19709-1443,DE,302-449-3400,120,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-6,Cadia Rehabilitation Capitol,1225 Walker Road,Dover,19904-6541,DE,302-734-1199,120,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-7,Cadia Rehabilitation Pike Creek,3540 Three Little Bakers Blvd.,Wilmington,19808-1754,DE,302-455-0808,130,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-8,Cadia Rehabilitation Renaissance,26002 John J. Williams Highway,Millsboro,19966-4948,DE,302-947-4200,130,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-9,Cadia Rehabilitation Silverside,3322 Silverside Road,Wilmington,19810-3307,DE,302-478-8889,128,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-10,Churchman Village,4949 Ogletown-Stanton Rd.,Newark,19713-2908,DE,302-998-6900,101,Medicare & Medicaid Certified,US,Nursing Home
