row_id,AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address,type,country
USA-FL-60-FL-HealthFinder-output-1,11965010,9523,8/1/2016,7/31/2018,Assisted Living Facility,(THE) ANGELS RETIREMENT HOME CORP,14714 SW 177TH TERR,,MIAMI,FL,33187,Miami-Dade,(305) 378-4406,14714 SW 177TH TER,,MIAMI,FL,33187-7705,Miami-Dade,LICENSED,THE ANGELS RETIREMENT HOME CORP,8/1/2014,NITZA V ROSADO,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-2,11968002,11973,3/17/2017,3/16/2019,Assisted Living Facility,1 KIND HOME INC,911 SW 12TH AVE # 913,,MIAMI,FL,33130-3627,Miami-Dade,(305) 285-1012,911 SW 12TH AVE # 913,,MIAMI,FL,33130-3627,Miami-Dade,LICENSED,1 KIND HOME  INC,12/15/2010,KARINA MIRANDA,12,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-3,11965870,10183,2/12/2016,2/11/2018,Assisted Living Facility,1 ZOURCE LIVING CARE,1401 NE 176TH ST,,N MIAMI BEACH,FL,33162-1363,Miami-Dade,(305) 935-4186,16808 SW 39 STREET,,MIRAMAR,FL,33027,Broward,LICENSED,1ZOURCE CORPORATION,12/10/2007,ROGELIO MALUBAY,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-4,25930106,4001095,12/1/2015,11/30/2017,Intermediate Care Facility for the Developmentally Disabled,107TH PLACE GROUP HOME,5321 SE 107TH PLACE,,BELLEVIEW,FL,34420,Marion,(352) 347-0919,2837 NW 41ST ST,STE 310,GAINESVILLE,FL,32606-6826,Alachua,LICENSED,SALEM HOMES OF FLORIDA  INC.,12/1/2013,MARY ELIZABETH JOHNSON,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-5,25930135,4105096,6/23/2017,11/30/2017,Intermediate Care Facility for the Developmentally Disabled,19TH STREET GROUP HOME,3423 SE 35TH PLACE,,GAINESVILLE,FL,32641,Alachua,(352) 374-9100,2837 NW 41ST ST,STE 310,GAINESVILLE,FL,32606-6826,Alachua,LICENSED,SALEM HOMES OF FLORIDA  INC.,12/1/2013,MARY ELIZABETH JOHNSON,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-6,11968637,12495,4/22/2016,4/21/2018,Assisted Living Facility,A & C GOD BLESS ASSISTED LIVING FACILITY,235 GASPAR ST SW,,PALM BAY,FL,32908,Brevard,(321) 557-7219,235 GASPAR ST SW,,PALM BAY,FL,32908,Brevard,LICENSED,A&C GODBLESS ASSISTED LIVING FACILITY  LLC,4/22/2014,CARLINE JEAN LOUIS,5,Not-For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-7,11968530,12391,1/8/2017,1/7/2019,Assisted Living Facility,A & J ALF OF FLORIDA INC  II,808 GILLEN AVE NW,,PALM BAY,FL,32907,Brevard,(754) 245-3745,3929 GARDENWOOD CIRCLE,,GRANT,FL,32949,Brevard,LICENSED,A & J ALF OF FLORIDA  INC. II,1/8/2017,ANGELLA RUDEEN SPENCE,5,For-Profit,www.shangri-la-alf.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-8,11967643,11643,6/1/2016,5/31/2018,Assisted Living Facility,A & J ALF OF FLORIDA  INC II,2466 RALPH AVENUE SE,,PALM BAY,FL,32909,Brevard,(321) 327-2772,2466 RALPH AVENUE SE,,PALM BAY,FL,32909,Brevard,LICENSED,A & J ALF OF FLORIDA  INC. II,5/26/2010,ANGELLA RUDEEN SPENCE,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-9,11966997,11141,10/25/2015,10/24/2017,Assisted Living Facility,A & L HEALTH CARE CORP NO. 2,8208 NW 14TH STREET,,CORAL SPRINGS,FL,33071,Broward,(954) 345-7481,11764 NW 30TH STREET,,CORAL SPRINGS,FL,33065,Broward,LICENSED,A & L HEALTHCARE CORP,6/20/2007,SANDRA PATRICIA RILEY,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-10,11965541,9959,12/18/2016,12/17/2018,Assisted Living Facility,A & L HEALTHCARE  CORP.,11764 NW 30TH STREET,,CORAL SPRINGS,FL,33065,Broward,(954) 757-8739,11764 NW 30TH STREET,,CORAL SPRINGS,FL,33065,Broward,LICENSED,A & L HEALTHCARE CORP,10/15/2015,SANDRA PATRICIA RILEY,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-11,11967196,11235,2/12/2016,2/11/2018,Assisted Living Facility,A & M ASSISTED LIVING FACILITY,1581 ZAFFER ST NW,,PALM BAY,FL,32907,Brevard,(321) 604-8853,1581 ZAFFER ST NW,,PALM BAY,FL,32907,Brevard,LICENSED,A & M ASSISTED LVING FACILITY  INC.,1/3/2008,MARLENE GILLIARD,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-12,11967516,11516,1/8/2017,1/7/2019,Assisted Living Facility,A & M ASSISTED LIVING FACILITY II,2180 STRATFORD POINTE DR,,WEST MELBOURNE,FL,32904-8008,Brevard,(321) 327-7209,2180 STRATFORD PT DR,,WEST MELBOURNE,FL,32904,Brevard,LICENSED,A & M ASSISTED LVING FACILITY  INC.,12/3/2012,ANTHONY GILLIARD,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-13,11969071,12903,9/14/2016,9/13/2018,Assisted Living Facility,A BEACON HAVEN LLC,13674 STAIMFORD DR,,WELLINGTON,FL,33414,Palm Beach,(561) 596-9726,13674 STAIMFORD  DR,,WELLINGTON,FL,33414,Palm Beach,LICENSED,A BEACON HAVEN LLC,7/20/2016,YVONNE LAWRENCE,5,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-14,11968721,12591,12/4/2016,12/3/2018,Assisted Living Facility,A BELLA VITA PLACE ASSISTED LIVING  LLC,2143 DORSON WAY,,DELRAY BEACH,FL,33445,Palm Beach,(561) 371-4146,2143 DORSON WAY,,DELRAY BEACH,FL,33445,Palm Beach,LICENSED,A BELLA VITA PLACE ASSISTED LIVING  LLC,9/3/2014,NICOLE BEAZIEUX-GERMAIN,5,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-15,11968585,12524,6/23/2016,6/22/2018,Assisted Living Facility,A BETTER CARE LLC,308 S 30TH ST,,FORT PIERCE,FL,34947,St. Lucie,(772) 595-5565,308 S 30TH ST,,FORT PIERCE,FL,34947,St. Lucie,LICENSED,A BETTER CARE LLC,6/23/2014,JOSEPH KANHAI,9,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-16,11968042,12011,6/8/2017,6/7/2019,Assisted Living Facility,A COMFORT LIVING INC,1660 NW 135TH ST,,NORTH MIAMI,FL,33167-1608,Miami-Dade,(305) 681-3137,1660 NW 135TH ST,,NORTH MIAMI,FL,33167-1608,Miami-Dade,LICENSED,A COMFORT LIVING INC.,2/17/2011,LIANA TEDJADINATA,6,For-Profit,www.acomfortlivingfacility.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-17,11910366,5699,10/1/2016,9/30/2018,Assisted Living Facility,A COUNTRY RESIDENCE,14327 69TH DRIVE  NORTH,,PALM BEACH GARDENS,FL,33418-7240,Palm Beach,(561) 622-1348,14327 69TH DRIVE  NORTH,,PALM BEACH GARDENS,FL,33418,Palm Beach,LICENSED,ADULT QUALITY CARE HOMES  INC.,10/1/2002,DENISE Y LARMAN,10,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-18,11964920,9562,4/22/2017,4/21/2019,Assisted Living Facility,A HOME AWAY FROM HOME ALF INC,1851 SW 142ND AVE,,MIAMI,FL,33175-7034,Miami-Dade,(305) 229-1315,1851 SW 142ND AVE,,MIAMI,FL,33175-7034,Miami-Dade,LICENSED,A HOME AWAY FROM HOME ALF  INC.,4/22/2005,AILEEN DELGADO,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-19,11968776,12651,4/8/2017,4/7/2019,Assisted Living Facility,A HOME SWEET HOME ASSISTED LIVING FACILITY OF JAX  INC,6838 MEDELLIN CT,,JACKSONVILLE,FL,32210,Duval,(904) 772-0651,5865 HULMAN LINKS COURT,,JACKSONVILLE,FL,32222,Duval,LICENSED,A HOME SWEET HOME ASSISTED LIVING FACILITY OF JAX  INC.,3/11/2015,LANISHA J. HOLLOWAY,6,For-Profit,ahomesweethome.bravesites.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-20,11968427,12340,3/21/2017,3/20/2019,Assisted Living Facility,A LA MY LOVE ALF,6821 DOVER CT,,TAMPA,FL,33634-4708,Hillsborough,(813) 574-7493,6821 DOVER CT,,TAMPA,FL,33634-4708,Hillsborough,LICENSED,A LA MY LOVE ALF INC,10/31/2012,JENNIFER PENA GONZALEZ,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-21,11953636,8675,2/17/2016,2/16/2018,Assisted Living Facility,A LOVING HOME ENTERPRISES  INC.,3640 SW 91ST AVE # 42,,MIAMI,FL,33165-4361,Miami-Dade,(305) 554-4432,3640 SW 91ST AVE # 42,,MIAMI,FL,33165-4361,Miami-Dade,LICENSED,A LOVING HOME ENT INC.,3/18/1997,AILEEN DELGADO,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-22,11953310,7846,7/31/2015,7/30/2017,Assisted Living Facility,A LOVING PLACE ALF,25 W 26TH ST,,HIALEAH,FL,33010-1707,Miami-Dade,(305) 884-4002,25 W 26TH ST,,HIALEAH,FL,33010-1707,Miami-Dade,IN REVIEW,GABALB INCORPORATED,4/11/1995,ALBA GOMEZ,12,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-23,11967960,11924,12/7/2016,12/6/2018,Assisted Living Facility,A NEW AGE OF SENIOR CARE AT WELLINGTON INC,1074 C-D HYACINTH PLACE,,WELLINGTON,FL,33414,Palm Beach,(561) 847-4548,1074 C-D HYACINTH PLACE,,WELLINGTON,FL,33414,Palm Beach,LICENSED,A NEW AGE OF SENIOR CARE AT WELLINGTON  INC,10/8/2010,ANTONIO L BORGES,14,For-Profit,www.newageseniorcare.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-24,11967362,12562,7/31/2016,7/30/2018,Assisted Living Facility,A NEW BEGINNING ASSISTED LIVING  LLC,105 NE 11TH AVE,,BOYNTON BEACH,FL,33435-3107,Palm Beach,(561) 369-2891,105 NE 11TH AVE,,BOYNTON BEACH,FL,33435-3107,Palm Beach,LICENSED,A NEW BEGINNING ASSISTED LIVING LLC,6/23/2008,MICHELE WILLIAMS GREEN,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-25,11969169,12990,4/5/2017,4/4/2019,Assisted Living Facility,A PARADISE HOME ALF II LLC,438 MACY ST,,WEST PALM BEACH,FL,33405,Palm Beach,(954) 591-1025,438 MACY ST,,WEST PALM BEACH,FL,33405,Palm Beach,LICENSED,A PARADISE HOME ALF II  LLC,2/1/2017,USHINA PEREZ,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-26,11967480,11499,12/17/2016,12/16/2018,Assisted Living Facility,A PLACE LIKE HOME ALF  INC,1971 PORT MALABAR BLVD NE,,PALM BAY,FL,32905-5436,Brevard,(321) 693-3325,6655 S US HIGHWAY 1,,GRANT,FL,32949-2221,Brevard,LICENSED,A PLACE LIKE HOME ALF INC,10/20/2008,DIANE M WALKER,6,For-Profit,aplacelikehomealf.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-27,11968387,12293,11/28/2016,11/27/2018,Assisted Living Facility,A PLACE TO GROW LLC,109 VALLEY DR,,BRANDON,FL,33510,Hillsborough,(813) 469-6764,109 VALLEY DR,,BRANDON,FL,33510,Hillsborough,LICENSED,A PLACE TO GROW LLC,8/23/2012,HEATHER ELAINE GREEN-TOLEDO,5,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-28,11968838,12681,6/5/2017,6/4/2019,Assisted Living Facility,A QUAINT MEADOW,39 OHIO RD,,LAKE WORTH,FL,33467,Palm Beach,(954) 258-3370,39 OHIO RD,,LAKE WORTH,FL,33467,Palm Beach,LICENSED,SUPERIOR ELDER CARE  LLC,4/17/2015,DONTRELL DAVIS,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-29,11967590,11586,5/26/2017,5/25/2019,Assisted Living Facility,A SECOND HOME OF RIVIERA BEACH  INC,120 W 22ND ST,,RIVIERA BEACH,FL,33404-5512,Palm Beach,(561) 845-6223,120 W 22ND ST,,RIVIERA BEACH,FL,33404-5512,Palm Beach,LICENSED,A SECOND HOME OF RIVIERA BEACH INC,4/17/2009,JANET L WISE,4,For-Profit,,Assisted Living Facilities,US
