name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
UM (THE),,,,,,,PO BOX 639,,LEHIGH ACRES,,,,,Lee,33970-0639,FL,,(239) 368-1177,,,,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1002,,,,,,,,,,,,,Assisted Living,,,,1835 12TH STREET,EAST,,LEHIGH ACRES,Lee,,FL,,33972,US,26.6434971,-81.6047337,Joel
BARKLEY PLACE,,,,,,,1800 SW 1ST AVE,STE 180,PORTLAND,,,,,Not Available,97201-5362,OR,,(239) 939-3553,,,http://www.barkleyplaceseniorliving.com/,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1003,,,,,,,,,,,,,Assisted Living,,,,36 BARKLEY CIRCLE,,,FORT MYERS,Lee,,FL,,33907,US,26.586626,-81.8811769,
"KIVA AT CANTERBURY, LLC",,,,,,,#10 7TH STREET,,BONITA SPRINGS,,,,,Collier,34134,FL,,(239) 992-8599,,,http://kivaassisted.com,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1005,,,,,,,,,,,,,Assisted Living,,,,10 7TH STREET,,,BONITA SPRINGS,Collier,,FL,,34134,US,26.32398989999999,-81.8197544,
NEUROINTERNATIONAL SARASOTA,,,,,,,4004 FRUITVILLE ROAD,,SARASOTA,,,,,Sarasota,34232,FL,,(941) 371-7147,,,http://www.neurointernational.com,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1009,,,,,,,,,,,,,Assisted Living,,,,4004 FRUITVILLE ROAD,,,SARASOTA,Sarasota,,FL,,34232,US,27.3368421,-82.4889103,
HARBORVIEW ACRES INC,,,,,,,24450 HARBORVIEW ROAD,,PORT CHARLOTTE,,,,,Charlotte,33980,FL,,(941) 743-7775,,,http://SOUTHWESTFLORIDARETIREMENTCENTER.COM,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1016,,,,,,,,,,,,,Assisted Living,,,,24450 HARBORVIEW ROAD,,,PORT CHARLOTTE,Charlotte,,FL,,33980,US,26.97253899999999,-82.044682,
SLC OF SORRENTO,,,,,,,336 MONET DRIVE,,NOKOMIS,,,,,Sarasota,34275,FL,,(941) 966-5883,,,,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1017,,,,,,,,,,,,,Assisted Living,,,,336 MONET DRIVE,,,NOKOMIS,Sarasota,,FL,,34275,US,27.15683,-82.466008,
VILLA PALMS,,,,,,,6722 WINKLER RD,,FORT MYERS,,,,,Lee,33919-7204,FL,,(239) 565-3846,,,,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1023,,,,,,,,,,,,,Assisted Living,,,,6722 WINKLER RD,,,FORT MYERS,Lee,,FL,,33919-7204,US,26.5427365,-81.8988705,
BROOKDALE PHILLIPPI CREEK,,,,,,,5501 SWIFT ROAD,,SARASOTA,,,,,Sarasota,34231,FL,,(941) 922-8778,,,http://www.brookdale.com,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1024,,,,,,,,,,,,,Assisted Living,,,,5501 SWIFT ROAD,,,SARASOTA,Sarasota,,FL,,34231,US,27.2743184,-82.51321449999999,
ROBINSONS RESIDENTIAL CARE,,,,,,,11921 CARUSO DR,,PANAMA CITY,,,,,Bay,32404-2927,FL,,(850) 871-6555,,,,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1027,,,,,,,,,,,,,Assisted Living,,,,11921 CARUSO DRIVE,,,PANAMA CITY,Bay,,FL,,32404,US,30.1157894,-85.50431449999999,
SUMMER'S LANDING,,,,,,,615 FLORIDA AVENUE,,LYNN HAVEN,,,,,Bay,32444,FL,,(850) 265-9829,,,,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1029,,,,,,,,,,,,,Assisted Living,,,,615 FLORIDA AVENUE,,,LYNN HAVEN,Bay,,FL,,32444,US,30.2487475,-85.64937049999999,
"VARNUM'S REST HOME, LLC",,,,,,,P.O. BOX 6,,BRISTOL,,,,,Liberty,32321,FL,,(850) 643-5155,,,,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1034,,,,,,,,,,,,,Assisted Living,,,,12167 NW FREEMAN ROAD,,,BRISTOL,Liberty,,FL,,32321,US,30.439265,-84.969347,
WESTMINSTER OAKS,,,,,,,4449 MEANDERING WAY,,TALLAHASSEE,,,,,Leon,32308,FL,,(850) 878-1136,,,http://www.westminsterretirement.com,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1035,,,,,,,,,,,,,Assisted Living,,,,4449 MEANDERING WAY,,,TALLAHASSEE,Leon,,FL,,32308,US,30.4782909,-84.20479739999999,
BROXTON'S A. L. F. HOMES,,,,,,,2233 PATE POND ROAD,,CARYVILLE,,,,,Washington,32427,FL,,(850) 548-5232,,,,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1038,,,,,,,,,,,,,Assisted Living,,,,2233 PATE POND ROAD,,,CARYVILLE,Washington,,FL,,32427,US,30.7382332,-85.79701229999999,
