row_id,Facility Name,Address1,Address2,City,Zip,State,County,Contact Phone,Mailing Address1,Mailing Address2,Mailing City,Mailing Zip,Mailing State,Mailing County,Website,Space,Source,Country,facility_type
USA-FL-61-FL-HealthFinder-output-1,UM (THE),1835 12TH STREET,EAST,LEHIGH ACRES,33972,FL,Lee,(239) 368-1177,PO BOX 639,,LEHIGH ACRES,33970-0639,FL,Lee,,10,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1002,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-2,BARKLEY PLACE,36 BARKLEY CIRCLE,,FORT MYERS,33907,FL,Lee,(239) 939-3553,1800 SW 1ST AVE,STE 180,PORTLAND,97201-5362,OR,Not Available,http://www.barkleyplaceseniorliving.com/,64,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1003,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-3,"KIVA AT CANTERBURY, LLC",10 7TH STREET,,BONITA SPRINGS,34134,FL,Collier,(239) 992-8599,#10 7TH STREET,,BONITA SPRINGS,34134,FL,Collier,http://kivaassisted.com,38,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1005,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-4,NEUROINTERNATIONAL SARASOTA,4004 FRUITVILLE ROAD,,SARASOTA,34232,FL,Sarasota,(941) 371-7147,4004 FRUITVILLE ROAD,,SARASOTA,34232,FL,Sarasota,http://www.neurointernational.com,16,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1009,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-5,HARBORVIEW ACRES INC,24450 HARBORVIEW ROAD,,PORT CHARLOTTE,33980,FL,Charlotte,(941) 743-7775,24450 HARBORVIEW ROAD,,PORT CHARLOTTE,33980,FL,Charlotte,http://SOUTHWESTFLORIDARETIREMENTCENTER.COM,25,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1016,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-6,SLC OF SORRENTO,336 MONET DRIVE,,NOKOMIS,34275,FL,Sarasota,(941) 966-5883,336 MONET DRIVE,,NOKOMIS,34275,FL,Sarasota,,6,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1017,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-7,VILLA PALMS,6722 WINKLER RD,,FORT MYERS,33919-7204,FL,Lee,(239) 565-3846,6722 WINKLER RD,,FORT MYERS,33919-7204,FL,Lee,,19,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1023,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-8,BROOKDALE PHILLIPPI CREEK,5501 SWIFT ROAD,,SARASOTA,34231,FL,Sarasota,(941) 922-8778,5501 SWIFT ROAD,,SARASOTA,34231,FL,Sarasota,http://www.brookdale.com,127,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1024,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-9,ROBINSONS RESIDENTIAL CARE,11921 CARUSO DRIVE,,PANAMA CITY,32404,FL,Bay,(850) 871-6555,11921 CARUSO DR,,PANAMA CITY,32404-2927,FL,Bay,,34,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1027,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-10,SUMMER'S LANDING,615 FLORIDA AVENUE,,LYNN HAVEN,32444,FL,Bay,(850) 265-9829,615 FLORIDA AVENUE,,LYNN HAVEN,32444,FL,Bay,,47,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1029,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-11,"VARNUM'S REST HOME, LLC",12167 NW FREEMAN ROAD,,BRISTOL,32321,FL,Liberty,(850) 643-5155,P.O. BOX 6,,BRISTOL,32321,FL,Liberty,,45,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1034,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-12,WESTMINSTER OAKS,4449 MEANDERING WAY,,TALLAHASSEE,32308,FL,Leon,(850) 878-1136,4449 MEANDERING WAY,,TALLAHASSEE,32308,FL,Leon,http://www.westminsterretirement.com,100,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1035,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-13,BROXTON'S A. L. F. HOMES,2233 PATE POND ROAD,,CARYVILLE,32427,FL,Washington,(850) 548-5232,2233 PATE POND ROAD,,CARYVILLE,32427,FL,Washington,,22,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1038,US,Assisted Living
